case,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions
1,10,10,10,7763.746,132,10
2,15,15,15,9135.973,113,15
3,14,14,14,8784.419,120,14
4,16,16,16,10414.183,124,16
5,10,10,10,7921.718,128,10
6,10,10,10,6551.744,124,10
7,13,13,13,8835.845,127,13
8,10,10,10,7680.051,122,10
9,14,14,14,9932.622,120,14
10,10,10,10,7512.525,124,10
