scenario,seed,case,model,n,bias_deg,anomaly,error,all_cleared,undiscovered_cases,undiscovered_sources,coverage_misses,exhausted_cases,exhausted_sources,failed_clears,total_per_source,movement_per_source,detect_switch_per_source,clear_time_per_source,last_discovery_per_source,search_end_per_source,search_movement_per_source,not_ready_rate,active_measurements_per_source,co_measurements_per_source,switches_per_source,insertions_per_source,decision_wall_s,decomposition_error_s,hard_fail
S3_systematic_bias,104729,1,I,11,1.0,0,,1,0,0,0,0,0,0,341.2321818181818,269.4140311807471,66.81818181818181,5.0,163.98627972727274,200.01470485683637,134.46925031138184,0.36363636363636365,2.909090909090909,1.9090909090909092,10.909090909090908,0.7272727272727273,1.496398199989926,0.00034298821810807567,0
S3_systematic_bias,104729,1,J,11,1.0,0,,1,0,0,0,0,0,0,330.72936363636364,259.18386584870524,66.54545454545455,5.0,133.27843145454545,180.65179431423374,116.74270340514289,0.45454545454545453,2.5454545454545454,1.3636363636363635,10.636363636363637,0.7272727272727273,1.06329600000754,0.0004756642424581514,0
S3_systematic_bias,104729,1,J+,11,1.0,0,,1,0,0,0,0,0,0,341.97427272727276,274.1560846249638,62.81818181818182,5.0,122.65581663636364,175.60196438164846,116.32923710892118,0.45454545454545453,1.9090909090909092,1.4545454545454546,10.090909090909092,0.0,0.1676617999910377,6.912539811310126e-05,0
S3_systematic_bias,104729,2,I,12,1.0,0,,1,0,0,0,0,0,0,296.50575,233.83908826539007,57.666666666666664,5.0,124.97534258333333,174.80867589453428,121.14200922786758,0.5833333333333334,2.5,1.5,9.333333333333334,0.6666666666666666,0.6835580999904778,5.9184681049373467e-05,0
S3_systematic_bias,104729,2,J,12,1.0,0,,1,0,0,0,0,0,0,281.63166666666666,214.04837237627353,62.583333333333336,5.0,133.8120885,176.94911199147705,115.03244532481035,0.3333333333333333,2.5,1.75,10.083333333333334,0.6666666666666666,1.315313099999912,0.0004685152825913974,0
S3_systematic_bias,104729,2,J+,12,1.0,0,,1,0,0,0,0,0,0,288.36616666666663,226.11618826198549,57.25,5.0,136.94768816666667,158.91047950800294,104.07714617466958,0.3333333333333333,1.8333333333333333,1.6666666666666667,9.333333333333334,0.0,0.10072659997968003,0.00025914382604241837,0
S3_systematic_bias,104729,3,I,10,1.0,0,,1,0,0,0,0,0,0,382.48069999999996,307.28071621948897,70.2,5.0,185.638079,221.18840277618793,152.7884027761879,0.3,2.7,1.2,11.2,0.8,0.8624560999742243,0.0001621948899810377,0
S3_systematic_bias,104729,3,J,10,1.0,0,,1,0,0,0,0,0,0,365.8804,282.68040109108455,78.2,5.0,139.5759547,221.46027441710902,144.660274417109,0.4,3.1,1.7,12.7,0.8,1.731451500003459,1.0910845503531164e-05,0
S3_systematic_bias,104729,3,J+,10,1.0,0,,1,0,0,0,0,0,0,345.89160000000004,267.99161755218137,72.9,5.0,169.590147,202.37656468856946,130.87656468856946,0.4,1.5,0.9,11.9,0.0,0.17989810000290163,0.00017552181361679686,0
S3_systematic_bias,104729,4,I,12,1.0,0,,1,0,0,0,0,0,0,334.29925,267.21595445402886,62.083333333333336,5.0,177.61049116666666,179.11049113279321,121.11049113279323,0.5833333333333334,2.6666666666666665,1.3333333333333333,10.0,0.6666666666666666,1.0476628000033088,0.00045344834643401555,0
S3_systematic_bias,104729,4,J,12,1.0,0,,1,0,0,0,0,0,0,330.81808333333333,258.7347536067657,67.08333333333333,5.0,150.233103,171.7544798584096,108.58781319174297,0.5,2.8333333333333335,1.6666666666666667,10.833333333333334,0.6666666666666666,0.9041397999972105,4.328118848206941e-05,0
S3_systematic_bias,104729,4,J+,12,1.0,0,,1,0,0,0,0,0,0,334.64891666666665,266.64892139543866,63.0,5.0,143.63016725,165.59295856028797,106.42629189362127,0.5,2.0833333333333335,1.5,10.083333333333334,0.0,0.2544903000234626,5.674526437360328e-05,0
S3_systematic_bias,104729,5,I,12,1.0,0,,1,0,0,0,0,0,0,294.31391666666667,232.2306038109463,57.083333333333336,5.0,175.06806091666667,179.06806091777761,123.15139425111091,0.3333333333333333,2.75,2.0,9.166666666666666,0.6666666666666666,0.6809212999942247,0.0002457313557897578,0
S3_systematic_bias,104729,5,J,12,1.0,0,,1,0,0,0,0,0,0,260.5056666666667,195.3389767212682,60.166666666666664,5.0,77.50248158333333,172.80075558000848,113.88408891334181,0.3333333333333333,2.9166666666666665,1.9166666666666667,9.75,0.6666666666666666,1.034302399988519,0.00027934478157476406,0
S3_systematic_bias,104729,5,J+,12,1.0,0,,1,0,0,0,0,0,0,271.11266666666666,211.44602175408113,54.666666666666664,5.0,72.5558025,159.9254408219169,107.7587741552503,0.3333333333333333,2.0,1.75,8.833333333333334,0.0,0.17561519998707809,0.0002610489736980526,0
S3_systematic_bias,104729,6,I,11,1.0,0,,1,0,0,0,0,0,0,345.3633636363636,275.45427888965537,64.9090909090909,5.0,190.1406016363636,191.2315107527611,131.04969257094288,0.6363636363636364,2.5454545454545454,1.2727272727272727,10.363636363636363,0.7272727272727273,0.5195713000139222,6.778620945624425e-05,0
S3_systematic_bias,104729,6,J,11,1.0,0,,1,0,0,0,0,0,0,348.3168181818182,270.3168336508463,73.0,5.0,157.22332609090907,187.12534182166493,117.85261454893762,0.5454545454545454,3.0,1.7272727272727273,11.636363636363637,0.7272727272727273,1.3885316000087187,0.0001701593096186116,0
S3_systematic_bias,104729,6,J+,11,1.0,0,,1,0,0,0,0,0,0,337.02118181818184,261.7484305132248,70.27272727272727,5.0,147.65566454545453,177.06961873539873,112.8878005535805,0.5454545454545454,2.5454545454545454,2.0,11.181818181818182,0.0,0.2192499999946449,0.0002643545276441728,0
S3_systematic_bias,104729,7,I,16,1.0,0,,1,0,0,0,0,0,0,240.3855625,197.76055036020915,37.625,5.0,101.1443606875,103.01936067172781,74.58186067172781,0.625,2.8125,1.875,6.0625,0.5,0.7490023999998812,0.00019423665344220353,0
S3_systematic_bias,104729,7,J,16,1.0,0,,1,0,0,0,0,0,0,224.2843125,180.78428425283815,38.5,5.0,87.8668364375,91.06792597806027,60.817925978060295,0.5,3.0,1.8125,6.0,0.5,1.1448160000145435,0.0004519545896073396,0
