扰动,倍率,归一化权重,接收率变化,成功率变化,MEC均值变化(m),时间均值变化(s)
w1几何,0.9,0.000;0.250;0.500;0.250,0.0,0.0,0.0,0.0
w1几何,1.1,0.000;0.250;0.500;0.250,0.0,0.0,0.0,0.0
w2接收,0.9,0.000;0.231;0.513;0.256,0.0,-0.04999999999999999,-0.9207352296470006,1.6454606566185248e-09
w2接收,1.1,0.000;0.268;0.488;0.244,0.0,0.0,0.0,0.0
w3时间,0.9,0.000;0.263;0.474;0.263,0.0,0.0,0.0,0.0
w3时间,1.1,0.000;0.238;0.524;0.238,0.0,0.0,0.0,0.0
w4预测,0.9,0.000;0.256;0.513;0.231,0.0,0.0,0.0,0.0
w4预测,1.1,0.000;0.244;0.488;0.268,0.0,0.0,0.0,0.0
