x_m,y_m,score,q_geo,p_rec,travel_s,boundary_risk,predicted_diameter_m,predicted_mec_radius_m
-1030.6667089207876,509.80529197518695,1.2037017530468093,0.7012618731036089,0.6666666666666666,200.0,0.0,48.27180074297569,24.135900371487836
221.54911999764613,-686.8381460656187,1.2037017530468055,0.7012618731036071,0.6666666666666666,200.0,0.0,48.27180074297576,24.135900371487885
-974.5333671366302,317.84423358014953,1.160789057724772,0.610978718942738,0.6666666666666666,160.0,0.0,51.13163818838995,25.565819094194975
27.239295998116972,-639.4705168524949,1.160789057724768,0.6109787189427361,0.6666666666666666,160.0,0.0,51.131638188389886,25.565819094194943
-918.4000253524727,125.88317518511212,1.0494159023094232,0.49424905419919074,0.6666666666666666,120.0,0.0,60.84356684141975,30.421783420709875
-167.0705280014123,-592.1028876393713,1.0494159023094192,0.49424905419918885,0.6666666666666666,120.0,0.0,60.843566841419765,30.421783420709886
-316.21971245425914,-864.529446646115,1.0361541822777385,0.5087556571843684,0.6666666666666666,120.0,0.0,90.9610645741369,45.48053228706845
-1183.780287545741,-35.47055335388512,1.036154182277738,0.5087556571843681,0.6666666666666666,119.99999999999997,0.0,90.96106457413691,45.480532287068456
-460.81314163617276,-726.3529644307434,0.9819991269469128,0.4287618536087541,0.6666666666666666,80.00000000000001,0.0,116.4068562171196,58.20342810855979
-1039.1868583638275,-173.6470355692568,0.9819991269469124,0.42876185360875385,0.6666666666666666,80.00000000000001,0.0,116.40685621711961,58.203428108559805
-862.2666835683151,-66.07788320992523,0.8921319208476793,0.3692761719423489,0.6666666666666666,80.0,0.0,89.0726605058811,44.53633025294056
-361.3803520009415,-544.7352584262475,0.8921319208476755,0.36927617194234724,0.6666666666666666,80.0,0.0,89.07266050588119,44.53633025294059
-1328.3737167276547,102.70592886148643,0.7885276922407132,0.5839097909277631,0.3333333333333333,159.99999999999997,0.0,81.82700964468827,40.91350482234413
-171.62628327234552,-1002.7059288614868,0.7885276922407131,0.5839097909277631,0.3333333333333333,160.0,0.0,81.82700964468825,40.91350482234412
-1086.8000507049453,701.7663503702242,0.6560755884658541,0.7677471922776076,0.0,240.0,0.0,48.64548969658845,24.322744848294228
415.8589439971754,-734.2057752787425,0.6560755884658503,0.7677471922776059,0.0,240.0,0.0,48.64548969658862,24.322744848294306
-27.032854090431897,-1140.8824110768585,0.5972972432514458,0.6486261791003841,0.1111111111111111,200.0,0.0,79.04615977219197,39.52307988609599
-1472.9671459095684,240.88241107685815,0.5622748428569887,0.648626179100384,0.1111111111111111,200.0,0.029185333662047452,79.04615977219201,39.523079886096
117.56057509148172,-1279.05889329223,0.4665646152678012,0.7025730637833827,0.0,240.0,0.0,79.39741670376065,39.69870835188033
-637.7333164316849,-833.9221167900748,0.335252799862665,0.29900772890293137,0.3333333333333333,80.00000000000001,0.0,179.48724692696706,89.74362346348352
-1138.6196479990585,-355.26474157375253,0.335252799862661,0.2990077289029294,0.3333333333333333,80.00000000000001,0.0,179.48724692696692,89.74362346348344
-1617.5605750914822,379.05889329222975,0.3189770749754934,0.7025730637833825,0.0,240.0,0.12298961691025588,79.39741670376074,39.69870835188036
-581.5999746475273,-1025.8831751851121,0.3085970254226924,0.3388094956912769,0.3333333333333333,120.0,0.0,148.9670211765223,74.48351058826115
-1332.9294719985878,-307.89711236062885,0.30859702542268785,0.3388094956912749,0.3333333333333333,120.00000000000003,0.0,148.96702117652222,74.48351058826111
-525.4666328633698,-1217.8442335801496,0.24697176985717764,0.37598222384879876,0.3333333333333333,160.00000000000003,0.0,137.90385951789753,68.95192975894876
-1527.239295998117,-260.5294831475051,0.17410402983967344,0.37598222384879687,0.3333333333333333,160.00000000000003,0.06072311668125005,137.9038595178975,68.95192975894874
-469.3332910792123,-1409.805291975187,-0.13218870809131839,0.40914877788446896,0.0,200.0,0.025486145466379284,134.48842991832996,67.24421495916499
-1721.5491199976461,-213.1618539343814,-0.29806916753165924,0.409148777884467,0.0,199.99999999999997,0.16371986166665997,134.48842991832993,67.24421495916495
-413.19994929505475,-1601.7663503702242,-0.3409913041707415,0.4382316834471168,0.0,240.0,0.11900201494892285,134.86572654379415,67.43286327189708
