策略,接收率,MEC均值(m),MEC中位数(m),MEC_P90(m),≤20m成功率,总时间均值(s),总时间P90(s)
四指标联合,1.0,42.61635830518835,38.94547069789232,82.92928509571875,0.35,109.00000000248482,125.00000000720448
仅几何,0.0,250.0,250.0,250.0,0.0,361.0000000019596,365.0000000078777
最近点,1.0,437.65887171482746,484.25562039901655,599.6046380317338,0.0,14.999999993846483,14.999999998419991
随机点,0.675,187.04157206740314,198.70641623116492,350.68506280300744,0.025,181.00000000099396,305.0000000074258
