case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
166,CAz4,13,13,13,8009.377,475,13,1,29,6551.9027222275945,5101.377043919611,3743.9027222275936,1357.474321692018,2375.0,468.0,65.0,0,,,0.022227899986319244
167,C,15,15,15,8009.057,325,15,1,29,5404.5264323263955,6002.0567659548,3629.5264323263946,2372.5303336284064,1625.0,307.0,75.0,0,,,0.592792899988126
167,CAz3,15,15,15,7794.855,407,15,1,29,6037.382451005211,5282.854898505192,3756.382451005211,1526.4724474999825,2035.0,402.0,75.0,0,,,0.17212930001551285
167,CAz4,15,15,15,8344.914,498,15,1,29,6523.490624638332,5284.914209283298,3756.4906246383316,1528.4235846449665,2490.0,495.0,75.0,0,,,0.11945310002192855
168,C,10,10,10,7762.089,423,10,1,29,6090.55043565878,5188.089398636288,3657.550435658778,1530.5389629775125,2115.0,409.0,50.0,0,,,0.3862117000098806
168,CAz3,10,10,10,7503.176,478,10,1,29,6416.593832490867,4589.175895181394,3679.593832490865,909.5820626905288,2390.0,474.0,50.0,0,,,0.08424470000318252
168,CAz4,10,10,10,7666.12,505,10,1,29,6530.593832490867,4589.119875760258,3679.593832490865,909.5260432693933,2525.0,502.0,50.0,0,,,0.08097059998544864
169,C,12,12,12,8177.817,414,12,1,29,6066.0039607570425,5641.816866308422,3663.0039607570407,1978.8129055513807,2070.0,406.0,60.0,0,,,0.26824870001291856
169,CAz3,12,12,12,8012.025,478,12,1,29,6426.0039607570425,5092.024956025766,3663.0039607570407,1429.020995268723,2390.0,470.0,60.0,0,,,0.24279640000895597
169,CAz4,12,12,12,8211.967,511,12,1,29,6510.0039607570425,5090.966892501573,3663.0039607570407,1427.9629317445306,2555.0,506.0,60.0,0,,,0.20480289999977686
170,C,10,10,10,7686.26,411,10,1,29,6052.5264323263955,5174.260134789418,3629.5264323263946,1544.7337024630247,2055.0,407.0,50.0,0,,,0.17809409997425973
