seed,case,model,source_count,all_cleared,total_time_per_source_s,movement_time_per_source_s,detection_switch_time_per_source_s,clear_action_time_per_source_s,measure_actions_per_source,channel_switches_per_source,last_discovery_time_per_source_s,search_end_time_per_source_s,unfinished_after_search_rate,not_clear_ready_after_search_rate,active_measurements_per_source,co_measurements_per_source,coverage_insertions_per_source,decomposition_error_s
161803,1,C+,11,1,385.5456363636364,304.45474525065777,76.0909090909091,5.0,12.727272727272727,12.454545454545455,166.45454545454547,205.54545454545453,1.0,0.8181818181818182,1.1818181818181819,0.6363636363636364,0.0,0.00019775723512793775
161803,1,F_fixed_no_insert,11,1,391.31427272727274,324.58698971387435,61.72727272727273,5.0,10.363636363636363,9.909090909090908,155.54545454545453,189.72727272727272,1.0,0.8181818181818182,2.3636363636363638,1.3636363636363635,0.0,0.00011314738276269054
161803,1,F_dynamic_no_insert,11,1,377.46063636363635,305.1879378883878,67.27272727272727,5.0,11.272727272727273,10.909090909090908,165.9090909090909,195.72727272727272,1.0,0.8181818181818182,2.4545454545454546,1.7272727272727273,0.0,0.0003167722657053673
161803,1,F_fixed_insert,11,1,341.53,275.8027246026238,60.72727272727273,5.0,10.181818181818182,9.818181818181818,163.89481136363636,202.89692774335302,0.7272727272727273,0.6363636363636364,2.1818181818181817,0.8181818181818182,0.7272727272727273,2.937113777079503e-05
161803,1,F,11,1,332.79663636363637,260.79666750272315,67.0,5.0,11.181818181818182,11.090909090909092,177.31409036363635,215.09241545666157,0.6363636363636364,0.36363636363636365,2.3636363636363638,1.5454545454545454,0.5454545454545454,0.00034252995465067215
161803,2,C+,12,1,365.1164166666667,286.28305023896024,73.83333333333333,5.0,12.333333333333334,12.166666666666666,132.25,192.41666666666666,1.0,0.9166666666666666,1.0833333333333333,0.5,0.0,0.00039713247679173946
161803,2,F_fixed_no_insert,12,1,350.24875,287.16545679487814,58.083333333333336,5.0,9.75,9.333333333333334,121.75,174.41666666666666,1.0,1.0,2.1666666666666665,1.3333333333333333,0.0,0.0004815385377696657
161803,2,F_dynamic_no_insert,12,1,352.55341666666664,288.05338682275357,59.5,5.0,10.0,9.5,149.58333333333334,175.91666666666666,1.0,1.0,2.0,1.1666666666666667,0.0,0.00035812695659842575
161803,2,F_fixed_insert,12,1,346.18875,284.1054451423937,57.083333333333336,5.0,9.583333333333334,9.166666666666666,130.57759616666667,186.7472961106965,0.9166666666666666,0.5,2.0,0.9166666666666666,0.6666666666666666,0.00034170872413596953
161803,2,F,12,1,352.42650000000003,285.2598548472687,62.166666666666664,5.0,10.416666666666666,10.083333333333334,152.922612,190.2096103077039,0.8333333333333334,0.5833333333333334,2.4166666666666665,1.25,0.5833333333333334,0.0002581672238193278
161803,3,C+,10,1,423.8196,328.71961159550625,90.1,5.0,15.1,14.6,230.9,231.5,1.0,0.9,1.5,0.7,0.0,0.00011595506248340826
161803,3,F_fixed_no_insert,10,1,407.6196,328.7196153770806,73.9,5.0,12.4,11.9,212.9,215.3,1.0,0.9,2.2,1.4,0.0,0.00015377080580947222
161803,3,F_dynamic_no_insert,10,1,395.98159999999996,319.18163179631364,71.8,5.0,12.1,11.3,179.5,213.5,1.0,0.9,2.1,1.2,0.0,0.0003179631366947433
161803,3,F_fixed_insert,10,1,415.1286,335.1285666603552,75.0,5.0,12.6,12.0,235.76993510000003,236.96993509933395,0.7,0.5,2.4,0.8,0.8,0.00033339644824081915
161803,3,F,10,1,398.96930000000003,322.3692611051826,71.6,5.0,12.0,11.6,195.8715375,229.2942369307012,0.7,0.5,2.0,0.8,0.7,0.00038894817407708615
161803,4,C+,15,1,328.9543333333333,264.5543638118284,59.4,5.0,9.933333333333334,9.733333333333333,127.9195938,155.38626048751448,0.9333333333333333,0.9333333333333333,1.2666666666666666,0.4666666666666667,0.0,0.00045717742659689975
161803,4,F_fixed_no_insert,15,1,315.80173333333335,267.1350428683659,43.666666666666664,5.0,7.333333333333333,7.0,114.06666666666666,135.93333333333334,1.0,1.0,2.0,1.0666666666666667,0.0,0.0003569745117601997
161803,4,F_dynamic_no_insert,15,1,315.80173333333335,267.1350428683659,43.666666666666664,5.0,7.333333333333333,7.0,114.06666666666666,135.93333333333334,1.0,1.0,2.0,1.0666666666666667,0.0,0.0003569745117601997
161803,4,F_fixed_insert,15,1,309.6571333333333,258.85712543621315,45.8,5.0,7.666666666666667,7.466666666666667,127.5291334,151.2762777685545,0.8666666666666667,0.4,2.3333333333333335,1.4666666666666666,0.5333333333333333,0.00011845680228361744
161803,4,F,15,1,343.9279333333333,291.4612548821053,47.46666666666667,5.0,8.0,7.466666666666667,127.5127428,152.76388076839882,0.8666666666666667,0.3333333333333333,2.6,1.4,0.5333333333333333,0.00017676841980573954
161803,5,C+,13,1,322.29538461538465,252.44922318101686,64.84615384615384,5.0,10.846153846153847,10.615384615384615,169.76923076923077,173.0,1.0,0.8461538461538461,1.2307692307692308,0.5384615384615384,0.0,9.864678077065037e-05
161803,5,F_fixed_no_insert,13,1,339.0436923076923,283.42828998933356,50.61538461538461,5.0,8.461538461538462,8.307692307692308,152.69230769230768,155.92307692307693,1.0,0.8461538461538461,2.5384615384615383,1.6923076923076923,0.0,0.0002301386639373959
161803,5,F_dynamic_no_insert,13,1,339.0436923076923,283.42828998933356,50.61538461538461,5.0,8.461538461538462,8.307692307692308,152.69230769230768,155.92307692307693,1.0,0.8461538461538461,2.5384615384615383,1.6923076923076923,0.0,0.0002301386639373959
161803,5,F_fixed_insert,13,1,292.6532307692308,238.6532470653644,49.0,5.0,8.23076923076923,7.846153846153846,171.73834546153847,174.0460377341314,0.7692307692307693,0.38461538461538464,2.3076923076923075,1.1538461538461537,0.6153846153846154,0.00021184973729759804
161803,5,F,13,1,312.8058461538462,258.57508134205807,49.23076923076923,5.0,8.23076923076923,8.076923076923077,92.27582123076922,165.5808477636878,0.8461538461538461,0.6153846153846154,2.6923076923076925,1.5384615384615385,0.6153846153846154,5.744675490859663e-05
161803,6,C+,11,1,423.41472727272725,333.323823289724,85.0909090909091,5.0,14.272727272727273,13.727272727272727,177.36363636363637,211.54545454545453,1.0,1.0,1.7272727272727273,0.6363636363636364,0.0,5.618696377496235e-05
161803,6,F_fixed_no_insert,11,1,375.9203636363636,305.8294458782039,65.0909090909091,5.0,10.909090909090908,10.545454545454545,160.45454545454547,190.27272727272728,1.0,1.0,2.5454545454545454,1.4545454545454546,0.0,9.53397570810921e-05
161803,6,F_dynamic_no_insert,11,1,352.52672727272727,280.34491606145605,67.18181818181819,5.0,11.272727272727273,10.818181818181818,191.9090909090909,192.45454545454547,1.0,1.0,2.5454545454545454,1.6363636363636365,0.0,7.667601676075719e-05
161803,6,F_fixed_insert,11,1,386.5132727272727,316.4223758387347,65.0909090909091,5.0,10.909090909090908,10.545454545454545,177.64900854545454,206.92173577563244,0.9090909090909091,0.6363636363636364,2.5454545454545454,1.0909090909090908,0.7272727272727273,0.00013422608162727556
161803,6,F,11,1,338.0388181818182,266.9478830416274,66.0909090909091,5.0,11.090909090909092,10.636363636363637,206.7489440909091,211.65803498073421,0.7272727272727273,0.36363636363636365,2.0,0.9090909090909091,0.6363636363636364,0.000286542098820064
161803,7,C+,11,1,411.7188181818182,324.8096938311205,81.9090909090909,5.0,13.727272727272727,13.272727272727273,169.72727272727272,209.9090909090909,1.0,1.0,1.4545454545454546,0.6363636363636364,0.0,0.0003678576745187456
161803,7,F_fixed_no_insert,11,1,375.60281818181824,307.3301123271757,63.27272727272727,5.0,10.636363636363637,10.090909090909092,156.0909090909091,190.8181818181818,1.0,1.0,2.3636363636363638,1.5454545454545454,0.0,0.00023559893224955886
161803,7,F_dynamic_no_insert,11,1,387.39209090909094,317.9375172330906,64.45454545454545,5.0,10.818181818181818,10.363636363636363,126.27272727272727,191.36363636363637,1.0,1.0,2.5454545454545454,1.7272727272727273,0.0,0.0003104360034740239
161803,7,F_fixed_insert,11,1,384.1207272727273,311.6661955696469,67.45454545454545,5.0,11.363636363636363,10.636363636363637,170.79467336363635,204.9764915217386,0.9090909090909091,0.6363636363636364,3.090909090909091,1.6363636363636365,0.7272727272727273,0.0001512661156084505
161803,7,F,11,1,361.2481818181818,293.3390897940025,62.90909090909091,5.0,10.545454545454545,10.181818181818182,126.82145245454545,195.86297654708306,0.9090909090909091,0.6363636363636364,2.272727272727273,1.5454545454545454,0.18181818181818182,1.2265972600289388e-05
161803,8,C+,10,1,442.86080000000004,352.26084840791765,85.6,5.0,14.3,14.1,187.9,230.3,1.0,0.7,0.9,0.2,0.0,0.00048407917620352237
