seed,case,model,source_count,all_cleared,total_time_per_source_s,movement_time_per_source_s,detection_switch_time_per_source_s,clear_action_time_per_source_s,measure_actions_per_source,channel_switches_per_source,last_discovery_time_per_source_s,search_end_time_per_source_s,unfinished_after_search_rate,not_clear_ready_after_search_rate,active_measurements_per_source,co_measurements_per_source,coverage_insertions_per_source,primary_blocks_per_source,revisited_channel_rate,preemptions_per_source,decomposition_error_s
112358,1,F,16,1,278.8760625,232.9385934221221,40.9375,5.0,6.875,6.5625,135.5173280625,138.51732806183733,0.8125,0.5,2.625,1.5625,0.5,0.8125,0.0,0.0,0.0004947539537170087
112358,1,G,16,1,266.579125,221.01664596966864,40.5625,5.0,6.8125,6.5,135.5173280625,138.51732806183733,0.8125,0.5,2.5625,1.6875,0.5,0.875,0.0625,0.0625,0.0003355146986905311
112358,1,F_marginal_insert,16,1,279.97775,234.41525433604875,40.5625,5.0,6.8125,6.5,136.6247424375,139.62474242657402,0.8125,0.5,2.5625,1.5,0.5,0.8125,0.0,0.0,6.937677972018719e-05
112358,1,G_marginal_insert,16,1,266.41825,220.98076487657033,40.4375,5.0,6.8125,6.375,136.6247424375,139.62474242657402,0.8125,0.5,2.5625,1.5625,0.5,0.875,0.0625,0.0625,0.00023802512532711262
112358,2,F,16,1,257.182,214.55699844082355,37.625,5.0,6.3125,6.0625,94.6416345625,95.39163457952569,0.875,0.625,2.375,1.4375,0.375,0.875,0.0,0.0,2.494682348697097e-05
112358,2,G,16,1,252.91175,209.78674422639284,38.125,5.0,6.4375,5.9375,94.6416345625,95.39163457952569,0.875,0.625,2.5,1.5625,0.375,1.0,0.125,0.125,9.237771473635803e-05
112358,2,F_marginal_insert,16,1,255.150875,212.08834723307234,38.0625,5.0,6.375,6.1875,105.1287245625,105.50372457995373,0.8125,0.375,2.4375,1.4375,0.5625,0.8125,0.0,0.0,0.00044427084276321693
112358,2,G_marginal_insert,16,1,250.1239375,207.31146719989493,37.8125,5.0,6.375,5.9375,105.1287245625,105.50372457995373,0.8125,0.375,2.4375,1.4375,0.5625,0.875,0.0625,0.0625,0.0004751983187816222
112358,3,F,14,1,326.984,273.69830018641125,48.285714285714285,5.0,8.071428571428571,7.928571428571429,132.85335085714286,157.49225818138896,0.8571428571428571,0.5714285714285714,3.0,2.0,0.5714285714285714,0.8571428571428571,0.0,0.0,0.00020260975770725054
112358,3,G,14,1,306.2683571428571,252.69692229915776,48.57142857142857,5.0,8.142857142857142,7.857142857142857,132.85335085714286,157.49225818138896,0.8571428571428571,0.5714285714285714,3.0714285714285716,2.142857142857143,0.5714285714285714,1.0,0.14285714285714285,0.14285714285714285,8.781179076322587e-05
112358,3,F_marginal_insert,14,1,296.88885714285715,246.1031113396371,45.785714285714285,5.0,7.642857142857143,7.571428571428571,142.12589107142858,171.33755786675178,0.5714285714285714,0.07142857142857142,2.5714285714285716,1.5714285714285714,0.9285714285714286,0.5714285714285714,0.0,0.0,0.0004412450807649293
112358,3,G_marginal_insert,14,1,295.4631428571429,244.67745867526816,45.785714285714285,5.0,7.642857142857143,7.571428571428571,142.12589107142858,171.33755786675178,0.5714285714285714,0.07142857142857142,2.5714285714285716,1.5714285714285714,0.9285714285714286,0.6428571428571429,0.07142857142857142,0.07142857142857142,0.00042145375391555717
112358,4,F,10,1,321.92539999999997,239.92540582056034,77.0,5.0,12.9,12.5,191.88691120000001,231.2869112440861,0.8,0.7,2.8,1.5,0.8,0.8,0.0,0.0,5.8205603636452e-05
112358,4,G,10,1,322.2574,238.65744045124165,78.6,5.0,13.2,12.6,191.88691120000001,231.2869112440861,0.8,0.7,3.1,2.0,0.8,0.8,0.0,0.0,0.00040451241648042924
112358,4,F_marginal_insert,10,1,320.6592,239.75923205387153,75.9,5.0,12.7,12.4,196.9731291,242.76690583839678,0.6,0.2,2.6,1.3,1.1,0.6,0.0,0.0,0.00032053871518655797
112358,4,G_marginal_insert,10,1,320.6186,239.21859838286318,76.4,5.0,12.8,12.4,196.9731291,242.76690583839678,0.6,0.2,2.7,1.5,1.1,0.6,0.0,0.0,1.617136831555399e-05
112358,5,F,14,1,288.0902142857143,239.23307553472168,43.857142857142854,5.0,7.357142857142857,7.071428571428571,106.78180757142857,151.06752184975318,0.7857142857142857,0.7142857142857143,2.5714285714285716,1.2142857142857142,0.5714285714285714,0.7857142857142857,0.0,0.0,5.7486103742121486e-05
112358,5,G,14,1,279.7929285714286,231.4357875496209,43.357142857142854,5.0,7.285714285714286,6.928571428571429,106.78180757142857,151.06752184975318,0.7857142857142857,0.7142857142857143,2.5,1.3571428571428572,0.5714285714285714,0.7857142857142857,0.0,0.0,2.5694692340039182e-05
112358,5,F_marginal_insert,14,1,278.8057142857143,228.23427975531916,45.57142857142857,5.0,7.642857142857143,7.357142857142857,142.7305012142857,170.4063793237567,0.5,0.21428571428571427,2.5714285714285716,1.4285714285714286,0.9285714285714286,0.5,0.0,0.0,8.342553201146075e-05
112358,5,G_marginal_insert,14,1,278.41742857142856,227.84597786798506,45.57142857142857,5.0,7.642857142857143,7.357142857142857,142.7305012142857,170.4063793237567,0.5,0.21428571428571427,2.5714285714285716,1.5,0.9285714285714286,0.5,0.0,0.0,0.0003098482093264465
112358,6,F,11,1,364.4248181818182,298.1520975431391,61.27272727272727,5.0,10.272727272727273,9.909090909090908,165.72785872727275,202.06300559844215,0.8181818181818182,0.2727272727272727,2.4545454545454546,1.2727272727272727,0.6363636363636364,0.8181818181818182,0.0,0.0,7.297453066712478e-05
112358,6,G,11,1,364.6770909090909,297.94981338705287,61.72727272727273,5.0,10.363636363636363,9.909090909090908,165.72785872727275,202.06300559844215,0.8181818181818182,0.2727272727272727,2.5454545454545454,1.4545454545454546,0.6363636363636364,0.8181818181818182,0.0,0.0,5.274241857478046e-05
112358,6,F_marginal_insert,11,1,387.4560909090909,321.0924781212581,61.36363636363637,5.0,10.272727272727273,10.0,173.08368690909091,209.41883372691174,0.8181818181818182,0.2727272727272727,2.4545454545454546,1.2727272727272727,0.7272727272727273,0.8181818181818182,0.0,0.0,0.00025933383949450217
112358,6,G_marginal_insert,11,1,387.79381818181815,320.9756210517349,61.81818181818182,5.0,10.363636363636363,10.0,173.08368690909091,209.41883372691174,0.8181818181818182,0.2727272727272727,2.5454545454545454,1.4545454545454546,0.7272727272727273,0.8181818181818182,0.0,0.0,0.00016843091634655138
112358,7,F,16,1,252.3065625,209.05655095301702,38.25,5.0,6.4375,6.0625,117.932363125,118.68236313214852,0.75,0.5625,2.1875,0.9375,0.5,0.75,0.0,0.0,0.00018475172782927984
112358,7,G,16,1,265.668625,221.10609999227682,39.5625,5.0,6.6875,6.125,117.932363125,118.68236313214852,0.75,0.5625,2.4375,1.3125,0.5,0.875,0.125,0.125,0.00040012357112573227
112358,7,F_marginal_insert,16,1,258.7545625,215.87958990347403,37.875,5.0,6.375,6.0,126.910770625,127.6607706336957,0.75,0.4375,2.125,0.9375,0.625,0.75,0.0,0.0,0.0004384555841170368
112358,7,G_marginal_insert,16,1,272.9916875,229.11671217637502,38.875,5.0,6.5625,6.0625,126.910770625,127.6607706336957,0.75,0.4375,2.3125,1.1875,0.625,0.875,0.125,0.125,0.0003948220000893343
112358,8,F,16,1,261.6623125,221.34984057313702,35.3125,5.0,5.9375,5.625,136.6801155625,139.6801155741562,0.8125,0.25,2.3125,1.375,0.5,0.8125,0.0,0.0,0.0004491701924962399
112358,8,G,16,1,259.94975,219.94973582602753,35.0,5.0,5.875,5.625,136.6801155625,139.6801155741562,0.8125,0.25,2.25,1.5,0.5,0.8125,0.0,0.0,0.00022678355935568106
112358,8,F_marginal_insert,16,1,250.3964375,209.89640921886254,35.5,5.0,5.9375,5.8125,134.47445325,137.0994532293372,0.8125,0.3125,2.3125,1.4375,0.4375,0.8125,0.0,0.0,0.0004524981991380628
112358,8,G_marginal_insert,16,1,248.521375,208.33386621953647,35.1875,5.0,5.875,5.8125,134.47445325,137.0994532293372,0.8125,0.3125,2.25,1.5625,0.4375,0.8125,0.0,0.0,0.00014048741650185548
112358,9,F,15,1,285.57873333333333,236.71208021286023,43.86666666666667,5.0,7.4,6.866666666666666,127.39637406666667,147.66304074397084,0.8,0.6,2.533333333333333,1.2666666666666666,0.5333333333333333,0.8,0.0,0.0,0.0002031929038821545
112358,9,G,15,1,285.7873333333334,236.58730574565152,44.2,5.0,7.466666666666667,6.866666666666666,127.39637406666667,147.66304074397084,0.8,0.6,2.6,1.5333333333333334,0.5333333333333333,0.8,0.0,0.0,0.000413815227602754
112358,9,F_marginal_insert,15,1,299.29046666666665,251.3571075955213,42.93333333333333,5.0,7.2,6.933333333333334,136.45983866666668,161.65625458852088,0.6,0.3333333333333333,2.3333333333333335,1.0,0.8,0.6,0.0,0.0,0.00038606718044320587
112358,9,G_marginal_insert,15,1,298.54,250.6066932491635,42.93333333333333,5.0,7.2,6.933333333333334,136.45983866666668,161.65625458852088,0.6,0.3333333333333333,2.3333333333333335,1.2,0.8,0.6,0.0,0.0,0.00039873745208751643
112358,10,F,16,1,259.682125,220.36959561527388,34.3125,5.0,5.75,5.5625,131.6451998125,133.52019982226588,0.75,0.3125,1.8125,1.0625,0.4375,0.75,0.0,0.0,0.00047015561767693725
112358,10,G,16,1,258.15025,218.83774277273136,34.3125,5.0,5.75,5.5625,131.6451998125,133.52019982226588,0.75,0.3125,1.8125,1.1875,0.4375,0.8125,0.0625,0.0625,0.00011563629868760472
112358,10,F_marginal_insert,16,1,259.682125,220.36959561527388,34.3125,5.0,5.75,5.5625,131.6451998125,133.52019982226588,0.75,0.3125,1.8125,1.0625,0.4375,0.75,0.0,0.0,0.00047015561767693725
112358,10,G_marginal_insert,16,1,258.15025,218.83774277273136,34.3125,5.0,5.75,5.5625,131.6451998125,133.52019982226588,0.75,0.3125,1.8125,1.1875,0.4375,0.8125,0.0625,0.0625,0.00011563629868760472
112358,11,F,11,1,363.17872727272726,295.81505301133353,62.36363636363637,5.0,10.454545454545455,10.090909090909092,205.9137579090909,210.2773942930304,0.7272727272727273,0.45454545454545453,2.3636363636363638,1.1818181818181819,0.7272727272727273,0.7272727272727273,0.0,0.0,0.0004168753312114859
112358,11,G,11,1,363.17872727272726,295.81505301133353,62.36363636363637,5.0,10.454545454545455,10.090909090909092,205.9137579090909,210.2773942930304,0.7272727272727273,0.45454545454545453,2.3636363636363638,1.1818181818181819,0.7272727272727273,0.7272727272727273,0.0,0.0,0.0004168753312114859
112358,11,F_marginal_insert,11,1,357.8653636363636,291.59263670963963,61.27272727272727,5.0,10.272727272727273,9.909090909090908,202.13571827272727,207.04480919358204,0.7272727272727273,0.36363636363636365,2.1818181818181817,1.1818181818181819,0.45454545454545453,0.7272727272727273,0.0,0.0,3.8060361475800164e-06
112358,11,G_marginal_insert,11,1,357.8653636363636,291.59263670963963,61.27272727272727,5.0,10.272727272727273,9.909090909090908,202.13571827272727,207.04480919358204,0.7272727272727273,0.36363636363636365,2.1818181818181817,1.1818181818181819,0.45454545454545453,0.7272727272727273,0.0,0.0,3.8060361475800164e-06
112358,12,F,14,1,286.2727142857143,231.48697177004593,49.785714285714285,5.0,8.357142857142858,8.0,135.3604585,157.50331565417585,0.7142857142857143,0.6428571428571429,2.857142857142857,1.7142857142857142,0.5714285714285714,0.7142857142857143,0.0,0.0,0.0003952193574150442
112358,12,G,14,1,286.00442857142855,230.86159610207278,50.142857142857146,5.0,8.428571428571429,8.0,135.3604585,157.50331565417585,0.7142857142857143,0.6428571428571429,2.9285714285714284,1.8571428571428572,0.5714285714285714,0.7142857142857143,0.0,0.0,0.00034542901903478196
112358,12,F_marginal_insert,14,1,286.1392857142857,234.56786062648612,46.57142857142857,5.0,7.785714285714286,7.642857142857143,131.7150422857143,155.21065197157375,0.7857142857142857,0.5,2.2857142857142856,1.2857142857142858,0.5,0.7857142857142857,0.0,0.0,4.8770805733511224e-05
112358,12,G_marginal_insert,14,1,285.4399285714286,233.51132884131613,46.92857142857143,5.0,7.857142857142857,7.642857142857143,131.7150422857143,155.21065197157375,0.7857142857142857,0.5,2.357142857142857,1.4285714285714286,0.5,0.7857142857142857,0.0,0.0,0.0003962215741921682
112358,13,F,10,1,404.158,329.6579525037661,69.5,5.0,11.7,11.0,155.0863836,228.61963777642399,0.8,0.7,2.7,1.2,0.8,0.8,0.0,0.0,0.0004749623385578161
112358,13,G,10,1,404.658,329.6579525037661,70.0,5.0,11.8,11.0,155.0863836,228.61963777642399,0.8,0.7,2.8,1.3,0.8,0.8,0.0,0.0,0.0004749623385578161
112358,13,F_marginal_insert,10,1,459.84409999999997,377.84413978201104,77.0,5.0,12.9,12.5,194.2132818,235.99189291512238,1.0,0.6,3.0,1.7,0.6,1.0,0.0,0.0,0.00039782011072020396
112358,13,G_marginal_insert,10,1,429.2048,346.70477309276913,77.5,5.0,13.0,12.5,194.2132818,235.99189291512238,1.0,0.6,3.1,2.0,0.6,1.0,0.0,0.0,0.0002690723085834179
112358,14,F,16,1,251.9185625,205.91858803394175,41.0,5.0,6.875,6.625,116.7182033125,118.59320329664192,0.9375,0.6875,2.5,1.375,0.5,0.9375,0.0,0.0,0.000408543067806022
112358,14,G,16,1,248.5850625,199.58507330243012,44.0,5.0,7.4375,6.8125,116.7182033125,118.59320329664192,0.9375,0.6875,3.0625,2.0625,0.5,1.0,0.0625,0.0625,0.00017283888200836373
112358,14,F_marginal_insert,16,1,272.48925,218.0517400992346,49.4375,5.0,8.25,8.1875,158.3065085,160.55650848018533,0.8125,0.3125,2.75,1.5625,0.875,0.8125,0.0,0.0,0.000158412246946682
112358,14,G_marginal_insert,16,1,271.282625,216.90759922064862,49.375,5.0,8.25,8.125,158.3065085,160.55650848018533,0.8125,0.3125,2.75,1.6875,0.875,0.9375,0.125,0.125,0.00041246962200602866
112358,15,F,11,1,325.10336363636367,263.4669717321798,56.63636363636363,5.0,9.454545454545455,9.363636363636363,144.40472499999998,209.66882546985065,0.5454545454545454,0.09090909090909091,2.3636363636363638,1.5454545454545454,0.7272727272727273,0.5454545454545454,0.0,0.0,0.0003109460226369265
112358,15,G,11,1,325.10336363636367,263.4669717321798,56.63636363636363,5.0,9.454545454545455,9.363636363636363,144.40472499999998,209.66882546985065,0.5454545454545454,0.09090909090909091,2.3636363636363638,1.5454545454545454,0.7272727272727273,0.5454545454545454,0.0,0.0,0.0003109460226369265
112358,15,F_marginal_insert,11,1,307.7353636363636,247.1899310475379,55.54545454545455,5.0,9.272727272727273,9.181818181818182,136.0550739090909,203.06700777366942,0.5454545454545454,0.0,2.1818181818181817,1.5454545454545454,0.6363636363636364,0.5454545454545454,0.0,0.0,0.0002415229168946098
112358,15,G_marginal_insert,11,1,307.7353636363636,247.1899310475379,55.54545454545455,5.0,9.272727272727273,9.181818181818182,136.0550739090909,203.06700777366942,0.5454545454545454,0.0,2.1818181818181817,1.5454545454545454,0.6363636363636364,0.5454545454545454,0.0,0.0,0.0002415229168946098
112358,16,F,14,1,284.2620714285714,236.97635334540038,42.285714285714285,5.0,7.071428571428571,6.928571428571429,122.08881542857144,165.517386871245,0.6428571428571429,0.35714285714285715,2.4285714285714284,1.5,0.5714285714285714,0.6428571428571429,0.0,0.0,5.316439455782529e-05
112358,16,G,14,1,283.6543571428571,234.94007699086666,43.714285714285715,5.0,7.357142857142857,6.928571428571429,122.08881542857144,165.517386871245,0.6428571428571429,0.35714285714285715,2.7142857142857144,1.8571428571428572,0.5714285714285714,0.6428571428571429,0.0,0.0,7.787213326082565e-05
112358,16,F_marginal_insert,14,1,285.3025714285714,235.94541168735321,44.357142857142854,5.0,7.428571428571429,7.214285714285714,116.69152728571429,169.18870003548696,0.6428571428571429,0.14285714285714285,2.7857142857142856,1.8571428571428572,0.7857142857142857,0.6428571428571429,0.0,0.0,0.0002363770549891342
112358,16,G_marginal_insert,14,1,285.6597142857143,235.94541168735321,44.714285714285715,5.0,7.5,7.214285714285714,116.69152728571429,169.18870003548696,0.6428571428571429,0.14285714285714285,2.857142857142857,1.9285714285714286,0.7857142857142857,0.6428571428571429,0.0,0.0,0.0002363770549891342
112358,17,F,16,1,265.0335,221.97098340338493,38.0625,5.0,6.375,6.1875,133.9132490625,136.16324905792013,0.875,0.5,2.3125,1.375,0.5,0.875,0.0,0.0,0.00026554584110272117
112358,17,G,16,1,265.2621875,222.1997157288833,38.0625,5.0,6.375,6.1875,133.9132490625,136.16324905792013,0.875,0.5,2.3125,1.4375,0.5,0.875,0.0,0.0,0.00045166213294578483
112358,17,F_marginal_insert,16,1,239.2920625,196.60457045329022,37.6875,5.0,6.3125,6.125,141.32038725,142.44538726709558,0.6875,0.3125,2.25,1.1875,0.75,0.6875,0.0,0.0,0.00012725264377877465
112358,17,G_marginal_insert,16,1,238.3598125,195.35982753005206,38.0,5.0,6.375,6.125,141.32038725,142.44538726709558,0.6875,0.3125,2.3125,1.3125,0.75,0.75,0.0625,0.0625,0.00024048083287198097
112358,18,F,11,1,396.8183636363637,323.2728980004983,68.54545454545455,5.0,11.545454545454545,10.818181818181818,168.58128181818182,208.51681047116946,0.9090909090909091,0.5454545454545454,2.909090909090909,1.3636363636363635,0.7272727272727273,0.9090909090909091,0.0,0.0,0.0001219945193042804
112358,18,G,11,1,360.5710909090909,288.38926819320073,67.18181818181819,5.0,11.272727272727273,10.818181818181818,168.58128181818182,208.51681047116946,0.9090909090909091,0.5454545454545454,2.6363636363636362,1.5454545454545454,0.7272727272727273,0.9090909090909091,0.0,0.0,4.9874791784532135e-05
112358,18,F_marginal_insert,11,1,365.35854545454544,289.63125638974094,70.72727272727273,5.0,11.818181818181818,11.636363636363637,164.55093527272726,206.14765537204693,1.0,0.7272727272727273,3.1818181818181817,1.8181818181818181,0.6363636363636364,1.0,0.0,0.0,0.00017971284933082643
112358,18,G_marginal_insert,11,1,363.60254545454546,287.6025046482144,71.0,5.0,11.909090909090908,11.454545454545455,164.55093527272726,206.14765537204693,1.0,0.7272727272727273,3.272727272727273,2.090909090909091,0.6363636363636364,1.0,0.0,0.0,0.0004488696417865867
