case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
14,DG_k5_t2,16,16,16,10052.657,493,16,1,27,7617.209904580123,7028.657039684125,4800.209904580124,2228.4471351040024,2465.0,479.0,80.0,0,0,B,2,2,B,1,0.3672202999878209
15,Cplus3F,16,16,16,10394.386,506,16,1,27,5983.964677413021,7302.386187514998,3834.9646774130224,3467.4215101019745,2530.0,482.0,80.0,0,0,B,0,0,,,0.6256977000157349
15,C3FDirect,16,16,16,10155.354,602,16,1,29,6140.298260151045,6470.353918918177,3480.2982601510444,2990.055658767134,3010.0,595.0,80.0,0,0,C,248,174,,,0.2890184999851044
15,DG_k1_t0,16,16,16,10656.381,526,16,1,27,6245.9598613934595,7444.381371495437,3976.9598613934604,3467.4215101019745,2630.0,502.0,80.0,0,0,B,0,0,B,0,0.6468641999817919
15,DG_k2_t0,16,16,16,10907.408,546,16,1,27,6496.986687321964,7575.408197423942,4107.986687321965,3467.4215101019745,2730.0,522.0,80.0,0,0,B,0,0,B,0,0.6240700999915134
15,DG_k3_t0,16,16,16,10155.354,602,16,1,29,6140.298260151045,6470.353918918177,3480.2982601510444,2990.055658767134,3010.0,595.0,80.0,0,0,C,248,174,C,1,0.2606796000036411
15,DG_k3_t1,16,16,16,11294.816,564,16,1,27,6884.394914949502,7854.81642505148,4387.394914949504,3467.4215101019745,2820.0,540.0,80.0,0,0,B,0,0,B,1,0.4996298000041861
15,DG_k5_t2,16,16,16,11990.193,603,16,1,27,7561.309745442192,8316.192516759838,4841.309745442193,3474.882771317645,3015.0,579.0,80.0,0,0,B,1,1,B,2,0.667549899982987
16,Cplus3F,16,16,16,8327.79,406,16,1,27,6104.752756593174,5827.789590439682,3822.752756593175,2005.0368338465069,2030.0,390.0,80.0,0,0,B,0,0,,,0.634810000017751
16,C3FDirect,16,16,16,8516.778,426,16,1,29,5052.275881225391,5891.777660985092,2954.27588122539,2937.501779759702,2130.0,415.0,80.0,0,0,C,265,89,,,0.43207300000358373
