case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,L950_C2,15,15,15,10499.905,319,15,1,31,8224.448267190432,8514.905355696359,6395.448267190432,2119.4570885059275,1595.0,315.0,75.0,0,0.2932978000026196
2,L950_C2,10,10,10,10521.207,414,10,1,31,8790.204211259801,7992.207442118292,6336.2042112598,1656.0032308584937,2070.0,409.0,50.0,0,0.17599889999837615
3,L950_C2,12,12,12,10147.497,321,12,1,31,8248.448267190432,8163.496595731828,6395.448267190432,1768.0483285413952,1605.0,319.0,60.0,0,0.19275260000722483
4,L950_C2,15,15,15,10068.872,293,15,1,31,8087.817528833359,8242.871825766362,6399.817528833359,1843.0542969330056,1465.0,286.0,75.0,0,0.26717820001067594
5,L950_C2,13,13,13,10183.499,320,13,1,31,8261.465602396243,8199.498688433629,6397.465602396243,1802.033086037387,1600.0,319.0,65.0,0,0.1956334999995306
6,L950_C2,12,12,12,10516.273,334,12,1,31,8320.686158582408,8467.272716497962,6439.686158582407,2027.5865579155534,1670.0,319.0,60.0,0,0.3224048000120092
7,L950_C2,12,12,12,10761.992,363,12,1,31,8477.313010736661,8532.991697896397,6398.313010736661,2134.678687159733,1815.0,354.0,60.0,0,0.2872516000061296
8,L950_C2,13,13,13,10206.338,329,13,1,31,8354.734478115482,8171.338248264704,6437.734478115482,1733.6037701492237,1645.0,325.0,65.0,0,0.14668999999412335
9,L950_C2,12,12,12,10421.709,339,12,1,31,8361.059932580956,8339.708956221013,6432.059932580956,1907.6490236400568,1695.0,327.0,60.0,0,0.3259954000241123
10,L950_C2,15,15,15,10662.913,318,15,1,31,8254.5337127866,8685.91274810582,6421.533712786602,2264.379035319216,1590.0,312.0,75.0,0,0.23116220001247711
11,L950_C2,16,16,16,5242.064,193,16,1,31,2879.541489517005,4020.0643632441006,2048.541489517005,1971.5228737270952,965.0,177.0,80.0,0,0.4552416000224184
12,L950_C2,16,16,16,6048.628,181,16,1,31,3600.00708129301,4895.628114249088,2660.00708129301,2235.6210329560777,905.0,168.0,80.0,0,0.4419708999921568
