case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
35,CplusLog,15,15,15,8877.625,430,15,1,29,5972.470089686696,6233.625470537122,3647.4700896866952,2586.1553808504273,2150.0,419.0,75.0,0,3,C,0.37626279998221435
36,CplusLog,13,13,13,8112.547,386,13,1,29,5841.143582639586,5744.547326845698,3637.1435826395864,2107.403744206112,1930.0,373.0,65.0,0,3,C,0.38899220002349466
37,CplusLog,12,12,12,9949.845,535,12,1,29,6318.712881905911,6694.844622277986,3632.7128819059085,3062.131740372077,2675.0,520.0,60.0,0,3,C,0.4414487000030931
38,CplusLog,10,10,10,9315.02,494,10,1,29,6184.526432326396,6331.0195186579585,3629.5264323263946,2701.4930863315626,2470.0,464.0,50.0,0,4,C,0.4064117999805603
39,CplusLog,15,15,15,9039.583,422,15,1,29,5789.504956601245,6454.583032157177,3673.504956601245,2781.0780755559313,2110.0,400.0,75.0,0,4,C,0.7311899999913294
40,CplusLog,11,11,11,8274.995,411,11,1,29,5992.526432326396,5762.9951739785,3629.5264323263946,2133.4687416521037,2055.0,402.0,55.0,0,2,C,0.3192700000072364
41,CplusLog,16,16,16,8722.696,416,16,1,29,4475.018030854491,6162.695967330162,2778.0180308544914,3384.6779364756726,2080.0,400.0,80.0,0,2,C,0.6001072000071872
42,CplusLog,13,13,13,8679.469,415,13,1,29,5998.646884416772,6137.469485288406,3631.646884416771,2505.8226008716347,2075.0,402.0,65.0,0,2,C,0.3381478999799583
43,CplusLog,13,13,13,9085.876,410,13,1,29,5927.0480296196065,6569.876255275714,3700.048029619605,2869.82822565611,2050.0,401.0,65.0,0,5,C,0.23012130000279285
44,CplusLog,10,10,10,8537.637,460,10,1,29,6260.872248724956,5740.636539553726,3641.872248724955,2098.7642908287717,2300.0,447.0,50.0,0,1,C,0.28289140001288615
45,CplusLog,11,11,11,8091.761,404,11,1,29,5977.611784176529,5623.760847043799,3669.611784176529,1954.1490628672711,2020.0,393.0,55.0,0,3,C,0.38551710001775064
46,CplusLog,10,10,10,9945.768,526,10,1,29,6328.526432326396,6762.76830168099,3629.5264323263946,3133.2418693545983,2630.0,503.0,50.0,0,1,C,0.4157124999910593
47,CplusLog,15,15,15,8257.933,384,15,1,29,5680.5264323263955,5891.932711843164,3629.5264323263946,2262.40627951677,1920.0,371.0,75.0,0,3,C,0.44287939998321235
48,CplusLog,14,14,14,9518.757,424,14,1,29,5757.0773627258595,6923.757450108004,3630.0773627258586,3293.6800873821476,2120.0,405.0,70.0,0,3,C,0.5013649000029545
49,CplusLog,16,16,16,8483.779,366,16,1,29,5215.763262621534,6224.778654117921,3383.7632626215327,2841.0153914963885,1830.0,349.0,80.0,0,4,C,0.6154087999893818
50,CplusLog,12,12,12,9287.915,378,12,1,29,5731.103053264542,6976.914620790999,3657.103053264542,3319.8115675264585,1890.0,361.0,60.0,0,4,C,0.17634140001609921
51,CplusLog,15,15,15,9194.64,452,15,1,29,5981.3743146106945,6430.639677391111,3639.3743146106926,2791.2653627804166,2260.0,429.0,75.0,0,2,C,0.7851337000029162
52,CplusLog,11,11,11,8202.51,490,11,1,29,6358.526432326396,5217.510012980872,3629.5264323263946,1587.9835806544781,2450.0,480.0,55.0,0,1,C,0.2715209999878425
53,CplusLog,11,11,11,8341.282,450,11,1,29,6262.769246558996,5591.281541962593,3636.769246558994,1954.5122954035985,2250.0,445.0,55.0,0,3,C,0.2453899999964051
54,CplusLog,13,13,13,9308.728,394,13,1,29,5646.06922724673,6907.7284459420525,3638.0692272467304,3269.659218695324,1970.0,366.0,65.0,0,4,C,0.4834371999895666
55,CplusLog,15,15,15,9429.168,418,15,1,29,5986.526432326396,6857.168196041511,3629.5264323263946,3227.641763715117,2090.0,407.0,75.0,0,1,C,0.5147748000163119
56,CplusLog,10,10,10,8311.025,441,10,1,29,6142.526432326396,5624.024632769358,3629.5264323263946,1994.4982004429646,2205.0,432.0,50.0,0,2,C,0.33900100001483224
57,CplusLog,11,11,11,8798.022,432,11,1,29,6120.040749599275,6166.021660996294,3668.040749599273,2497.9809113970236,2160.0,417.0,55.0,0,2,C,0.4538481000054162
58,CplusLog,12,12,12,8351.769,443,12,1,29,6226.812118337003,5636.768821669881,3630.8121183370013,2005.9567033328788,2215.0,440.0,60.0,0,1,C,0.18289130000630394
59,CplusLog,11,11,11,9955.09,505,11,1,29,6093.52647711781,6894.090385577093,3629.526477117807,3264.563908459286,2525.0,481.0,55.0,0,3,C,0.5031506000086665
60,CplusLog,10,10,10,9551.878,542,10,1,29,6459.1967865962,6252.877582922095,3635.1967865961983,2617.680796325896,2710.0,539.0,50.0,0,2,C,0.32836630000383593
61,CplusLog,15,15,15,9052.157,454,15,1,29,5893.059453725425,6283.157181634283,3664.0594537254237,2619.097727908862,2270.0,424.0,75.0,0,3,C,0.6407883999927435
62,CplusLog,13,13,13,8871.551,461,13,1,29,6063.595251395848,6061.551052189871,3629.5952513958464,2431.9558007940245,2305.0,440.0,65.0,0,1,C,0.5872377000050619
63,CplusLog,11,11,11,8083.493,433,11,1,29,6179.290311016778,5438.492859300647,3656.2903110167754,1782.2025482838721,2165.0,425.0,55.0,0,1,C,0.22928579998551868
64,CplusLog,16,16,16,8858.126,434,16,1,29,4921.208481566142,6199.126302264536,2956.2084815661415,3242.917820698396,2170.0,409.0,80.0,0,1,C,0.7329486999951769
65,CplusLog,10,10,10,8225.684,443,10,1,27,6726.470031650621,5520.683558305359,4096.470031650621,1424.2135266547396,2215.0,440.0,50.0,0,0,B,0.10374349998892285
66,CplusLog,14,14,14,8699.45,402,14,1,29,5891.464013197807,6233.4500319771705,3637.4640131978053,2595.9860187793643,2010.0,386.0,70.0,0,2,C,0.5432764999859501
67,CplusLog,11,11,11,8903.433,484,11,1,29,6322.526432326396,5965.432897102661,3629.5264323263946,2335.9064647762675,2420.0,463.0,55.0,0,1,C,0.22169199999189004
68,CplusLog,14,14,14,9261.886,440,14,1,29,6076.526432326396,6567.885914029794,3629.5264323263946,2938.359481703397,2200.0,424.0,70.0,0,3,C,0.40585129999089986
69,CplusLog,15,15,15,10102.67,499,15,1,29,5956.526432326396,7057.670133283564,3629.5264323263946,3428.1437009571728,2495.0,475.0,75.0,0,3,C,0.719871500012232
70,CplusLog,14,14,14,8426.442,394,14,1,29,5872.526432326396,6001.441679541933,3629.5264323263946,2371.9152472155374,1970.0,385.0,70.0,0,3,C,0.3710803000140004
71,CplusLog,11,11,11,8377.711,421,11,1,29,6058.511496676898,5806.71103968076,3642.511496676895,2164.1995430038646,2105.0,411.0,55.0,0,3,C,0.34675090000382625
72,CplusLog,11,11,11,9022.104,484,11,1,29,6226.62401029153,6077.104480618174,3630.624010291529,2446.480470326646,2420.0,470.0,55.0,0,3,C,0.3334092999866698
73,CplusLog,16,16,16,9112.817,457,16,1,29,5738.955499181741,6313.8170674512785,3467.9554991817395,2845.861568269541,2285.0,434.0,80.0,0,2,C,0.7277632000041194
74,CplusLog,12,12,12,8870.295,460,12,1,29,6082.526432326396,6068.29544552992,3629.5264323263946,2438.7690132035273,2300.0,442.0,60.0,0,4,C,0.38151929999003187
75,CplusLog,13,13,13,8858.114,385,13,1,29,5671.497385239962,6508.1142144173455,3633.4973852399603,2874.6168291773856,1925.0,360.0,65.0,0,4,C,0.30634709997684695
76,CplusLog,15,15,15,10631.477,549,15,1,29,5774.217398787553,7282.476709333186,3646.217398787552,3636.259310545635,2745.0,529.0,75.0,0,7,C,0.8270132000034209
77,CplusLog,10,10,10,9477.167,497,10,1,29,6217.755697441941,6464.167193713589,3633.755697441939,2830.4114962716494,2485.0,478.0,50.0,0,1,C,0.33916440000757575
78,CplusLog,14,14,14,8716.872,390,14,1,29,5776.5264323263955,6326.871974739725,3629.5264323263946,2697.3455424133313,1950.0,370.0,70.0,0,2,C,0.4861444999987725
79,CplusLog,15,15,15,9775.092,434,15,1,29,5910.186575405114,7118.0915038895,3639.1865754051123,3478.904928484387,2170.0,412.0,75.0,0,4,C,0.3343648000154644
80,CplusLog,14,14,14,8037.623,376,14,1,29,5722.917178909349,5733.622990995418,3638.917178909347,2094.705812086072,1880.0,354.0,70.0,0,3,C,0.7395621000032406
81,CplusLog,14,14,14,9949.183,513,14,1,29,5932.526432326396,6819.183444665517,3629.5264323263946,3189.6570123391257,2565.0,495.0,70.0,0,2,C,0.7133628000156023
82,CplusLog,10,10,10,8917.115,501,10,1,29,6370.526432326396,5882.114862474253,3629.5264323263946,2252.5884301478595,2505.0,480.0,50.0,0,2,C,0.2583104000077583
83,CplusLog,13,13,13,9936.993,480,13,1,29,6010.494779663703,7006.993315801887,3649.4947796637016,3357.498536138188,2400.0,465.0,65.0,0,3,C,0.3562939999974333
84,CplusLog,10,10,10,8853.254,425,10,1,27,6504.8719793931805,6265.253751617278,4081.871979393182,2183.381772224098,2125.0,413.0,50.0,0,0,B,0.37700440001208335
85,CplusLog,15,15,15,9063.59,459,15,1,29,6041.738956807771,6261.590298909209,3645.73895680777,2615.851342101441,2295.0,432.0,75.0,0,3,C,0.6517712000058964
86,CplusLog,13,13,13,9518.018,482,13,1,29,5932.5264323263955,6564.017922370088,3629.5264323263946,2934.4914900436934,2410.0,479.0,65.0,0,2,C,0.5148163000121713
87,CplusLog,15,15,15,9090.8,416,15,1,29,5884.1221350490205,6543.79982720481,3630.122135049018,2913.6776921557926,2080.0,392.0,75.0,0,3,C,0.514389799995115
88,CplusLog,12,12,12,10582.084,548,12,1,29,6034.5264323263955,7249.083976326175,3629.5264323263946,3619.5575439997842,2740.0,533.0,60.0,0,1,C,0.5530658999923617
89,CplusLog,13,13,13,8777.768,424,13,1,29,5818.912559673906,6203.7678059940345,3630.9125596739054,2572.855246320131,2120.0,389.0,65.0,0,1,C,0.5863714999868535
90,CplusLog,14,14,14,9024.352,418,14,1,29,5775.145644082003,6467.351814142876,3659.145644082001,2808.2061700608715,2090.0,397.0,70.0,0,1,C,0.5688143000006676
91,CplusLog,12,12,12,9116.425,416,12,1,29,5896.5264323263955,6581.424686646114,3629.5264323263946,2951.8982543197208,2080.0,395.0,60.0,0,2,C,0.3385081000160426
92,CplusLog,10,10,10,11351.895,621,10,1,29,6413.803436563092,7587.894622269854,3631.803436563091,3956.091185706763,3105.0,609.0,50.0,0,1,C,0.42191319999983534
93,CplusLog,16,16,16,8478.574,386,16,1,29,5628.931058786377,6094.573981267369,3464.931058786375,2629.6429224809926,1930.0,374.0,80.0,0,1,C,0.49464349998743273
94,CplusLog,10,10,10,9125.287,482,10,1,29,6244.526432326396,6201.287479832418,3629.5264323263946,2571.761047506025,2410.0,464.0,50.0,0,2,C,0.2777046999835875
95,CplusLog,16,16,16,7726.393,339,16,1,29,5088.854284582213,5625.39316063568,3212.854284582212,2412.53887605347,1695.0,326.0,80.0,0,3,C,0.7310768000024837
96,CplusLog,12,12,12,8193.447,415,12,1,29,6047.24732733897,5651.446579009078,3637.247327338968,2014.19925167011,2075.0,407.0,60.0,0,2,C,0.23025569997844286
97,CplusLog,16,16,16,7737.2,338,16,1,29,4479.369788528068,5645.200029475799,2944.3697885280676,2700.8302409477365,1690.0,322.0,80.0,0,6,C,0.758970800001407
98,CplusLog,16,16,16,9836.201,443,16,1,29,5812.752387083912,7119.20115140353,3678.7523870839104,3440.4487643196226,2215.0,422.0,80.0,0,3,C,0.5117571000009775
99,CplusLog,15,15,15,9890.498,442,15,1,29,5824.5264323263955,7183.498272566315,3629.5264323263946,3553.971840239922,2210.0,422.0,75.0,0,1,C,0.641690499993274
100,CplusLog,14,14,14,8285.887,402,14,1,29,5866.5264323263955,5819.887183928415,3629.5264323263946,2190.3607516020243,2010.0,386.0,70.0,0,5,C,0.7283023999771103
101,CplusLog,11,11,11,9010.205,461,11,1,29,6211.445389991586,6208.20532162188,3676.4453899915857,2531.7599316302963,2305.0,442.0,55.0,0,2,C,0.550673599995207
102,CplusLog,13,13,13,8518.051,396,13,1,29,5902.526432326396,6084.05112353116,3629.5264323263946,2454.524691204762,1980.0,389.0,65.0,0,2,C,0.4113558999961242
103,CplusLog,11,11,11,9683.583,519,11,1,29,6472.526432326396,6539.5827967067235,3629.5264323263946,2910.056364380327,2595.0,494.0,55.0,0,2,C,0.2806194000004325
104,CplusLog,10,10,10,8539.069,429,10,1,29,6134.439781970747,5922.068921710508,3646.439781970746,2275.6291397397636,2145.0,422.0,50.0,0,2,C,0.21150699999998324
105,CplusLog,11,11,11,9366.833,504,11,1,29,6316.526432326396,6306.8333941550945,3629.5264323263946,2677.3069618287004,2520.0,485.0,55.0,0,2,C,0.41781499999342486
106,CplusLog,12,12,12,8655.077,437,12,1,29,6249.0941859928125,5980.077451575519,3714.0941859928103,2265.98326558271,2185.0,430.0,60.0,0,1,C,0.31540610000956804
107,CplusLog,15,15,15,10370.577,502,15,1,29,5921.898596839826,7289.576550468875,3656.8985968398238,3632.677953629054,2510.0,496.0,75.0,0,3,C,0.5399974000174552
108,CplusLog,10,10,10,8964.752,458,10,1,29,6261.673049859155,6183.752212732632,3653.6730498591533,2530.0791628734773,2290.0,441.0,50.0,0,2,C,0.4845424999948591
109,CplusLog,11,11,11,9770.18,528,11,1,29,6384.0685351195925,6559.1797351799505,3639.068535119591,2920.1112000603625,2640.0,516.0,55.0,0,3,C,0.5741794999921694
110,CplusLog,14,14,14,8651.265,384,14,1,27,6266.939969996669,6302.264615799698,4158.939969996671,2143.3246458030267,1920.0,359.0,70.0,0,0,B,0.6978450999886263
111,CplusLog,16,16,16,9348.511,408,16,1,29,5090.551058281916,6837.51092610576,3279.5510582819156,3557.9598678238403,2040.0,391.0,80.0,0,3,C,0.7908520000055432
112,CplusLog,10,10,10,9809.231,540,10,1,29,6352.526432326396,6526.231173116844,3629.5264323263946,2896.704740790451,2700.0,533.0,50.0,0,3,C,0.47793319998891093
113,CplusLog,16,16,16,8076.802,306,16,1,29,4972.854133701501,6173.801689007844,3288.854133701501,2884.947555306347,1530.0,293.0,80.0,0,5,C,0.5720661000232212
114,CplusLog,14,14,14,9920.725,442,14,1,29,5664.897453730739,7218.724670419124,3632.8974537307377,3585.8272166883858,2210.0,422.0,70.0,0,5,C,0.7077138999884482
115,CplusLog,11,11,11,8424.022,392,11,1,27,6350.662614650373,6028.0219109620275,4084.6626146503745,1943.3592963116525,1960.0,381.0,55.0,0,0,B,0.20386869998765178
116,CplusLog,16,16,16,10299.931,544,16,1,29,5729.048952982977,6979.930568408398,3470.048952982978,3509.881615425423,2720.0,520.0,80.0,0,3,C,0.7318325999949593
117,CplusLog,13,13,13,8390.955,415,13,1,29,5973.691114666431,5852.955060300372,3635.691114666429,2217.2639456339452,2075.0,398.0,65.0,0,2,C,0.5113655000168364
118,CplusLog,10,10,10,9090.105,495,10,1,29,6322.7801582063275,6107.105432692398,3636.7801582063266,2470.325274486077,2475.0,458.0,50.0,0,2,C,0.7296816000016406
119,CplusLog,14,14,14,9880.825,497,14,1,29,5872.5264323263955,6840.825070136096,3629.5264323263946,3211.2986378097025,2485.0,485.0,70.0,0,3,C,0.7112709000066388
120,CplusLog,13,13,13,8662.857,372,13,1,29,5734.5264323263955,6375.856771913521,3629.5264323263946,2746.3303395871244,1860.0,362.0,65.0,0,2,C,0.43453389999922365
121,CplusLog,10,10,10,8855.701,468,10,1,29,6106.616247076969,6022.7014243688745,3630.616247076967,2392.0851772919095,2340.0,443.0,50.0,0,5,C,0.329456699982984
122,CplusLog,14,14,14,8727.146,457,14,1,29,6076.526432326396,5936.145621242256,3629.5264323263946,2306.6191889158613,2285.0,436.0,70.0,0,3,C,0.38426110000000335
123,CplusLog,16,16,16,9594.149,550,16,1,29,4111.704632400724,6219.149179476449,2469.7046324007247,3749.4445470757255,2750.0,545.0,80.0,0,1,C,1.067141300009098
124,CplusLog,16,16,16,8815.803,397,16,1,29,5585.1929012195105,6361.802844192261,3506.1929012195087,2855.6099429727524,1985.0,389.0,80.0,0,3,C,0.5253148000047076
125,CplusLog,10,10,10,8567.817,433,10,1,27,6738.289633288761,5924.817121225427,4169.289633288763,1755.5274879366639,2165.0,428.0,50.0,0,0,B,0.16496969998115674
126,CplusLog,12,12,12,10015.549,536,12,1,29,6100.5264323263955,6752.54901504277,3629.5264323263946,3123.0225827163786,2680.0,523.0,60.0,0,2,C,0.6324633999902289
127,CplusLog,12,12,12,9097.404,445,12,1,29,6022.591474384365,6390.404188263763,3630.5914743843637,2759.812713879402,2225.0,422.0,60.0,0,2,C,0.44276030000764877
128,CplusLog,16,16,16,8377.774,439,16,1,29,5318.30848108931,5668.773974501883,3305.3084810893097,2363.4654934125742,2195.0,434.0,80.0,0,3,C,0.42486290002125315
129,CplusLog,11,11,11,9015.055,435,11,1,29,5896.5264323263955,6380.055011556527,3629.5264323263946,2750.5285792301324,2175.0,405.0,55.0,0,2,C,0.7379093999916222
130,CplusLog,13,13,13,9199.286,477,13,1,29,6002.947630399393,6285.285672136162,3664.9476303993924,2620.338041736772,2385.0,464.0,65.0,0,2,C,0.4828401999839116
131,CplusLog,12,12,12,9114.393,504,12,1,29,6098.4256885577115,6035.392862039045,3635.4256885577115,2399.967173481336,2520.0,499.0,60.0,0,2,C,0.4921799000003375
132,CplusLog,12,12,12,9052.957,495,12,1,29,6291.527443176882,6045.956593912419,3629.527443176881,2416.429150735539,2475.0,472.0,60.0,0,1,C,0.390234300022712
133,CplusLog,13,13,13,8610.372,408,13,1,29,5716.5264323263955,6123.371622060869,3629.5264323263946,2493.8451897344744,2040.0,382.0,65.0,0,4,C,0.6904215999820735
134,CplusLog,10,10,10,9137.713,472,10,1,29,6256.184236534314,6279.712992102361,3630.1842365343127,2649.528755568047,2360.0,448.0,50.0,0,2,C,0.29625660000601783
135,CplusLog,16,16,16,8823.002,468,16,1,29,3361.5891755103576,5946.001649138055,2072.589175510358,3873.412473627697,2340.0,457.0,80.0,0,5,C,1.0059130000008736
136,CplusLog,13,13,13,8229.319,392,13,1,29,5892.28064776944,5821.319037348898,3639.2806477694385,2182.03838957946,1960.0,383.0,65.0,0,3,C,0.337534099991899
137,CplusLog,12,12,12,8948.998,489,12,1,29,6178.824131014141,5974.997882881241,3630.82413101414,2344.1737518671,2445.0,469.0,60.0,0,2,C,0.42260609997902066
138,CplusLog,14,14,14,10018.72,470,14,1,29,5930.6514364724735,7160.720263194542,3658.6514364724726,3502.0688267220708,2350.0,438.0,70.0,0,3,C,0.3534833999874536
139,CplusLog,13,13,13,9035.019,439,13,1,29,5914.696674532565,6365.0192449778615,3667.6966745325653,2697.3225704453,2195.0,410.0,65.0,0,3,C,0.4487911000032909
140,CplusLog,12,12,12,8166.261,405,12,1,27,6512.331702954186,5683.260534898126,4147.331702954186,1535.928831943941,2025.0,398.0,60.0,0,0,B,0.2482830999942962
141,CplusLog,13,13,13,8805.425,439,13,1,29,5950.5264323263955,6130.425171907718,3629.5264323263946,2500.8987395813224,2195.0,415.0,65.0,0,2,C,0.5135210000153165
142,CplusLog,15,15,15,9201.264,405,15,1,29,5526.022450157399,6707.263716417057,3644.0224501573985,3063.2412662596576,2025.0,394.0,75.0,0,4,C,0.5795161999994889
