case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,pruned_truth_hits,pruned_samples,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
7,Cplus3FB,16,16,16,8040.803,349,16,1,27,5769.118878591888,5877.802983476457,3781.118878591889,2096.684104884568,1745.0,338.0,80.0,0,0,B,18,28,0,"[{'channel': 1, 'point': [-1145.9, -1593.9], 'min_dist_m': 2052.6, 'truth_success': False}, {'channel': 1, 'point': [-1724.0, -938.8], 'min_dist_m': 2701.6, 'truth_success': False}, {'channel': 1, 'point': [-905.5, -783.9], 'min_dist_m': 1969.2, 'truth_success': False}]",,,,,0.37393480000901036
7,B,16,16,16,8147.803,367,16,1,27,5817.118878591888,5877.802983476457,3781.118878591889,2096.684104884568,1835.0,355.0,80.0,0,,,,,,,,,,,0.38999039999907836
8,Cplus3F,16,16,16,9508.55,441,16,1,27,6054.972201980844,6804.5500460426565,3777.972201980845,3026.577844061813,2205.0,419.0,80.0,0,0,B,0,0,,,,,,,0.6280700999777764
8,Cplus3FB,16,16,16,9336.55,414,16,1,27,6018.972201980844,6804.5500460426565,3777.972201980845,3026.577844061813,2070.0,382.0,80.0,0,0,B,27,25,0,"[{'channel': 17, 'point': [-1145.9, -1593.9], 'min_dist_m': 1767.3, 'truth_success': False}, {'channel': 17, 'point': [-1724.0, -938.8], 'min_dist_m': 2404.4, 'truth_success': False}, {'channel': 17, 'point': [-905.5, -783.9], 'min_dist_m': 1604.7, 'truth_success': False}]",,,,,0.7945599000086077
8,B,16,16,16,9508.55,441,16,1,27,6054.972201980844,6804.5500460426565,3777.972201980845,3026.577844061813,2205.0,419.0,80.0,0,,,,,,,,,,,0.8309952999989036
9,Cplus3F,16,16,16,8116.038,358,16,1,27,5955.771840983207,5893.038368039756,3849.7718409832078,2043.2665270565485,1790.0,353.0,80.0,0,0,B,0,0,,,,,,,0.23807059999671765
9,Cplus3FB,16,16,16,8116.038,358,16,1,27,5955.771840983207,5893.038368039756,3849.7718409832078,2043.2665270565485,1790.0,353.0,80.0,0,0,B,0,21,0,[],,,,,0.3138533000019379
9,B,16,16,16,8116.038,358,16,1,27,5955.771840983207,5893.038368039756,3849.7718409832078,2043.2665270565485,1790.0,353.0,80.0,0,,,,,,,,,,,0.2715328000194859
10,Cplus3F,16,16,16,8162.293,416,16,1,27,5692.106982706606,5594.292892328772,3585.1069827066076,2009.1859096221658,2080.0,408.0,80.0,0,0,B,0,0,,,,,,,0.43052980001084507
10,Cplus3FB,16,16,16,7827.293,361,16,1,27,5572.106982706606,5594.292892328772,3585.1069827066076,2009.1859096221658,1805.0,348.0,80.0,0,0,B,55,49,0,"[{'channel': 17, 'point': [1119.0, 427.0], 'min_dist_m': 1565.2, 'truth_success': False}, {'channel': 17, 'point': [1724.0, 938.8], 'min_dist_m': 1961.8, 'truth_success': False}, {'channel': 17, 'point': [1960.6, 97.8], 'min_dist_m': 2459.6, 'truth_success': False}]",,,,,0.3383613000041805
10,B,16,16,16,8162.293,416,16,1,27,5692.106982706606,5594.292892328772,3585.1069827066076,2009.1859096221658,2080.0,408.0,80.0,0,,,,,,,,,,,0.34596559999044985
11,Cplus3F,16,16,16,9658.577,444,16,1,27,6367.656803003241,6922.576601329548,4115.656803003243,2806.919798326306,2220.0,436.0,80.0,0,0,B,0,0,,,,,,,0.3742663999728393
11,Cplus3FB,16,16,16,9339.577,393,16,1,27,6277.656803003241,6922.576601329548,4115.656803003243,2806.919798326306,1965.0,372.0,80.0,0,0,B,51,37,0,"[{'channel': 20, 'point': [-340.9, -1933.2], 'min_dist_m': 1789.5, 'truth_success': False}, {'channel': 20, 'point': [-1145.9, -1593.9], 'min_dist_m': 2479.6, 'truth_success': False}, {'channel': 20, 'point': [-1724.0, -938.8], 'min_dist_m': 3041.2, 'truth_success': False}]",,,,,0.4158022999763489
11,B,16,16,16,9658.577,444,16,1,27,6367.656803003241,6922.576601329548,4115.656803003243,2806.919798326306,2220.0,436.0,80.0,0,,,,,,,,,,,0.3865885999985039
12,Cplus3F,16,16,16,9438.043,406,16,1,27,5700.055433249418,6945.043144389851,3771.055433249419,3173.98771114043,2030.0,383.0,80.0,0,0,B,0,0,,,,,,,0.5842757000064012
12,Cplus3FB,16,16,16,9222.043,371,16,1,27,5646.055433249418,6945.043144389851,3771.055433249419,3173.98771114043,1855.0,342.0,80.0,0,0,B,35,35,0,"[{'channel': 8, 'point': [-189.7, -1182.6], 'min_dist_m': 1564.9, 'truth_success': False}, {'channel': 8, 'point': [-340.9, -1933.2], 'min_dist_m': 1881.3, 'truth_success': False}, {'channel': 8, 'point': [-1145.9, -1593.9], 'min_dist_m': 2557.7, 'truth_success': False}]",,,,,0.5653189999866299
12,B,16,16,16,9438.043,406,16,1,27,5700.055433249418,6945.043144389851,3771.055433249419,3173.98771114043,2030.0,383.0,80.0,0,,,,,,,,,,,0.5684866999799851
13,Cplus3F,16,16,16,8843.487,416,16,1,27,5532.745991325336,6283.487280695406,3448.745991325338,2834.741289370071,2080.0,400.0,80.0,0,0,B,0,0,,,,,,,0.5710159000009298
13,Cplus3FB,16,16,16,8598.487,375,16,1,27,5454.745991325336,6283.487280695406,3448.745991325338,2834.741289370071,1875.0,360.0,80.0,0,0,B,41,36,0,"[{'channel': 6, 'point': [1960.6, 97.8], 'min_dist_m': 1672.8, 'truth_success': False}, {'channel': 6, 'point': [1808.9, -762.5], 'min_dist_m': 2185.3, 'truth_success': False}, {'channel': 6, 'point': [1131.7, -392.2], 'min_dist_m': 1539.8, 'truth_success': False}]",,,,,0.5534933999879286
13,B,16,16,16,8843.487,416,16,1,27,5532.745991325336,6283.487280695406,3448.745991325338,2834.741289370071,2080.0,400.0,80.0,0,,,,,,,,,,,0.6207869999925606
14,Cplus3F,16,16,16,8972.062,396,16,1,27,6060.623500535379,6539.061861880016,3959.6235005353806,2579.438361344634,1980.0,373.0,80.0,0,0,B,0,0,,,,,,,0.3331602000107523
14,Cplus3FB,16,16,16,8826.062,372,16,1,27,6024.623500535379,6539.061861880016,3959.6235005353806,2579.438361344634,1860.0,347.0,80.0,0,0,B,24,27,0,"[{'channel': 3, 'point': [-1724.0, -938.8], 'min_dist_m': 1851.6, 'truth_success': False}, {'channel': 3, 'point': [-602.8, -257.5], 'min_dist_m': 1606.9, 'truth_success': False}, {'channel': 3, 'point': [-1197.6, -18.5], 'min_dist_m': 2100.2, 'truth_success': False}]",,,,,0.28681609997875057
14,B,16,16,16,8972.062,396,16,1,27,6060.623500535379,6539.061861880016,3959.6235005353806,2579.438361344634,1980.0,373.0,80.0,0,,,,,,,,,,,0.4072181000083219
15,Cplus3F,16,16,16,10623.8,414,16,1,27,5982.015325683092,8089.800347140853,3777.015325683093,4312.785021457764,2070.0,384.0,80.0,0,0,B,0,0,,,,,,,0.5533391999779269
15,Cplus3FB,16,16,16,10623.8,414,16,1,27,5982.015325683092,8089.800347140853,3777.015325683093,4312.785021457764,2070.0,384.0,80.0,0,0,B,0,23,0,[],,,,,0.584370199998375
15,B,16,16,16,10623.8,414,16,1,27,5982.015325683092,8089.800347140853,3777.015325683093,4312.785021457764,2070.0,384.0,80.0,0,,,,,,,,,,,0.5557034999947064
16,Cplus3F,16,16,16,10375.338,566,16,1,27,5731.6275951072685,6906.338323433991,3423.6275951072703,3482.7107283267214,2830.0,559.0,80.0,0,0,B,0,0,,,,,,,0.7463083999755327
16,Cplus3FB,16,16,16,9608.338,440,16,1,27,5461.6275951072685,6906.338323433991,3423.6275951072703,3482.7107283267214,2200.0,422.0,80.0,0,0,B,126,89,0,"[{'channel': 9, 'point': [1133.4, 1589.7], 'min_dist_m': 1815.5, 'truth_success': False}, {'channel': 17, 'point': [1133.4, 1589.7], 'min_dist_m': 1785.8, 'truth_success': False}, {'channel': 9, 'point': [1119.0, 427.0], 'min_dist_m': 2185.8, 'truth_success': False}]",,,,,0.6877042999840342
16,B,16,16,16,10375.338,566,16,1,27,5731.6275951072685,6906.338323433991,3423.6275951072703,3482.7107283267214,2830.0,559.0,80.0,0,,,,,,,,,,,0.8611210000235587
17,Cplus3F,16,16,16,7655.156,337,16,1,27,4609.50886104493,5575.156269562579,3034.508861044931,2540.6474085176496,1685.0,315.0,80.0,0,0,B,0,0,,,,,,,0.6244816000107676
17,Cplus3FB,16,16,16,7385.156,292,16,1,27,4531.50886104493,5575.156269562579,3034.508861044931,2540.6474085176496,1460.0,270.0,80.0,0,0,B,45,31,0,"[{'channel': 9, 'point': [1119.0, 427.0], 'min_dist_m': 1565.2, 'truth_success': False}, {'channel': 9, 'point': [1724.0, 938.8], 'min_dist_m': 1961.8, 'truth_success': False}, {'channel': 9, 'point': [1960.6, 97.8], 'min_dist_m': 2459.6, 'truth_success': False}]",,,,,0.6960788999858778
17,B,16,16,16,7655.156,337,16,1,27,4609.50886104493,5575.156269562579,3034.508861044931,2540.6474085176496,1685.0,315.0,80.0,0,,,,,,,,,,,0.552740699989954
18,Cplus3F,16,16,16,9801.01,490,16,1,27,5677.166387137741,6794.010347321616,3441.166387137744,3352.8439601838722,2450.0,477.0,80.0,0,0,B,0,0,,,,,,,0.4447284000052605
18,Cplus3FB,16,16,16,9263.01,401,16,1,27,5443.166387137741,6794.010347321616,3441.166387137744,3352.8439601838722,2005.0,384.0,80.0,0,0,B,89,65,0,"[{'channel': 12, 'point': [1119.0, 427.0], 'min_dist_m': 1565.2, 'truth_success': False}, {'channel': 12, 'point': [1724.0, 938.8], 'min_dist_m': 1961.8, 'truth_success': False}, {'channel': 12, 'point': [1960.6, 97.8], 'min_dist_m': 2459.6, 'truth_success': False}]",,,,,0.4614865999901667
18,B,16,16,16,9801.01,490,16,1,27,5677.166387137741,6794.010347321616,3441.166387137744,3352.8439601838722,2450.0,477.0,80.0,0,,,,,,,,,,,0.4983039000071585
19,Cplus3F,16,16,16,9829.169,527,16,1,27,6721.321662398185,6603.168508224115,4128.321662398187,2474.846845825924,2635.0,511.0,80.0,0,0,B,0,0,,,,,,,0.4681098999863025
19,Cplus3FB,16,16,16,9209.169,425,16,1,27,6349.321662398185,6603.168508224115,4128.321662398187,2474.846845825924,2125.0,401.0,80.0,0,0,B,102,53,0,"[{'channel': 10, 'point': [1119.0, 427.0], 'min_dist_m': 1565.2, 'truth_success': False}, {'channel': 10, 'point': [1724.0, 938.8], 'min_dist_m': 1961.8, 'truth_success': False}, {'channel': 10, 'point': [1960.6, 97.8], 'min_dist_m': 2459.6, 'truth_success': False}]",,,,,0.5344074000022374
19,B,16,16,16,9829.169,527,16,1,27,6721.321662398185,6603.168508224115,4128.321662398187,2474.846845825924,2635.0,511.0,80.0,0,,,,,,,,,,,0.46335140001610853
20,Cplus3F,16,16,16,9273.453,430,16,1,27,6091.211065594546,6621.452625502512,3952.211065594548,2669.241559907967,2150.0,422.0,80.0,0,0,B,0,0,,,,,,,0.4903971999883652
