case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,pruned_truth_hits,pruned_samples,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
7,Cplus3FB,16,16,16,7169.385,353,16,1,27,4776.619846925491,4979.384847789493,3040.6198469254928,1938.7650008639985,1765.0,345.0,80.0,0,0,B,97,99,0,"[{'channel': 12, 'point': [1960.6, 97.8], 'min_dist_m': 1613.9, 'truth_success': False}, {'channel': 9, 'point': [1808.9, -762.5], 'min_dist_m': 1816.5, 'truth_success': False}, {'channel': 12, 'point': [1808.9, -762.5], 'min_dist_m': 2078.0, 'truth_success': False}]",,,,,0.24406399999861605
7,B,16,16,16,7755.385,450,16,1,27,5004.619846925491,4979.384847789493,3040.6198469254928,1938.7650008639985,2250.0,446.0,80.0,0,,,,,,,,,,,0.29764699999941513
8,Cplus3F,16,16,16,10726.937,531,16,1,27,6010.540369344388,7463.9368323906665,3780.54036934439,3683.396463046277,2655.0,528.0,80.0,0,0,B,0,0,,,,,,,0.5910508999950252
8,Cplus3FB,16,16,16,10292.937,459,16,1,27,5668.540369344389,7463.9368323906665,3780.54036934439,3683.396463046277,2295.0,454.0,80.0,0,0,B,72,146,0,"[{'channel': 10, 'point': [1133.4, 1589.7], 'min_dist_m': 1796.2, 'truth_success': False}, {'channel': 16, 'point': [1133.4, 1589.7], 'min_dist_m': 1796.8, 'truth_success': False}, {'channel': 10, 'point': [1119.0, 427.0], 'min_dist_m': 2173.7, 'truth_success': False}]",,,,,0.6825359000067692
8,B,16,16,16,10726.937,531,16,1,27,6010.540369344388,7463.9368323906665,3780.54036934439,3683.396463046277,2655.0,528.0,80.0,0,,,,,,,,,,,0.5011165000032634
9,Cplus3F,16,16,16,9468.978,483,16,1,27,6168.052706567525,6504.978135733188,3827.052706567528,2677.925429165662,2415.0,469.0,80.0,0,0,B,0,0,,,,,,,0.41418689998681657
9,Cplus3FB,16,16,16,9012.978,409,16,1,27,6060.052706567525,6504.978135733188,3827.052706567528,2677.925429165662,2045.0,383.0,80.0,0,0,B,74,44,0,"[{'channel': 9, 'point': [1808.9, -762.5], 'min_dist_m': 1763.1, 'truth_success': False}, {'channel': 9, 'point': [1298.9, -1471.9], 'min_dist_m': 1978.3, 'truth_success': False}, {'channel': 3, 'point': [601.1, -1871.6], 'min_dist_m': 1508.9, 'truth_success': False}]",,,,,0.4093629000126384
9,B,16,16,16,9468.978,483,16,1,27,6168.052706567525,6504.978135733188,3827.052706567528,2677.925429165662,2415.0,469.0,80.0,0,,,,,,,,,,,0.388512500008801
10,Cplus3F,16,16,16,7539.492,364,16,1,27,4864.217064973115,5298.492331283433,3013.2170649731165,2285.2752663103165,1820.0,341.0,80.0,0,0,B,0,0,,,,,,,0.5216046999848913
10,Cplus3FB,16,16,16,7317.492,326,16,1,27,4780.217064973115,5298.492331283433,3013.2170649731165,2285.2752663103165,1630.0,309.0,80.0,0,0,B,38,32,0,"[{'channel': 12, 'point': [1133.4, 1589.7], 'min_dist_m': 1783.3, 'truth_success': False}, {'channel': 12, 'point': [1119.0, 427.0], 'min_dist_m': 2165.7, 'truth_success': False}, {'channel': 12, 'point': [1724.0, 938.8], 'min_dist_m': 2484.6, 'truth_success': False}]",,,,,0.5029664000030607
10,B,16,16,16,7539.492,364,16,1,27,4864.217064973115,5298.492331283433,3013.2170649731165,2285.2752663103165,1820.0,341.0,80.0,0,,,,,,,,,,,0.5614961999817751
11,Cplus3F,16,16,16,9319.626,431,16,1,27,6305.029244960579,6654.625574452518,3932.029244960579,2722.5963294919397,2155.0,430.0,80.0,0,0,B,0,0,,,,,,,0.24791210002149455
11,Cplus3FB,16,16,16,9223.626,415,16,1,27,6209.029244960579,6654.625574452518,3932.029244960579,2722.5963294919397,2075.0,414.0,80.0,0,0,B,16,45,0,"[{'channel': 10, 'point': [1133.4, 1589.7], 'min_dist_m': 1887.5, 'truth_success': False}, {'channel': 10, 'point': [1119.0, 427.0], 'min_dist_m': 2228.3, 'truth_success': False}, {'channel': 10, 'point': [1724.0, 938.8], 'min_dist_m': 2573.4, 'truth_success': False}]",,,,,0.28048230000422336
11,B,16,16,16,9319.626,431,16,1,27,6305.029244960579,6654.625574452518,3932.029244960579,2722.5963294919397,2155.0,430.0,80.0,0,,,,,,,,,,,0.24107079999521375
12,Cplus3F,16,16,16,8539.009,406,16,1,27,6108.4101362233805,6037.0086604878115,3796.4101362233832,2240.598524264428,2030.0,392.0,80.0,0,0,B,0,0,,,,,,,0.4977906999993138
12,Cplus3FB,16,16,16,8449.009,391,16,1,27,6018.4101362233805,6037.0086604878115,3796.4101362233832,2240.598524264428,1955.0,377.0,80.0,0,0,B,15,28,0,"[{'channel': 4, 'point': [1133.4, 1589.7], 'min_dist_m': 1777.1, 'truth_success': False}, {'channel': 4, 'point': [1119.0, 427.0], 'min_dist_m': 2161.9, 'truth_success': False}, {'channel': 4, 'point': [1724.0, 938.8], 'min_dist_m': 2479.3, 'truth_success': False}]",,,,,0.3611609000072349
12,B,16,16,16,8539.009,406,16,1,27,6108.4101362233805,6037.0086604878115,3796.4101362233832,2240.598524264428,2030.0,392.0,80.0,0,,,,,,,,,,,0.45867639998323284
13,Cplus3F,16,16,16,8227.621,425,16,1,27,6331.90277059974,5615.621310965296,3966.90277059974,1648.7185403655571,2125.0,407.0,80.0,0,0,B,0,0,,,,,,,0.2039447000133805
13,Cplus3FB,16,16,16,8142.621,410,16,1,27,6301.90277059974,5615.621310965296,3966.90277059974,1648.7185403655571,2050.0,397.0,80.0,0,0,B,15,31,0,"[{'channel': 13, 'point': [-1724.0, -938.8], 'min_dist_m': 1746.1, 'truth_success': False}, {'channel': 13, 'point': [-1197.6, -18.5], 'min_dist_m': 1954.5, 'truth_success': False}, {'channel': 13, 'point': [-1960.6, -97.8], 'min_dist_m': 2442.2, 'truth_success': False}]",,,,,0.24652729998342693
13,B,16,16,16,8227.621,425,16,1,27,6331.90277059974,5615.621310965296,3966.90277059974,1648.7185403655571,2125.0,407.0,80.0,0,,,,,,,,,,,0.18383880000328645
14,Cplus3F,16,16,16,9924.84,483,16,1,27,6090.8691475181795,6969.840060096386,3887.8691475181818,3081.970912578204,2415.0,460.0,80.0,0,0,B,0,0,,,,,,,0.5139462000224739
14,Cplus3FB,16,16,16,9555.84,422,16,1,27,5922.8691475181795,6969.840060096386,3887.8691475181818,3081.970912578204,2110.0,396.0,80.0,0,0,B,61,82,0,"[{'channel': 18, 'point': [1119.0, 427.0], 'min_dist_m': 1621.1, 'truth_success': False}, {'channel': 10, 'point': [1724.0, 938.8], 'min_dist_m': 1592.5, 'truth_success': False}, {'channel': 18, 'point': [1724.0, 938.8], 'min_dist_m': 1750.6, 'truth_success': False}]",,,,,0.49098239999148063
14,B,16,16,16,9924.84,483,16,1,27,6090.8691475181795,6969.840060096386,3887.8691475181818,3081.970912578204,2415.0,460.0,80.0,0,,,,,,,,,,,0.5422276000026613
15,Cplus3F,16,16,16,9131.64,465,16,1,27,6384.912825598967,6288.6404791563145,3927.912825598968,2360.727653557349,2325.0,438.0,80.0,0,0,B,0,0,,,,,,,0.3788187000027392
15,Cplus3FB,16,16,16,8920.64,429,16,1,27,6270.912825598967,6288.6404791563145,3927.912825598968,2360.727653557349,2145.0,407.0,80.0,0,0,B,36,37,0,"[{'channel': 6, 'point': [1133.4, 1589.7], 'min_dist_m': 1898.0, 'truth_success': False}, {'channel': 6, 'point': [1119.0, 427.0], 'min_dist_m': 2234.5, 'truth_success': False}, {'channel': 6, 'point': [1724.0, 938.8], 'min_dist_m': 2582.3, 'truth_success': False}]",,,,,0.31313110000337474
15,B,16,16,16,9131.64,465,16,1,27,6384.912825598967,6288.6404791563145,3927.912825598968,2360.727653557349,2325.0,438.0,80.0,0,,,,,,,,,,,0.33662899999762885
16,Cplus3F,16,16,16,8093.216,316,16,1,27,5618.976121205372,6138.216124783824,3838.976121205373,2299.2400035784517,1580.0,295.0,80.0,0,0,B,0,0,,,,,,,0.37361219999729656
16,Cplus3FB,16,16,16,8093.216,316,16,1,27,5618.976121205372,6138.216124783824,3838.976121205373,2299.2400035784517,1580.0,295.0,80.0,0,0,B,0,26,0,[],,,,,0.36939010000787675
16,B,16,16,16,8093.216,316,16,1,27,5618.976121205372,6138.216124783824,3838.976121205373,2299.2400035784517,1580.0,295.0,80.0,0,,,,,,,,,,,0.35018330000457354
17,Cplus3F,16,16,16,10818.027,621,16,1,27,6346.550235969827,7030.026599987143,3763.5502359698285,3266.4763640173132,3105.0,603.0,80.0,0,0,B,0,0,,,,,,,0.3734694999875501
17,Cplus3FB,16,16,16,10105.027,504,16,1,27,6124.550235969827,7030.026599987143,3763.5502359698285,3266.4763640173132,2520.0,475.0,80.0,0,0,B,117,96,0,"[{'channel': 8, 'point': [1133.4, 1589.7], 'min_dist_m': 1953.3, 'truth_success': False}, {'channel': 8, 'point': [582.8, 1046.4], 'min_dist_m': 1509.3, 'truth_success': False}, {'channel': 8, 'point': [1119.0, 427.0], 'min_dist_m': 2268.0, 'truth_success': False}]",,,,,0.29856959998141974
17,B,16,16,16,10818.027,621,16,1,27,6346.550235969827,7030.026599987143,3763.5502359698285,3266.4763640173132,3105.0,603.0,80.0,0,,,,,,,,,,,0.39676719999988563
18,Cplus3F,16,16,16,8479.013,379,16,1,27,5814.73210507622,6132.013118829062,3790.7321050762216,2341.281013752839,1895.0,372.0,80.0,0,0,B,0,0,,,,,,,0.3119388000050094
18,Cplus3FB,16,16,16,8479.013,379,16,1,27,5814.73210507622,6132.013118829062,3790.7321050762216,2341.281013752839,1895.0,372.0,80.0,0,0,B,0,43,0,[],,,,,0.39138859999366105
18,B,16,16,16,8479.013,379,16,1,27,5814.73210507622,6132.013118829062,3790.7321050762216,2341.281013752839,1895.0,372.0,80.0,0,,,,,,,,,,,0.3668871000118088
19,Cplus3F,16,16,16,8964.219,438,16,1,27,5932.392552372555,6267.218806262785,3813.3925523725557,2453.8262538902286,2190.0,427.0,80.0,0,0,B,0,0,,,,,,,0.3377953000017442
19,Cplus3FB,16,16,16,8717.219,398,16,1,27,5842.392552372555,6267.218806262785,3813.3925523725557,2453.8262538902286,1990.0,380.0,80.0,0,0,B,40,56,0,"[{'channel': 14, 'point': [1119.0, 427.0], 'min_dist_m': 1690.2, 'truth_success': False}, {'channel': 14, 'point': [1724.0, 938.8], 'min_dist_m': 1812.0, 'truth_success': False}, {'channel': 14, 'point': [1960.6, 97.8], 'min_dist_m': 2498.7, 'truth_success': False}]",,,,,0.40836440000566654
19,B,16,16,16,8964.219,438,16,1,27,5932.392552372555,6267.218806262785,3813.3925523725557,2453.8262538902286,2190.0,427.0,80.0,0,,,,,,,,,,,0.35339370000292547
20,Cplus3F,16,16,16,8719.072,368,16,1,27,5809.354451627004,6453.072106743343,3767.3544516270044,2685.7176551163425,1840.0,346.0,80.0,0,0,B,0,0,,,,,,,0.7289311999920756
20,Cplus3FB,16,16,16,8719.072,368,16,1,27,5809.354451627004,6453.072106743343,3767.3544516270044,2685.7176551163425,1840.0,346.0,80.0,0,0,B,0,24,0,[],,,,,0.7166767999879085
20,B,16,16,16,8719.072,368,16,1,27,5809.354451627004,6453.072106743343,3767.3544516270044,2685.7176551163425,1840.0,346.0,80.0,0,,,,,,,,,,,0.7416354000160936
21,Cplus3F,16,16,16,9334.841,440,16,1,27,5905.132294017961,6630.841309607472,3816.132294017963,2814.7090155895085,2200.0,424.0,80.0,0,0,B,0,0,,,,,,,0.4218536000116728
