seed,case,model,source_count,all_cleared,total_time_per_source_s,movement_time_per_source_s,detection_switch_time_per_source_s,clear_action_time_per_source_s,measure_actions_per_source,channel_switches_per_source,last_discovery_time_per_source_s,search_end_time_per_source_s,search_movement_time_per_source_s,unfinished_after_search_rate,not_clear_ready_after_search_rate,active_measurements_per_source,co_measurements_per_source,coverage_insertions_per_source,decomposition_error_s
112358,1,I,16,1,249.3956875,204.58321232020177,39.8125,5.0,6.6875,6.375,123.6737811875,125.54878119665526,88.73628119665526,0.8125,0.375,2.4375,1.5,0.5,0.00039712322814011713
112358,1,J,16,1,243.517,198.26697179516705,40.25,5.0,6.75,6.5,110.25980525,122.02109897112133,84.89609897112133,0.75,0.4375,2.5,1.6875,0.5,0.00045127732710170676
112358,1,Jplus,16,1,243.8069375,201.61946616744706,37.1875,5.0,6.25,5.9375,95.172967375,107.20613658641435,75.45613658641435,0.9375,0.625,2.0,1.5,0.0,0.0004586791528709
112358,1,Ring8,16,1,255.6510625,208.5260570915997,42.125,5.0,7.0625,6.8125,103.8221790625,105.69717907800451,68.1971790780045,0.6875,0.4375,2.625,1.5,0.5,8.653440454509109e-05
112358,2,I,16,1,245.6231875,201.49816911551025,39.125,5.0,6.625,6.0,91.56985275,92.3198527626514,60.06985276265141,0.875,0.6875,2.6875,1.625,0.5,0.0002941518359875772
112358,2,J,16,1,236.002,185.06448170394114,45.9375,5.0,7.6875,7.5,111.1706375625,112.29563756020971,71.67063756020971,0.8125,0.625,2.5,1.6875,0.5,0.00029273694190123933
112358,2,Jplus,16,1,213.057625,175.7450946384352,32.3125,5.0,5.5,4.8125,54.7566869375,56.63168695587791,34.19418695587791,1.0,0.8125,2.25,1.6875,0.0,0.00048578503674434614
112358,2,Ring8,16,1,273.0998125,219.34983736723322,48.75,5.0,8.1875,7.8125,123.7875815625,124.162581561592,81.22508156159203,0.875,0.5,2.8125,1.8125,0.5,0.0003978757317781856
112358,3,I,14,1,278.61364285714285,225.4708055460655,48.142857142857146,5.0,8.071428571428571,7.785714285714286,123.99707264285713,147.67909298700206,103.32195012985918,0.8571428571428571,0.5,3.0,2.142857142857143,0.5714285714285714,0.0002776449168777617
112358,3,J,14,1,276.53421428571426,222.8199270991686,48.714285714285715,5.0,8.214285714285714,7.642857142857143,103.574019,139.03949915852746,91.96807058709886,0.7142857142857143,0.2857142857142857,2.7857142857142856,1.7857142857142858,0.5714285714285714,2.0611639229173306e-05
112358,3,Jplus,14,1,266.3682142857143,218.72533492653886,42.642857142857146,5.0,7.142857142857143,6.928571428571429,95.07579871428571,131.40683623931994,89.33540766789135,0.7142857142857143,0.2857142857142857,1.7142857142857142,1.5,0.0,0.00031102845605346374
112358,3,Ring8,14,1,263.6535714285714,207.0821716238107,51.57142857142857,5.0,8.642857142857142,8.357142857142858,100.22212378571429,144.48278116090142,94.33992401804433,0.6428571428571429,0.2857142857142857,2.7857142857142856,1.9285714285714286,0.5714285714285714,0.00040273334980156505
112358,4,I,10,1,308.0179,225.61791406397452,77.4,5.0,13.0,12.4,182.9518935,220.35189354054245,148.15189354054252,0.8,0.7,2.9,1.8,0.8,0.00014063974504097132
112358,4,J,10,1,326.7404,235.74044394671256,86.0,5.0,14.4,14.0,178.9103335,210.97047384892613,129.7704738489261,0.8,0.3,2.9,2.1,0.4,0.0004394671254885907
112358,4,Jplus,10,1,326.8274,240.5274496310914,81.3,5.0,13.6,13.3,171.6675486,201.62289813706312,124.42289813706309,0.9,0.4,2.1,2.1,0.0,0.000496310914058995
