case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
13,L950_C2,16,16,16,5534.387,245,16,1,31,1811.0,4010.3872804130056,1140.0,2870.3872804130056,1225.0,219.0,80.0,0,0.4604598000005353
13,Route31,16,16,16,7105.482,279,16,1,31,2883.6321809105584,5364.482135982474,1914.6321809105586,3449.8499550719116,1395.0,266.0,80.0,0,0.574130699998932
13,ClippedRoute,16,16,16,7105.482,279,16,1,31,2883.6321809105584,5364.482135982474,1914.6321809105586,3449.8499550719116,1395.0,266.0,80.0,0,0.5898606000118889
14,L950_C2,10,10,10,11182.675,426,10,1,31,8852.651127176721,8593.674542637198,6430.65112717672,2163.0234154604736,2130.0,409.0,50.0,0,0.17356890000519343
14,Route31,10,10,10,10340.585,441,10,1,31,8702.268960314259,7648.585353937529,6117.268960314259,1531.31639362327,2205.0,437.0,50.0,0,0.12266429999726824
14,ClippedRoute,10,10,10,10340.585,441,10,1,31,8702.268960314259,7648.585353937529,6117.268960314259,1531.31639362327,2205.0,437.0,50.0,0,0.11697429997730069
15,L950_C2,14,14,14,11149.443,303,14,1,31,8073.890680086154,9274.443339033794,6395.890680086154,2878.552658947643,1515.0,290.0,70.0,0,0.30363159999251366
15,Route31,14,14,14,11052.545,332,14,1,31,7963.591530722965,9004.544564100053,6117.591530722964,2886.953033377091,1660.0,318.0,70.0,0,0.3754958999925293
15,ClippedRoute,14,14,14,11052.545,332,14,1,31,7963.591530722965,9004.544564100053,6117.591530722964,2886.953033377091,1660.0,318.0,70.0,0,0.29504900000756606
16,L950_C2,12,12,12,11487.877,392,12,1,31,8657.065418399536,9093.876910904111,6447.065418399536,2646.8114925045747,1960.0,374.0,60.0,0,0.35265240000444464
16,Route31,12,12,12,10974.715,404,12,1,31,8455.759787813715,8506.714706819754,6166.759787813714,2339.95491900604,2020.0,388.0,60.0,0,0.34281669999472797
