seed,case,model,source_count,all_cleared,total_time_per_source_s,movement_time_per_source_s,detection_switch_time_per_source_s,clear_action_time_per_source_s,measure_actions_per_source,channel_switches_per_source,last_discovery_time_per_source_s,search_end_time_per_source_s,search_movement_time_per_source_s,unfinished_after_search_rate,not_clear_ready_after_search_rate,active_measurements_per_source,co_measurements_per_source,coverage_insertions_per_source,decomposition_error_s
112358,1,G,16,1,266.579125,221.01664596966864,40.5625,5.0,6.8125,6.5,135.5173280625,138.51732806183733,101.26732806183732,0.8125,0.5,2.5625,1.6875,0.5,0.0003355146986905311
112358,1,G_rotated,16,1,246.5180625,201.95557635763072,39.5625,5.0,6.625,6.4375,133.6387545625,135.8887545652579,99.8262545652579,0.75,0.4375,2.375,1.5,0.5,0.00022172209128257236
112358,1,I,16,1,249.3956875,204.58321232020177,39.8125,5.0,6.6875,6.375,123.6737811875,125.54878119665526,88.73628119665526,0.8125,0.375,2.4375,1.5,0.5,0.00039712322814011713
112358,1,I_rotated,16,1,250.3391875,206.58919096796797,38.75,5.0,6.5,6.25,119.6655875,121.54058749847933,86.85308749847933,0.875,0.5625,2.25,1.5625,0.3125,5.548748731598607e-05
112358,2,G,16,1,252.91175,209.78674422639284,38.125,5.0,6.4375,5.9375,94.6416345625,95.39163457952569,64.51663457952569,0.875,0.625,2.5,1.5625,0.375,9.237771473635803e-05
112358,2,G_rotated,16,1,252.91175,209.78674422639284,38.125,5.0,6.4375,5.9375,94.6416345625,95.39163457952569,64.51663457952569,0.875,0.625,2.5,1.5625,0.375,9.237771473635803e-05
112358,2,I,16,1,245.6231875,201.49816911551025,39.125,5.0,6.625,6.0,91.56985275,92.3198527626514,60.06985276265141,0.875,0.6875,2.6875,1.625,0.5,0.0002941518359875772
112358,2,I_rotated,16,1,245.6231875,201.49816911551025,39.125,5.0,6.625,6.0,91.56985275,92.3198527626514,60.06985276265141,0.875,0.6875,2.6875,1.625,0.5,0.0002941518359875772
