seed,case,model,source_count,all_cleared,total_time_per_source_s,movement_time_per_source_s,detection_switch_time_per_source_s,clear_action_time_per_source_s,measure_actions_per_source,channel_switches_per_source,last_discovery_time_per_source_s,search_end_time_per_source_s,unfinished_after_search_rate,not_clear_ready_after_search_rate,active_measurements_per_source,co_measurements_per_source,coverage_insertions_per_source,decomposition_error_s
112358,1,C+,16,1,295.430125,240.61764089791492,49.8125,5.0,8.375,7.9375,118.9375,118.9375,1.0,0.8125,1.5625,0.625,0.0,0.0002543666391829902
112358,1,F_fixed_no_insert,16,1,293.6395625,249.01455602383828,39.625,5.0,6.6875,6.1875,106.1875,106.5625,1.0,0.9375,2.4375,1.4375,0.0,0.00010361858767282683
112358,1,F_dynamic_no_insert,16,1,293.6395625,249.01455602383828,39.625,5.0,6.6875,6.1875,106.1875,106.5625,1.0,0.9375,2.4375,1.4375,0.0,0.00010361858767282683
112358,1,F_fixed_insert,16,1,257.9643125,212.90178469480773,40.0625,5.0,6.75,6.3125,120.597572,120.97257200128416,0.875,0.6875,2.5,1.3125,0.5,0.000444883076397673
112358,1,F,16,1,278.8760625,232.9385934221221,40.9375,5.0,6.875,6.5625,135.5173280625,138.51732806183733,0.8125,0.5,2.625,1.5625,0.5,0.0004947539537170087
112358,2,C+,16,1,256.458,205.45801428173618,46.0,5.0,7.6875,7.5625,96.5625,98.4375,1.0,1.0,1.6875,1.0,0.0,0.00022850777850180748
112358,2,F_fixed_no_insert,16,1,247.4849375,206.73496573123734,35.75,5.0,6.0,5.75,88.3125,89.0625,1.0,1.0,2.0625,1.3125,0.0,0.000451699797395122
112358,2,F_dynamic_no_insert,16,1,283.6153125,236.61530640112147,42.0,5.0,7.0625,6.6875,108.4375,109.18750000000001,1.0,1.0,2.375,1.5625,0.0,9.758205669641029e-05
112358,2,F_fixed_insert,16,1,257.182,214.55699844082355,37.625,5.0,6.3125,6.0625,94.6416345625,95.39163457952569,0.875,0.625,2.375,1.4375,0.375,2.494682348697097e-05
112358,2,F,16,1,257.182,214.55699844082355,37.625,5.0,6.3125,6.0625,94.6416345625,95.39163457952569,0.875,0.625,2.375,1.4375,0.375,2.494682348697097e-05
112358,3,C+,14,1,298.76435714285714,233.050041072494,60.714285714285715,5.0,10.142857142857142,10.0,131.64285714285714,161.92857142857142,1.0,0.7857142857142857,1.0,0.5714285714285714,0.0,0.00042498508400967694
112358,3,F_fixed_no_insert,14,1,282.86535714285714,233.57965905847388,44.285714285714285,5.0,7.428571428571429,7.142857142857143,118.78571428571429,144.7857142857143,1.0,0.7857142857142857,2.4285714285714284,1.8571428571428572,0.0,0.0002268186344736023
112358,3,F_dynamic_no_insert,14,1,291.0177857142857,239.44634534795793,46.57142857142857,5.0,7.785714285714286,7.642857142857143,120.5,146.07142857142858,1.0,0.7857142857142857,2.7142857142857144,2.142857142857143,0.0,0.00016512858883288573
112358,3,F_fixed_insert,14,1,283.67657142857144,232.96230340698276,45.714285714285715,5.0,7.642857142857143,7.5,127.81290942857143,153.3843380214574,0.8571428571428571,0.5714285714285714,2.642857142857143,1.7142857142857142,0.5714285714285714,0.00024769775836830377
112358,3,F,14,1,326.984,273.69830018641125,48.285714285714285,5.0,8.071428571428571,7.928571428571429,132.85335085714286,157.49225818138896,0.8571428571428571,0.5714285714285714,3.0,2.0,0.5714285714285714,0.00020260975770725054
112358,4,C+,10,1,387.8195,291.5194979493512,91.3,5.0,15.3,14.8,229.7,232.7,1.0,1.0,1.5,0.8,0.0,2.050648799922783e-05
112358,4,F_fixed_no_insert,10,1,389.2456,304.445619253779,79.8,5.0,13.4,12.8,214.1,218.3,1.0,1.0,2.8,1.7,0.0,0.0001925377896441205
112358,4,F_dynamic_no_insert,10,1,352.854,273.35396997894514,74.5,5.0,12.5,12.0,175.9,215.9,1.0,1.0,2.4,1.7,0.0,0.0003002105486302753
112358,4,F_fixed_insert,10,1,376.5826,294.88255166522185,76.7,5.0,12.9,12.2,232.8267602,236.4267602397381,0.7,0.5,2.3,1.0,0.8,0.0004833477814827347
112358,4,F,10,1,321.92539999999997,239.92540582056034,77.0,5.0,12.9,12.5,191.88691120000001,231.2869112440861,0.8,0.7,2.8,1.5,0.8,5.8205603636452e-05
112358,5,C+,14,1,289.7435,223.67203922827875,61.07142857142857,5.0,10.214285714285714,10.0,83.5,161.07142857142858,1.0,0.7857142857142857,1.2142857142857142,0.6428571428571429,0.0,0.0004508040974542382
112358,5,F_fixed_no_insert,14,1,278.53914285714285,230.3963158315466,43.142857142857146,5.0,7.214285714285714,7.071428571428571,71.92857142857143,140.92857142857144,1.0,0.8571428571428571,2.642857142857143,2.0,0.0,0.000421641652337712
112358,5,F_dynamic_no_insert,14,1,275.0160714285714,226.9446697068055,43.07142857142857,5.0,7.214285714285714,7.0,97.07142857142857,141.7857142857143,1.0,0.8571428571428571,2.4285714285714284,1.7142857142857142,0.0,0.000375895277102245
112358,5,F_fixed_insert,14,1,264.89578571428575,217.68149198329857,42.214285714285715,5.0,7.071428571428571,6.857142857142857,71.92857142857143,159.40192127476712,0.6428571428571429,0.5,2.5,1.7142857142857142,0.42857142857142855,0.00011223382034586393
112358,5,F,14,1,288.0902142857143,239.23307553472168,43.857142857142854,5.0,7.357142857142857,7.071428571428571,106.78180757142857,151.06752184975318,0.7857142857142857,0.7142857142857143,2.5714285714285716,1.2142857142857142,0.5714285714285714,5.7486103742121486e-05
112358,6,C+,11,1,385.2212727272727,305.403130640293,74.81818181818181,5.0,12.545454545454545,12.090909090909092,166.45454545454547,203.36363636363637,1.0,0.9090909090909091,1.3636363636363635,0.45454545454545453,0.0,0.00043704322297344333
112358,6,F_fixed_no_insert,11,1,374.43663636363635,305.70940139253605,63.72727272727273,5.0,10.727272727272727,10.090909090909092,157.72727272727272,190.8181818181818,1.0,0.9090909090909091,2.5454545454545454,1.6363636363636365,0.0,0.00041531789656801266
112358,6,F_dynamic_no_insert,11,1,378.42999999999995,309.52094970268234,63.90909090909091,5.0,10.727272727272727,10.272727272727273,161.0,191.36363636363637,1.0,0.9090909090909091,2.4545454545454546,1.6363636363636365,0.0,0.00044672950616586604
112358,6,F_fixed_insert,11,1,375.7583636363636,306.84928661325796,63.90909090909091,5.0,10.727272727272727,10.272727272727273,170.890535,203.43598957415568,0.7272727272727273,0.36363636363636365,2.5454545454545454,1.2727272727272727,0.7272727272727273,0.0001527458380223834
112358,6,F,11,1,364.4248181818182,298.1520975431391,61.27272727272727,5.0,10.272727272727273,9.909090909090908,165.72785872727275,202.06300559844215,0.8181818181818182,0.2727272727272727,2.4545454545454546,1.2727272727272727,0.6363636363636364,7.297453066712478e-05
112358,7,C+,16,1,266.307125,210.1821236182704,51.125,5.0,8.5625,8.3125,118.9375,121.5625,1.0,0.75,1.3125,0.5,0.0,2.210767343058251e-05
112358,7,F_fixed_no_insert,16,1,253.314375,210.68935982036427,37.625,5.0,6.3125,6.0625,105.4375,106.9375,1.0,0.8125,2.25,1.375,0.0,0.00024287417181767523
112358,7,F_dynamic_no_insert,16,1,263.124625,219.81210327298342,38.3125,5.0,6.4375,6.125,106.5625,107.6875,1.0,0.9375,2.1875,1.3125,0.0,0.000347632264947606
112358,7,F_fixed_insert,16,1,249.632625,208.25762691680563,36.375,5.0,6.125,5.75,115.0231473125,116.14814731951796,0.8125,0.4375,2.0625,1.0,0.5,3.066889030378661e-05
112358,7,F,16,1,252.3065625,209.05655095301702,38.25,5.0,6.4375,6.0625,117.932363125,118.68236313214852,0.75,0.5625,2.1875,0.9375,0.5,0.00018475172782927984
112358,8,C+,16,1,281.56675,227.94177709318313,48.625,5.0,8.125,8.0,116.3125,116.6875,1.0,0.875,1.6875,1.0,0.0,0.0004334909299359424
112358,8,F_fixed_no_insert,16,1,264.4525,223.577483143014,35.875,5.0,6.0,5.875,101.6875,102.4375,1.0,0.9375,2.4375,1.75,0.0,0.0002697117756724765
112358,8,F_dynamic_no_insert,16,1,269.7479375,222.81040716678277,41.9375,5.0,7.0,6.9375,122.1875,125.56250000000001,1.0,0.875,2.5625,2.0,0.0,0.0004853314753745508
112358,8,F_fixed_insert,16,1,277.86,237.11001352114985,35.75,5.0,6.0,5.75,113.243737125,113.99373714366673,0.8125,0.625,2.4375,1.375,0.5,0.00021633839742207783
112358,8,F,16,1,261.6623125,221.34984057313702,35.3125,5.0,5.9375,5.625,136.6801155625,139.6801155741562,0.8125,0.25,2.3125,1.375,0.5,0.0004491701924962399
112358,9,C+,15,1,302.93693333333334,239.33695703848437,58.6,5.0,9.8,9.6,124.86666666666666,152.33333333333334,1.0,0.8666666666666667,1.0666666666666667,0.5333333333333333,0.0,0.000355577265509055
112358,9,F_fixed_no_insert,15,1,286.54920000000004,240.88253849777973,40.666666666666664,5.0,6.8,6.666666666666667,112.06666666666666,134.73333333333335,1.0,0.8,2.066666666666667,1.5333333333333334,0.0,7.746669552943786e-05
112358,9,F_dynamic_no_insert,15,1,281.3464,234.47974642355027,41.86666666666667,5.0,7.066666666666666,6.533333333333333,114.06666666666666,134.33333333333334,1.0,0.8666666666666667,2.2,1.3333333333333333,0.0,0.00019635325406852644
112358,9,F_fixed_insert,15,1,286.5869333333333,238.5869267684411,43.0,5.0,7.2,7.0,124.14110860000001,146.00777526470475,0.8666666666666667,0.4,2.466666666666667,1.6,0.5333333333333333,9.847338378676795e-05
112358,9,F,15,1,285.57873333333333,236.71208021286023,43.86666666666667,5.0,7.4,6.866666666666666,127.39637406666667,147.66304074397084,0.8,0.6,2.533333333333333,1.2666666666666666,0.5333333333333333,0.0002031929038821545
112358,10,C+,16,1,271.4106875,215.66067865429306,50.75,5.0,8.5,8.25,117.8125,119.6875,1.0,0.875,1.5625,0.875,0.0,0.0001415313108736882
112358,10,F_fixed_no_insert,16,1,259.995625,216.99561184801541,38.0,5.0,6.375,6.125,102.8125,105.0625,1.0,0.9375,2.6875,1.9375,0.0,0.00021043175365775824
112358,10,F_dynamic_no_insert,16,1,237.0513125,199.30132434787663,32.75,5.0,5.5,5.25,83.8125,86.06250000000001,1.0,0.9375,2.25,1.5,0.0,0.00018956602616526652
112358,10,F_fixed_insert,16,1,242.093,203.21801756569016,33.875,5.0,5.6875,5.4375,114.03455575,115.90955574128567,0.8125,0.4375,2.0,1.125,0.4375,0.00028105104274800397
112358,10,F,16,1,259.682125,220.36959561527388,34.3125,5.0,5.75,5.5625,131.6451998125,133.52019982226588,0.75,0.3125,1.8125,1.0625,0.4375,0.00047015561767693725
112358,11,C+,11,1,380.4121818181818,299.7757861215094,75.63636363636364,5.0,12.636363636363637,12.454545454545455,142.0909090909091,206.0909090909091,1.0,0.8181818181818182,1.0,0.36363636363636365,0.0,0.00035266339637018973
112358,11,F_fixed_no_insert,11,1,388.21763636363636,323.035791654954,60.18181818181818,5.0,10.090909090909092,9.727272727272727,127.36363636363636,187.54545454545453,1.0,1.0,2.272727272727273,1.4545454545454546,0.0,0.0002917955062002875
112358,11,F_dynamic_no_insert,11,1,364.2543636363636,298.6179885404609,60.63636363636363,5.0,10.181818181818182,9.727272727272727,127.9090909090909,188.63636363636363,1.0,1.0,2.3636363636363638,1.5454545454545454,0.0,0.00012605492975126253
