seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,no_signal_actions,failed_clear_actions,decision_wall_time_s
61903,17,D_hybrid_belief_rolling,10,10,10,4102.389,146,10,1,3182.389186,14,9,110,0,0.557522
61903,17,E_hybrid_belief_route,10,10,10,4104.42,145,10,1,3187.419986,13,6,110,0,0.630705
61903,18,Cplus_completion_coobserve,10,10,10,4723.299,152,10,1,3764.299157,15,7,116,0,0.275364
61903,18,D_hybrid_belief_rolling,10,10,10,4041.893,154,10,1,3075.893107,17,9,116,0,0.653822
61903,18,E_hybrid_belief_route,10,10,10,4723.299,152,10,1,3764.299157,15,7,116,0,0.270738
61903,19,Cplus_completion_coobserve,12,12,12,4043.605,138,12,1,3157.605135,14,5,95,0,0.598489
61903,19,D_hybrid_belief_rolling,12,12,12,4043.22,140,12,1,3147.22014,16,11,96,0,0.432758
61903,19,E_hybrid_belief_route,12,12,12,4049.488,139,12,1,3157.487973,15,6,95,0,0.606976
61903,20,Cplus_completion_coobserve,14,14,14,4124.734,138,14,1,3231.734475,16,7,88,0,0.876622
61903,20,D_hybrid_belief_rolling,14,14,14,4152.519,140,14,1,3248.519321,18,12,88,0,0.708331
61903,20,E_hybrid_belief_route,14,14,14,4124.734,138,14,1,3231.734475,16,7,88,0,0.90477
61903,21,Cplus_completion_coobserve,16,16,16,3814.277,126,16,1,2986.277077,32,16,57,0,1.556031
61903,21,D_hybrid_belief_rolling,16,16,16,3797.032,128,16,1,2956.031808,34,23,58,0,1.223079
61903,21,E_hybrid_belief_route,16,16,16,3795.386,124,16,1,2977.38582,30,16,57,0,1.377392
61903,22,Cplus_completion_coobserve,16,16,16,4264.31,157,16,1,3247.310033,30,15,93,0,1.264368
61903,22,D_hybrid_belief_rolling,16,16,16,4248.497,156,16,1,3239.496922,29,17,94,0,1.229229
61903,22,E_hybrid_belief_route,16,16,16,4227.043,151,16,1,3245.043287,24,12,93,0,1.006027
61903,23,Cplus_completion_coobserve,15,15,15,4656.063,151,15,1,3680.063147,24,11,93,0,1.190457
61903,23,D_hybrid_belief_rolling,15,15,15,4674.214,156,15,1,3671.214321,29,18,94,0,1.048625
61903,23,E_hybrid_belief_route,15,15,15,4668.063,153,15,1,3680.062975,26,13,94,0,1.214448
61903,24,Cplus_completion_coobserve,14,14,14,4130.828,141,14,1,3218.827891,16,8,92,0,0.871918
61903,24,D_hybrid_belief_rolling,14,14,14,4131.068,143,14,1,3208.068063,18,15,93,0,0.365657
