seed,case,model,source_count,all_cleared,total_time_per_source_s,movement_time_per_source_s,detection_switch_time_per_source_s,clear_action_time_per_source_s,measure_actions_per_source,channel_switches_per_source,last_discovery_time_per_source_s,search_end_time_per_source_s,unfinished_after_search_rate,not_clear_ready_after_search_rate,active_measurements_per_source,co_measurements_per_source,coverage_insertions_per_source,primary_blocks_per_source,revisited_channel_rate,preemptions_per_source,decomposition_error_s
112358,1,F,16,1,278.8760625,232.9385934221221,40.9375,5.0,6.875,6.5625,135.5173280625,138.51732806183733,0.8125,0.5,2.625,1.5625,0.5,0.8125,0.0,0.0,0.0004947539537170087
112358,1,G,16,1,266.579125,221.01664596966864,40.5625,5.0,6.8125,6.5,135.5173280625,138.51732806183733,0.8125,0.5,2.5625,1.6875,0.5,0.875,0.0625,0.0625,0.0003355146986905311
112358,1,F_marginal_insert,16,1,279.97775,234.41525433604875,40.5625,5.0,6.8125,6.5,136.6247424375,139.62474242657402,0.8125,0.5,2.5625,1.5,0.5,0.8125,0.0,0.0,6.937677972018719e-05
112358,1,G_marginal_insert,16,1,266.41825,220.98076487657033,40.4375,5.0,6.8125,6.375,136.6247424375,139.62474242657402,0.8125,0.5,2.5625,1.5625,0.5,0.875,0.0625,0.0625,0.00023802512532711262
112358,2,F,16,1,257.182,214.55699844082355,37.625,5.0,6.3125,6.0625,94.6416345625,95.39163457952569,0.875,0.625,2.375,1.4375,0.375,0.875,0.0,0.0,2.494682348697097e-05
112358,2,G,16,1,252.91175,209.78674422639284,38.125,5.0,6.4375,5.9375,94.6416345625,95.39163457952569,0.875,0.625,2.5,1.5625,0.375,1.0,0.125,0.125,9.237771473635803e-05
112358,2,F_marginal_insert,16,1,255.150875,212.08834723307234,38.0625,5.0,6.375,6.1875,105.1287245625,105.50372457995373,0.8125,0.375,2.4375,1.4375,0.5625,0.8125,0.0,0.0,0.00044427084276321693
112358,2,G_marginal_insert,16,1,250.1239375,207.31146719989493,37.8125,5.0,6.375,5.9375,105.1287245625,105.50372457995373,0.8125,0.375,2.4375,1.4375,0.5625,0.875,0.0625,0.0625,0.0004751983187816222
