scenario,seed,case,model,n,bias_deg,anomaly,error,all_cleared,undiscovered_cases,undiscovered_sources,coverage_misses,exhausted_cases,exhausted_sources,failed_clears,total_per_source,movement_per_source,detect_switch_per_source,clear_time_per_source,last_discovery_per_source,search_end_per_source,search_movement_per_source,not_ready_rate,active_measurements_per_source,co_measurements_per_source,switches_per_source,insertions_per_source,decision_wall_s,decomposition_error_s,hard_fail
S0_baseline,130363,1,I,15,0.0,0,,1,0,0,0,0,0,0,264.42533333333336,211.49199592477237,47.93333333333333,5.0,142.46064173333335,144.8606417054464,101.1939750387797,0.5333333333333333,2.533333333333333,1.8666666666666667,7.6,0.5333333333333333,0.5102295000106096,6.112841447247774e-05,0
S0_baseline,130363,1,J,15,0.0,0,,1,0,0,0,0,0,0,247.04613333333333,197.57946732276045,44.46666666666667,5.0,93.97573773333333,133.35674795640622,90.49008128973956,0.26666666666666666,2.6,1.9333333333333333,7.133333333333334,0.3333333333333333,1.5955581000016537,9.841406608757097e-06,0
S0_baseline,130363,1,J+,15,0.0,0,,1,0,0,0,0,0,0,246.26940000000002,200.40273764699825,40.86666666666667,5.0,88.32632646666666,121.06679256522146,83.60012589855478,0.3333333333333333,2.0,1.7333333333333334,6.533333333333333,0.0,0.19592790000024252,6.470497373811668e-05,0
S0_baseline,130363,2,I,13,0.0,0,,1,0,0,0,0,0,0,349.7579230769231,292.8348525531576,51.92307692307692,5.0,111.04943200000001,159.47526782327992,112.62911397712605,0.5384615384615384,2.6153846153846154,1.6923076923076923,8.461538461538462,0.38461538461538464,0.9727533999830484,8.31910483611864e-05,0
S0_baseline,130363,2,J,13,0.0,0,,1,0,0,0,0,0,0,312.08007692307694,249.69543081884638,57.38461538461539,5.0,130.49197946153848,154.17661855637633,100.79200317176097,0.46153846153846156,3.0,1.9230769230769231,9.307692307692308,0.6153846153846154,1.622553599998355,0.00039935499717103085,0
S0_baseline,130363,2,J+,13,0.0,0,,1,0,0,0,0,0,0,302.9276923076923,245.69692260805337,52.23076923076923,5.0,120.36672907692308,144.4499232967469,97.06530791213149,0.46153846153846156,2.1538461538461537,1.6923076923076923,8.384615384615385,0.0,0.18761159997666255,6.095306162023917e-06,0
S0_baseline,130363,3,I,14,0.0,0,,1,0,0,0,0,0,0,279.5882857142857,226.51687845945096,48.07142857142857,5.0,152.62636607142855,152.62636604371758,106.76922318657475,0.35714285714285715,2.2142857142857144,1.2857142857142858,7.714285714285714,0.5714285714285714,1.333167400007369,0.0002984323136843159,0
S0_baseline,130363,3,J,14,0.0,0,,1,0,0,0,0,0,0,282.165,226.59356978286627,50.57142857142857,5.0,123.73437871428573,141.71601707527356,92.71601707527358,0.21428571428571427,2.5,1.5714285714285714,8.071428571428571,0.5714285714285714,1.0266550999949686,2.3039872303343145e-05,0
S0_baseline,130363,3,J+,14,0.0,0,,1,0,0,0,0,0,0,281.04278571428574,224.54279831069604,51.5,5.0,136.06399142857143,137.77827717438706,90.34970574581563,0.2857142857142857,2.2857142857142856,1.9285714285714286,8.285714285714286,0.0,0.15604949998669326,0.00017634974437896744,0
S0_baseline,130363,4,I,10,0.0,0,,1,0,0,0,0,0,0,380.7876,302.7875726548649,73.0,5.0,223.1238103,224.923810305832,154.523810305832,0.5,2.0,1.1,12.0,0.6,1.155421200004639,0.00027345135140421917,0
S0_baseline,130363,4,J,10,0.0,0,,1,0,0,0,0,0,0,392.9755,304.67548810679193,83.3,5.0,212.22579000000002,214.02579002622718,135.1257900262272,0.5,2.5,1.5,13.8,0.5,0.8371096999908332,0.00011893208056790172,0
S0_baseline,130363,4,J+,10,0.0,0,,1,0,0,0,0,0,0,382.3192,297.0191814846464,80.3,5.0,198.5343696,200.33436957498336,126.23436957498333,0.7,2.0,1.3,13.3,0.0,0.11334899999201298,0.00018515353576731286,0
S0_baseline,130363,5,I,14,0.0,0,,1,0,0,0,0,0,0,326.01971428571426,269.3054158545155,51.714285714285715,5.0,145.37468857142858,147.51754573983757,104.01754573983757,0.7142857142857143,3.142857142857143,1.7142857142857142,7.785714285714286,0.5714285714285714,0.5575122000009287,0.00017803678292693803,0
S0_baseline,130363,5,J,14,0.0,0,,1,0,0,0,0,0,0,299.96407142857146,245.24976659365726,49.714285714285715,5.0,120.41685071428572,140.81072540602472,95.23929683459615,0.5,2.5714285714285716,1.5,7.928571428571429,0.5714285714285714,0.7635287000157405,0.00026768879888550146,0
S0_baseline,130363,5,J+,14,0.0,0,,1,0,0,0,0,0,0,282.24764285714286,231.46192432124914,45.785714285714285,5.0,93.14517107142856,130.367099016862,88.93852758829055,0.5,2.2142857142857144,1.7857142857142858,7.214285714285714,0.0,0.16741490000276826,5.950251215836033e-05,0
S0_baseline,130363,6,I,15,0.0,0,,1,0,0,0,0,0,0,283.045,232.57833646311425,45.46666666666667,5.0,139.74583033333334,142.14583033757032,100.01249700423699,0.4666666666666667,2.066666666666667,1.2666666666666666,7.466666666666667,0.5333333333333333,0.7582583999901544,4.694671360994107e-05,0
S0_baseline,130363,6,J,15,0.0,0,,1,0,0,0,0,0,0,270.1716666666667,214.57168557257583,50.6,5.0,130.59259593333334,132.59259591821078,85.19259591821078,0.4,2.533333333333333,1.8,8.266666666666667,0.4,1.3289777000027243,0.00028358863755784114,0
S0_baseline,130363,6,J+,15,0.0,0,,1,0,0,0,0,0,0,264.1178,212.5177790927035,46.6,5.0,123.21143066666667,126.01143065054629,82.94476398387961,0.4,1.8666666666666667,1.6666666666666667,7.6,0.0,0.13439359999028966,0.000313609447402996,0
S0_baseline,130363,7,I,13,0.0,0,,1,0,0,0,0,0,0,307.4215384615385,247.036954116026,55.38461538461539,5.0,138.1620446923077,162.46648125988455,110.15878895219224,0.38461538461538464,2.3076923076923075,1.3076923076923077,8.846153846153847,0.6153846153846154,1.3651903999852948,0.00040350833796765073,0
S0_baseline,130363,7,J,13,0.0,0,,1,0,0,0,0,0,0,303.7604615384615,237.99126223204817,60.76923076923077,5.0,145.39789592307693,163.825087873334,104.90201095025706,0.3076923076923077,2.4615384615384617,1.6923076923076923,10.0,0.6153846153846154,1.138825200003339,0.00040901662623582524,0
S0_baseline,130363,7,J+,13,0.0,0,,1,0,0,0,0,0,0,289.53292307692305,228.9175051352993,55.61538461538461,5.0,129.45118869230768,148.80145762538788,95.87838070231093,0.38461538461538464,1.6153846153846154,1.3846153846153846,9.076923076923077,0.0,0.14357980000204407,0.0004332411090217647,0
S0_baseline,130363,8,I,16,0.0,0,,1,0,0,0,0,0,0,247.1665625,197.79153319472508,44.375,5.0,112.0771925,113.57719250798824,75.51469250798823,0.6875,2.8125,1.9375,7.1875,0.5,0.6806513000046834,0.0004688843987423752,0
S0_baseline,130363,8,J,16,0.0,0,,1,0,0,0,0,0,0,230.4384375,181.18845084953432,44.25,5.0,96.5679378125,98.06793780810227,60.005437808102286,0.75,3.0625,2.1875,7.0625,0.5,1.3860523999901488,0.0002135925492439128,0
S0_baseline,130363,8,J+,16,0.0,0,,1,0,0,0,0,0,0,232.5111875,189.44868336466928,38.0625,5.0,86.4771270625,88.35212707854964,56.22712707854966,0.75,2.0,1.75,6.1875,0.0,0.1487120999954641,6.61652916278399e-05,0
S0_baseline,130363,9,I,10,0.0,0,,1,0,0,0,0,0,0,386.4602,307.5602213348291,73.9,5.0,182.8064402,216.0064401574417,146.10644015744168,0.6,2.9,1.7,11.9,0.8,0.5076207999954931,0.0002133482912540785,0
S0_baseline,130363,9,J,10,0.0,0,,1,0,0,0,0,0,0,377.57460000000003,288.87462838316696,83.7,5.0,178.5026465,213.24661128430552,133.14661128430552,0.6,2.9,1.9,13.7,0.6,1.0476632000063546,0.00028383166954881744,0
S0_baseline,130363,9,J+,10,0.0,0,,1,0,0,0,0,0,0,351.40160000000003,270.30161451364336,76.1,5.0,147.4801165,202.5908155918766,128.49081559187658,0.5,1.8,1.5,12.6,0.0,0.1353625999763608,0.00014513643327518366,0
