case,strategy,source_count,cleared_channels,all_cleared,total_virtual_time_s,search_end_time_s,measure_total,measure_search,measure_post,measure_search_no_signal,measure_post_no_signal,measure_post_direction,clear_total,clear_post_success,clear_post_fail,stations_search,stations_post,distance_m,distance_post_m,wall_time_s
22,C,13,13,1,8334.55,5818.918826267438,383,356,27,330,13,14,13,11,0,31,38,29947.751572580535,11578.157441243353,0.38638300000457093
23,B,12,12,1,8364.757,6511.796489095311,396,385,11,361,5,6,12,7,0,32,18,29673.786734184072,8784.804288707503,0.2971108000201639
23,C,12,12,1,8619.532,6094.526432326396,448,411,37,388,24,12,12,12,0,29,34,29447.660505457505,11300.02834382552,0.44323060000897385
24,B,11,11,1,9049.17,6286.938376629963,382,363,19,341,8,11,11,10,0,28,29,33565.849885739204,13041.15800258939,0.5012250000145286
24,C,11,11,1,8840.544,6133.599721433224,437,416,21,395,11,10,11,10,0,30,30,30887.719649946604,12719.721042780488,0.4581387999933213
25,B,12,12,1,8582.596,6417.339653355351,398,383,15,359,7,8,12,9,0,30,24,30722.979210414313,10196.280943637552,0.37632000001030974
25,C,12,12,1,8544.784,5785.212792253274,375,354,21,330,7,14,12,10,0,31,31,31238.921412690306,12977.857451423935,0.3662219000107143
26,B,10,10,1,8538.593,6426.8719793931805,399,391,8,371,2,6,10,10,0,27,18,30492.966887213093,10083.606990247188,0.22154009999940172
26,C,10,10,1,9252.303,6328.180525291938,496,440,56,422,49,7,10,8,0,31,40,31211.516742252366,12815.61411579268,0.35896929999580607
27,B,15,15,1,8768.308,6285.913892560822,374,356,18,326,8,10,15,11,0,31,29,32296.540553138377,11641.971090334282,0.41703499999130145
27,C,15,15,1,8148.327,5590.5264323263955,345,327,18,298,2,16,15,15,0,29,32,30041.6354417075,11894.003280075529,0.49625100000412203
28,B,11,11,1,9242.675,6667.292280128484,438,421,17,399,7,10,11,9,0,29,26,32833.37547984708,12171.914079204667,0.32264880000730045
28,C,11,11,1,9227.858,6145.700957374678,475,417,58,396,47,11,11,10,0,30,42,31709.289637431,13510.784850557626,0.5544025999843143
29,B,15,15,1,8581.502,5717.936703395463,295,269,26,239,13,13,15,13,0,29,39,33762.508145945685,13287.82462896837,0.6601978999970015
29,C,15,15,1,9601.497,5874.186326234185,435,370,65,342,51,14,15,13,0,31,55,34697.48624678127,16471.55461561035,0.694844399986323
30,B,11,11,1,8688.504,6394.6855349661155,388,373,15,351,6,9,11,8,0,30,23,31572.52153249945,10859.093857668871,0.3412118999985978
30,C,11,11,1,8834.238,6189.0474041151765,477,424,53,403,44,9,11,9,0,31,41,29681.1900416161,11500.953021040219,0.6365261000173632
31,B,11,11,1,8431.915,6595.223592617638,428,415,13,393,5,8,11,8,0,30,21,29079.57442454936,8623.45646146117,0.3160265000187792
31,C,11,11,1,9731.99,6064.526432326396,500,406,94,386,83,11,11,11,0,29,63,33529.95099276602,15382.318831134036,0.760152900009416
32,B,14,14,1,9210.809,6048.039162529364,394,327,67,301,55,12,14,13,0,28,47,33984.04697058492,13573.851157938094,0.5499939000001177
32,C,14,14,1,9978.445,6052.526432326396,514,404,110,379,96,14,14,14,0,29,61,34207.224112231124,16059.591950599162,1.121785399998771
33,B,11,11,1,8513.323,6608.3313353725,423,413,10,391,4,6,11,8,0,30,18,29631.61381277576,9049.957135913255,0.18388289998983964
