case,strategy,source_count,cleared_channels,all_cleared,total_virtual_time_s,search_end_time_s,measure_total,measure_search,measure_post,measure_search_no_signal,measure_post_no_signal,measure_post_direction,clear_total,clear_post_success,clear_post_fail,stations_search,stations_post,distance_m,distance_post_m,wall_time_s
22,C,16,16,1,10569.89,6162.174674652821,618,450,168,424,149,19,16,16,0,28,49,33939.448447212024,16623.575073947926,0.42003660000045784
23,B,16,16,1,9224.032,5924.184153578988,453,359,94,331,86,8,16,13,0,28,47,32195.159192437102,13414.238424542158,0.4606756999855861
23,C,16,16,1,12356.081,6488.281502787045,792,490,302,466,282,20,16,14,0,30,69,37640.40459673175,19943.99708279653,0.525009000004502
24,B,16,16,1,8206.407,5843.286701237713,367,346,21,315,13,8,16,14,0,27,32,29687.037293902962,10895.603787714403,0.43099269998492673
24,C,16,16,1,10807.07,6273.5554861806195,646,462,184,434,165,19,16,15,0,29,62,34310.348943177865,16822.571512274786,0.6490477999905124
25,B,16,16,1,9835.107,6358.411985460389,499,393,106,366,98,8,16,13,0,29,42,33815.53284951963,13883.472922217672,0.3427621999871917
25,C,16,16,1,14952.577,6701.5750881786325,1028,498,530,476,514,16,16,13,0,32,112,43637.88545456265,25140.01001366949,1.3043031000124756
26,B,16,16,1,9052.901,5931.209881936643,438,352,86,324,74,12,16,12,0,29,55,31804.505905061396,12803.456495378183,0.5062216999940574
26,C,16,16,1,11173.148,5751.141301047791,763,436,327,412,311,16,16,14,0,27,87,32660.73848590744,17030.03198066847,0.9785969000076875
27,B,16,16,1,8916.156,6474.649055911774,454,422,32,393,25,7,16,14,0,28,24,30645.78209924705,10977.53681968816,0.1941845999972429
27,C,16,16,1,13791.819,6592.223580449801,950,493,457,471,438,19,16,15,0,30,79,40144.09321525298,21992.975313003957,0.6640513000020292
28,B,16,16,1,9307.772,6148.230903073831,481,387,94,358,85,9,16,12,0,29,38,31728.862286196327,12692.707770827168,0.36365139999543317
28,C,16,16,1,11787.992,6030.174674652821,712,428,284,402,265,19,16,16,0,28,87,37224.95920303628,19909.085829772157,1.0170241000014357
29,B,16,16,1,7993.333,5830.495407551485,366,332,34,303,28,6,16,10,0,31,28,28636.665407637065,9589.188369879621,0.26377879999927245
29,C,16,16,1,14732.829,6915.564596392736,1167,545,622,525,608,14,16,13,0,32,85,38304.144354777156,20146.32137281348,1.1831131000071764
30,B,16,16,1,8372.07,5838.078231657421,367,337,30,306,22,7,16,13,0,28,36,30555.3482789285,11544.95712064139,0.44985110001289286
30,C,16,16,1,11665.716,6042.174674652821,680,430,250,403,229,21,16,16,0,28,71,37578.57903755707,20262.705664292964,0.814218500017887
31,B,16,16,1,9159.452,6545.872517027328,448,416,32,385,22,10,16,12,0,30,30,32012.2618220727,11857.899236936046,0.4368637999868952
31,C,16,16,1,12117.62,6538.711427731532,692,480,212,455,192,20,16,15,0,30,55,39473.10032559933,21199.543186941675,0.273215799999889
32,B,16,16,1,10048.81,5779.953442886574,508,340,168,312,159,9,16,10,0,30,61,34654.04829536329,16099.281080930425,0.45152169998618774
32,C,16,16,1,13011.221,6107.516398217391,795,434,361,408,344,17,62,15,0,29,139,40131.10656278933,22633.524571702397,0.9878130999859422
33,B,16,16,1,11457.068,6584.0386785429055,665,438,227,413,214,13,16,15,0,27,64,37025.33855681642,17265.14516410187,0.6848062000062782
33,C,16,16,1,15519.834,6694.648717705616,1082,509,573,486,556,17,16,15,0,30,101,44819.17133542513,26635.92774689707,1.1280484999879263
34,B,16,16,1,6885.651,5702.958292221088,293,280,13,249,7,6,16,11,0,31,23,25283.256653792116,5288.465192686669,0.18488399998750538
34,C,16,16,1,9035.811,5075.018030854492,606,383,223,360,204,19,16,16,0,22,60,26624.05683852194,12733.966684249484,0.6292280000052415
35,B,16,16,1,7746.502,4802.697502191343,351,292,59,263,53,6,16,14,0,22,37,27862.507990753205,12654.020479796482,0.23392689999309368
35,C,16,16,1,12540.659,6549.572250307456,779,484,295,460,277,18,16,15,0,30,70,38973.29511663691,20765.433865099625,0.6996627999760676
36,B,16,16,1,9427.153,6383.417880972237,454,391,63,361,57,6,16,13,0,29,39,33215.767179598704,13098.677774737525,0.4019354999763891
36,C,16,16,1,11582.976,6054.443485734594,761,456,305,432,287,18,16,14,0,28,67,34699.878252032344,18152.660823359387,0.6781160999962594
37,B,16,16,1,9407.47,6250.80340014476,431,368,63,339,56,7,16,10,0,32,43,33802.35248969348,13733.335488969677,0.5946807000145782
37,C,16,16,1,12384.634,6727.559565158749,807,514,293,492,275,18,16,14,0,31,63,37323.16759801015,19150.369772216396,0.5260635000013281
38,B,16,16,1,8258.621,5997.6864483494755,364,346,18,315,12,6,16,10,0,31,27,30038.10329535766,10574.67105361029,0.40239989999099635
38,C,16,16,1,13402.02,6622.526432326396,832,499,333,473,314,19,16,16,0,29,104,41725.10106390016,23577.468902268178,1.1744627000007313
39,B,16,16,1,8332.401,5735.685293962273,362,340,22,309,12,10,16,13,0,27,35,30467.00418310747,12058.577713296103,0.5308558999968227
39,C,16,16,1,12210.493,6739.774543678241,738,511,227,487,209,18,16,13,0,32,62,38517.46460404252,20218.591885651313,0.699053799995454
40,B,16,16,1,10099.964,6106.698776754166,549,389,160,361,150,10,16,14,0,27,47,33659.818804144146,14841.324920373318,0.3657367999840062
40,C,16,16,1,10390.128,6249.913607811498,534,436,98,408,81,17,16,15,0,30,59,35605.637503852624,17456.06946479515,0.6603264999866951
41,B,16,16,1,8672.901,6021.324402046879,371,346,25,316,18,7,16,14,0,28,31,31909.50531604214,12227.883305807745,0.33039189997361973
41,C,16,16,1,12673.513,6517.292550435308,883,481,402,459,386,16,16,12,0,32,82,36537.56605463202,18476.10330245548,0.5835694000124931
42,B,16,16,1,8631.444,6162.240190944603,404,369,35,339,27,8,16,9,0,32,31,30687.221226614252,11116.02027189124,0.29432790001737885
42,C,16,16,1,12130.094,6283.443964689053,732,438,294,412,279,15,16,15,0,30,84,38405.47109269502,20148.25126924975,0.9153225000191014
43,B,16,16,1,7779.364,5689.924327914625,358,344,14,314,8,6,16,11,0,29,24,27801.817943749422,9792.196304176297,0.24957650000578724
43,C,16,16,1,13791.702,6657.474548688184,821,503,318,479,295,23,16,14,0,31,85,43983.507714641055,25831.13497120013,0.626103000016883
44,B,16,16,1,9177.83,6179.69487819314,441,394,47,364,41,6,16,14,0,27,39,32354.150104723587,13320.675713757886,0.48756239999784157
44,C,16,16,1,10374.925,6331.5957573497535,612,476,136,451,119,17,16,14,0,30,53,33189.62413908531,15856.645352336536,0.6715152999968268
45,B,16,16,1,8954.057,5560.729975457518,427,325,102,295,94,8,16,14,0,26,46,31625.28698449293,13616.637107205344,0.7069797000149265
45,C,16,16,1,13118.068,6495.581153129763,784,482,302,458,282,20,16,13,0,31,68,41740.339982953046,23792.434217304235,0.7915905000118073
46,B,16,16,1,8536.418,5655.860340243947,354,326,28,295,20,8,16,13,0,27,41,31772.09061486984,13342.788913650107,0.7359689000004437
46,C,16,16,1,11239.099,6143.7546540369,639,446,193,418,172,21,16,15,0,29,79,36705.49685582497,19386.723585640455,0.9429520000121556
47,B,16,16,1,9195.848,6404.965884358148,461,392,69,363,59,10,16,12,0,30,42,31819.240857952216,11649.41143616148,0.40382740000495687
47,C,16,16,1,12485.79,6146.355957351906,892,473,419,453,402,17,16,14,0,28,76,35328.95112845557,18832.17134169604,0.679813099995954
48,B,16,16,1,8572.716,6273.087717034963,399,376,23,346,16,7,16,11,0,31,27,30543.579060559463,10578.140475384645,0.3296918999985792
48,C,16,16,1,13130.421,6623.83871229742,909,526,383,501,370,13,16,15,0,29,87,38022.10742572092,20702.913864233793,0.7740334999980405
49,B,16,16,1,9434.002,5960.855752930515,469,366,103,340,92,11,16,14,0,27,56,32850.01025885802,14070.731494205444,0.5178786999895237
49,C,16,16,1,16466.001,6098.540067986953,1272,469,803,449,782,20,16,15,0,27,106,43790.00469307043,27387.30435313566,1.046225800004322
50,B,16,16,1,8561.836,5579.810126751418,370,327,43,298,28,15,16,14,0,26,42,31389.178950306687,13345.128316549595,0.5402707000030205
50,C,16,16,1,9559.681,6180.502064071761,553,450,103,422,90,13,16,14,0,30,55,30903.406333589704,13545.896013230898,0.5773173000197858
51,B,16,16,1,9454.23,5092.78153351547,540,339,201,312,189,12,16,13,0,23,63,30751.15239402142,15527.244726444063,0.7191867000074126
51,C,16,16,1,14119.294,6808.167248775888,1025,518,507,496,490,16,16,12,0,32,87,39491.467773541845,21085.631529662423,0.8509800999891013
52,B,16,16,1,8672.255,6006.985136554141,427,369,58,340,46,12,16,14,0,27,40,30226.274168832326,11306.348486061617,0.4961869000107981
52,C,16,16,1,10616.949,6181.827364901237,605,445,160,419,139,21,16,15,0,29,62,34574.743797452094,17035.606972945905,0.6208318999852054
53,B,16,16,1,9316.99,6293.852365637921,437,377,60,347,53,7,16,13,0,29,39,33164.951795552246,13075.689967362636,0.4133179000054952
53,C,16,16,1,12949.619,6659.4496177020455,771,502,269,478,252,17,16,13,0,32,67,41278.09650343061,23110.84841492038,0.5441144999931566
54,B,16,16,1,8869.929,5982.317976802116,404,371,33,343,19,14,16,15,0,26,28,31844.64312305051,13083.053239039918,0.31872650000150315
54,C,16,16,1,10787.95,5707.6079270162145,590,404,186,377,167,19,16,15,0,27,70,35934.75153207381,19536.711896992736,0.6524519999802578
55,B,16,16,1,9003.033,5997.768393228087,380,341,39,310,28,11,16,13,0,29,45,33325.16381666318,13636.321850522741,0.6473261000064667
55,C,16,16,1,12082.594,6666.386428920037,736,502,234,479,218,16,16,13,0,32,71,37972.96866580104,19771.036521200836,0.6694535999849904
56,B,16,16,1,9368.925,6065.369188156237,476,372,104,344,91,13,16,13,0,28,52,32269.624841127574,13172.778900346382,0.6131620999949519
56,C,16,16,1,11037.837,6621.309679921003,684,497,187,472,172,15,16,15,0,30,61,34304.18451677464,16127.63611716964,0.6457368999836035
57,B,16,16,1,11672.71,6254.07532564003,673,409,264,383,252,12,16,13,0,28,78,37788.5495740261,18858.1729458259,0.9235172000189777
57,C,16,16,1,13685.485,6734.973940712839,732,510,222,485,200,22,16,14,0,31,80,46157.4228240173,27827.553120453096,0.7499965000024531
58,B,16,16,1,8408.312,5889.26065664655,397,353,44,323,38,6,16,11,0,29,28,29771.55754253023,11035.254259297477,0.34995689999777824
58,C,16,16,1,11604.544,6458.781449526096,795,491,304,467,290,14,16,14,0,30,70,33792.72041760449,16273.813169974028,0.6332324999966659
59,B,16,16,1,9737.008,6373.844417804635,482,385,97,357,86,11,16,13,0,29,45,33900.042169588145,13650.820080564952,0.467514799995115
59,C,16,16,1,12328.673,6042.721568963414,840,457,383,435,365,18,16,13,0,29,74,36103.362847923636,19669.755003106562,0.586263000004692
60,B,16,16,1,8667.818,6724.344997483995,449,426,23,396,15,8,16,10,0,32,21,29494.090922093903,8797.365934673933,0.28694069999619387
60,C,16,16,1,12236.345,6384.174674652821,817,487,330,463,312,18,16,16,0,28,80,36386.72721237569,19070.8538391116,0.7374407000024803
61,B,16,16,1,9770.07,6204.857892862186,518,409,109,382,99,10,16,15,0,26,44,32970.34765347209,14236.058189161153,0.4399517000128981
61,C,16,16,1,12310.644,6382.869467927509,786,480,306,456,283,23,16,15,0,29,68,37603.21892313815,20108.871583500608,0.7516778999997769
62,B,16,16,1,9509.62,5635.7976700037825,451,331,120,301,108,12,16,13,0,27,52,33658.09930210424,15479.110952085297,0.6401179000094999
62,C,16,16,1,12826.929,6423.641978488602,765,465,300,437,281,19,16,15,0,30,94,40859.645657544475,22711.435765101494,1.0650756999966688
63,B,16,16,1,8756.603,5905.672454909713,356,331,25,300,14,11,16,16,0,26,40,32783.01306538729,13179.650790838716,0.6530347000225447
63,C,16,16,1,13750.254,6540.485836110041,891,478,413,454,395,17,16,14,0,31,91,41671.26782292852,23353.838642378283,0.91829040000448
64,B,16,16,1,11659.983,6338.470797332249,640,426,214,399,201,13,16,14,0,27,79,38839.91711564787,19972.5631289866,0.8698272999899928
64,C,16,16,1,12457.319,6478.526432326396,771,475,296,448,280,16,16,16,0,29,89,38786.593519063346,20638.96135743134,0.9523702999867965
65,B,16,16,1,10177.836,6495.91049966938,513,426,87,396,77,10,16,14,0,28,46,35174.18143414718,15519.628935800278,0.4653399999951944
65,C,16,16,1,15527.071,6652.526432326396,1053,504,549,482,527,22,16,16,0,29,118,45770.353146119916,27622.72098448792,1.0854051999922376
66,B,16,16,1,8085.741,6196.789268618713,372,365,7,334,2,5,16,12,0,30,19,28883.705663028148,8944.75931993458,0.21302240001386963
66,C,16,16,1,11046.16,6234.174674652821,668,462,206,436,189,17,16,16,0,28,59,34820.80172874174,17504.928355477638,0.664008499996271
67,B,16,16,1,9652.272,5941.827113092352,427,348,79,320,69,10,16,13,0,28,62,35216.3608913794,16017.22532591762,0.6058382000192069
67,C,16,16,1,12925.168,6586.758573164651,824,490,334,466,314,20,16,14,0,31,83,39570.83807689596,21382.0452110727,0.6837876999925356
68,B,16,16,1,8837.788,5545.1566222283645,420,351,69,322,57,11,16,15,0,24,45,31298.941613766372,14123.158502624536,0.5606884000007994
68,C,16,16,1,10500.148,6512.895123804888,590,471,119,443,101,18,16,14,0,31,55,34495.739291796264,16106.263672771825,0.5324448999890592
69,B,16,16,1,7313.658,4664.709943228889,388,293,95,265,87,8,16,11,0,24,40,24533.291251163635,10119.741535019179,0.36914180000894703
69,C,16,16,1,17856.329,6674.169800852423,1282,525,757,504,744,13,122,13,0,31,238,48901.64395670073,31350.79495243864,1.2409687000035774
70,B,16,16,1,8534.467,5659.180465741075,343,317,26,286,17,9,16,14,0,27,40,32077.3367868681,13336.434458162727,0.4652438000193797
70,C,16,16,1,10475.697,6358.526432326396,608,455,153,427,134,19,16,16,0,29,64,33778.48649737218,15630.854335740203,0.7753895999921951
71,B,16,16,1,11261.345,5969.960037187022,577,368,209,340,196,13,16,14,0,27,76,38641.72730942717,19876.92712349203,0.6114666000066791
71,C,16,16,1,14715.062,6469.678072757047,983,488,495,466,480,15,16,12,0,32,107,43770.30885679736,26156.918493012126,0.9783336999826133
72,B,16,16,1,8365.562,5643.110732960919,366,332,34,302,27,7,16,13,0,27,38,30522.810007096214,12337.256342291625,0.40867239999352023
72,C,16,16,1,9049.459,6089.0248056715645,458,434,24,403,11,13,16,14,0,30,37,31172.292732779744,13792.168704421918,0.41095119999954477
73,B,16,16,1,10182.239,5884.9114985093665,570,383,187,357,179,8,16,14,0,26,61,33516.19699354705,15626.639501000202,0.4884164000104647
73,C,16,16,1,14400.061,6473.49498835968,946,501,445,480,423,22,16,15,0,29,79,43275.30414068304,25957.829198884654,0.6459986999980174
74,B,16,16,1,8409.046,6047.734092008473,394,371,23,343,12,11,16,11,0,30,31,29895.23031163508,10906.559851592714,0.4782303999818396
74,C,16,16,1,10664.547,5790.521594889084,559,413,146,386,126,20,16,13,0,29,64,36277.73671644189,19785.12874199647,0.6167399000260048
75,B,16,16,1,9853.56,6365.342810942603,445,397,48,366,40,8,16,12,0,30,60,35722.79810614042,15901.084051427395,0.9808936000044923
75,C,16,16,1,15949.143,6754.510223597558,1099,514,585,490,564,21,16,13,0,32,119,46415.712904161235,28133.161786173456,1.3215439000050537
76,B,16,16,1,8763.543,5471.312433487177,400,315,85,285,71,14,16,15,0,25,36,31442.71296102437,13556.150793588467,0.5692972000106238
76,C,16,16,1,11947.528,6453.831041497384,818,491,327,468,310,17,16,14,0,30,72,34842.63901329915,17348.48380581223,0.6997097999847028
