seed,case,model,source_count,all_cleared,total_time_per_source_s,movement_time_per_source_s,detection_switch_time_per_source_s,clear_action_time_per_source_s,measure_actions_per_source,channel_switches_per_source,last_discovery_time_per_source_s,search_end_time_per_source_s,search_movement_time_per_source_s,unfinished_after_search_rate,not_clear_ready_after_search_rate,active_measurements_per_source,co_measurements_per_source,coverage_insertions_per_source,decomposition_error_s
112358,1,G,16,1,266.579125,221.01664596966864,40.5625,5.0,6.8125,6.5,135.5173280625,138.51732806183733,101.26732806183732,0.8125,0.5,2.5625,1.6875,0.5,0.0003355146986905311
112358,1,G_rotated,16,1,246.5180625,201.95557635763072,39.5625,5.0,6.625,6.4375,133.6387545625,135.8887545652579,99.8262545652579,0.75,0.4375,2.375,1.5,0.5,0.00022172209128257236
112358,1,I,16,1,249.3956875,204.58321232020177,39.8125,5.0,6.6875,6.375,123.6737811875,125.54878119665526,88.73628119665526,0.8125,0.375,2.4375,1.5,0.5,0.00039712322814011713
112358,1,I_rotated,16,1,250.3391875,206.58919096796797,38.75,5.0,6.5,6.25,119.6655875,121.54058749847933,86.85308749847933,0.875,0.5625,2.25,1.5625,0.3125,5.548748731598607e-05
112358,2,G,16,1,252.91175,209.78674422639284,38.125,5.0,6.4375,5.9375,94.6416345625,95.39163457952569,64.51663457952569,0.875,0.625,2.5,1.5625,0.375,9.237771473635803e-05
112358,2,G_rotated,16,1,252.91175,209.78674422639284,38.125,5.0,6.4375,5.9375,94.6416345625,95.39163457952569,64.51663457952569,0.875,0.625,2.5,1.5625,0.375,9.237771473635803e-05
112358,2,I,16,1,245.6231875,201.49816911551025,39.125,5.0,6.625,6.0,91.56985275,92.3198527626514,60.06985276265141,0.875,0.6875,2.6875,1.625,0.5,0.0002941518359875772
112358,2,I_rotated,16,1,245.6231875,201.49816911551025,39.125,5.0,6.625,6.0,91.56985275,92.3198527626514,60.06985276265141,0.875,0.6875,2.6875,1.625,0.5,0.0002941518359875772
112358,3,G,14,1,306.2683571428571,252.69692229915776,48.57142857142857,5.0,8.142857142857142,7.857142857142857,132.85335085714286,157.49225818138896,113.56368675281753,0.8571428571428571,0.5714285714285714,3.0714285714285716,2.142857142857143,0.5714285714285714,8.781179076322587e-05
112358,3,G_rotated,14,1,281.98078571428573,233.19505122685314,43.785714285714285,5.0,7.357142857142857,7.0,126.6407515,150.06932290827413,112.71218005113124,0.7857142857142857,0.7142857142857143,2.4285714285714284,1.3571428571428572,0.5714285714285714,0.0002828240562848805
112358,3,I,14,1,278.61364285714285,225.4708055460655,48.142857142857146,5.0,8.071428571428571,7.785714285714286,123.99707264285713,147.67909298700206,103.32195012985918,0.8571428571428571,0.5,3.0,2.142857142857143,0.5714285714285714,0.0002776449168777617
112358,3,I_rotated,14,1,265.8215714285714,218.39300471549137,42.42857142857143,5.0,7.142857142857143,6.714285714285714,122.99730585714285,144.99730588506662,106.92587731363804,0.7142857142857143,0.6428571428571429,2.2142857142857144,1.1428571428571428,0.5714285714285714,6.60168793729099e-05
112358,4,G,10,1,322.2574,238.65744045124165,78.6,5.0,13.2,12.6,191.88691120000001,231.2869112440861,158.48691124408612,0.8,0.7,3.1,2.0,0.8,0.00040451241648042924
112358,4,G_rotated,10,1,339.3223,261.3223478810301,73.0,5.0,12.2,12.0,189.1978402,232.4861212674178,158.68612126741778,0.6,0.2,2.1,1.5,0.5,0.0004788103010469058
112358,4,I,10,1,308.0179,225.61791406397452,77.4,5.0,13.0,12.4,182.9518935,220.35189354054245,148.15189354054252,0.8,0.7,2.9,1.8,0.8,0.00014063974504097132
112358,4,I_rotated,10,1,331.65610000000004,253.7560977456808,72.9,5.0,12.2,11.9,179.102147,221.75632049780006,148.65632049780007,0.6,0.3,2.1,1.4,0.5,2.254319224448409e-05
112358,5,G,14,1,279.7929285714286,231.4357875496209,43.357142857142854,5.0,7.285714285714286,6.928571428571429,106.78180757142857,151.06752184975318,113.28180756403893,0.7857142857142857,0.7142857142857143,2.5,1.3571428571428572,0.5714285714285714,2.5694692340039182e-05
112358,5,G_rotated,14,1,297.4970714285714,246.28280069662424,46.214285714285715,5.0,7.785714285714286,7.285714285714286,158.07986392857143,161.9370067632619,118.1512924775476,0.7857142857142857,0.2857142857142857,3.0,1.9285714285714286,0.5714285714285714,0.0002097527394653298
112358,5,I,14,1,268.8455,220.91691906673893,42.92857142857143,5.0,7.214285714285714,6.857142857142857,101.32556985714287,142.7541412768113,104.53985556252562,0.7857142857142857,0.6428571428571429,2.4285714285714284,1.4285714285714286,0.5714285714285714,0.00013306565506354673
112358,5,I_rotated,14,1,291.31614285714284,238.3875796369788,47.92857142857143,5.0,8.071428571428571,7.571428571428571,145.61756621428572,149.47470905156453,106.97470905156453,0.7857142857142857,0.5714285714285714,3.2857142857142856,2.142857142857143,0.5714285714285714,0.00011491770328575512
112358,6,G,11,1,364.6770909090909,297.94981338705287,61.72727272727273,5.0,10.363636363636363,9.909090909090908,165.72785872727275,202.06300559844215,142.8811874166239,0.8181818181818182,0.2727272727272727,2.5454545454545454,1.4545454545454546,0.6363636363636364,5.274241857478046e-05
112358,6,G_rotated,11,1,384.2343636363637,315.5071111375224,63.72727272727273,5.0,10.727272727272727,10.090909090909092,171.408321,201.22650283339865,142.0446846515805,0.9090909090909091,0.45454545454545453,2.3636363636363638,1.2727272727272727,0.6363636363636364,0.00022251274549489608
112358,6,I,11,1,343.18963636363634,275.0078183979052,63.18181818181818,5.0,10.636363636363637,10.0,161.09856636363637,193.60978781253118,134.5188787216221,0.8181818181818182,0.5454545454545454,2.8181818181818183,1.6363636363636365,0.7272727272727273,2.3769575818732847e-06
112358,6,I_rotated,11,1,363.19327272727276,293.01144305565435,65.18181818181819,5.0,11.0,10.181818181818182,162.17195427272728,190.1719543134611,130.53559067709745,0.9090909090909091,0.5454545454545454,2.6363636363636362,1.4545454545454546,0.7272727272727273,0.00012638780208362732
112358,7,G,16,1,265.668625,221.10609999227682,39.5625,5.0,6.6875,6.125,117.932363125,118.68236313214852,84.55736313214854,0.75,0.5625,2.4375,1.3125,0.5,0.00040012357112573227
112358,7,G_rotated,16,1,266.829125,221.07911335830664,40.75,5.0,6.8125,6.6875,138.9304900625,139.68049009309743,100.61799009309746,0.75,0.375,2.5,1.8125,0.5,0.00018626709334057523
