case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
9,B,16,16,16,10904.96,571,16,1,27,6171.471201816551,7427.960307048586,3757.471201816553,3670.489105232036,2855.0,542.0,80.0,0,,,,,0.5674342999991495
9,C,16,16,16,14776.044,1021,16,1,29,6679.74305386191,8590.044168044542,3611.7430538619083,4978.30111418264,5105.0,1001.0,80.0,0,,,,,0.6442879000096582
10,Cplus3F,16,16,16,8030.772,393,16,1,27,5854.764464732457,5607.7722404127935,3631.7644647324582,1976.0077756803366,1965.0,378.0,80.0,0,0,B,0,0,0.5445660000259522
10,C3FDirect,16,16,16,10396.642,638,16,1,29,6186.512806501587,6502.641513701075,3539.512806501584,2963.1287071994943,3190.0,624.0,80.0,0,0,C,240,202,0.7758967000117991
10,B,16,16,16,8030.772,393,16,1,27,5854.764464732457,5607.7722404127935,3631.7644647324582,1976.0077756803366,1965.0,378.0,80.0,0,,,,,0.5208476000116207
10,C,16,16,16,10869.512,702,16,1,29,6583.949418257003,6591.5119178086,3537.9494182570015,3053.5624995516005,3510.0,688.0,80.0,0,,,,,0.6709200000041164
11,Cplus3F,16,16,16,8592.013,390,16,1,27,5715.27144599648,6191.013050480363,3636.2714459964814,2554.741604483881,1950.0,371.0,80.0,0,0,B,0,0,0.3673422999854665
11,C3FDirect,16,16,16,13423.191,812,16,1,29,6415.608571101875,8492.190841808504,3660.608571101875,4831.582270706633,4060.0,791.0,80.0,0,0,C,399,310,0.8629222000017762
11,B,16,16,16,8592.013,390,16,1,27,5715.27144599648,6191.013050480363,3636.2714459964814,2554.741604483881,1950.0,371.0,80.0,0,,,,,0.3240734999999404
11,C,16,16,16,15333.734,1120,16,1,29,6780.988907574396,8549.734382741517,3657.988907574395,4891.745475167127,5600.0,1104.0,80.0,0,,,,,0.8893147000053432
12,Cplus3F,16,16,16,8352.687,378,16,1,27,6087.517848984113,6021.6869861816895,3961.5178489841146,2060.169137197575,1890.0,361.0,80.0,0,0,B,0,0,0.44605339999543503
12,C3FDirect,16,16,16,8891.953,487,16,1,29,5882.202190801241,5896.953100469365,3469.2021908012393,2427.7509096681274,2435.0,480.0,80.0,0,0,C,205,123,0.24641319998772815
12,B,16,16,16,8352.687,378,16,1,27,6087.517848984113,6021.6869861816895,3961.5178489841146,2060.169137197575,1890.0,361.0,80.0,0,,,,,0.4118497000017669
12,C,16,16,16,9254.965,535,16,1,29,6206.72609417245,5966.9649821660505,3467.7260941724485,2499.238887993603,2675.0,533.0,80.0,0,,,,,0.35226469999179244
13,Cplus3F,16,16,16,8729.991,400,16,1,27,5796.944821041597,6257.991131931914,3745.9448210415985,2512.046310890316,2000.0,392.0,80.0,0,0,B,0,0,0.4228417999984231
