case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
9,B,14,14,14,8627.974,342,14,1,27,6098.631613182439,6510.973931933475,4108.63161318244,2402.342318751034,1710.0,337.0,70.0,0,,,,,0.18409460000111721
9,C,14,14,14,8690.406,433,14,1,29,5972.322117178395,6041.406285760231,3652.3221171783944,2389.0841685818386,2165.0,414.0,70.0,0,,,,,0.30525330000091344
10,Cplus3F,12,12,12,8039.189,389,12,1,29,5888.359124511234,5652.189426615997,3717.3591245112334,1934.8303021047639,1945.0,382.0,60.0,0,3,C,97,75,0.09221160001470707
10,C3FDirect,12,12,12,8039.189,389,12,1,29,5888.359124511234,5652.189426615997,3717.3591245112334,1934.8303021047639,1945.0,382.0,60.0,0,3,C,97,75,0.1171219999960158
10,B,12,12,12,8532.038,393,12,1,27,6418.730874728609,6115.037510931622,4092.7308747286097,2022.3066362030117,1965.0,392.0,60.0,0,,,,,0.16519840000546537
10,C,12,12,12,9353.525,486,12,1,29,6165.628643108586,6396.524903539723,3629.6286431085846,2766.8962604311428,2430.0,467.0,60.0,0,,,,,0.49652790001709945
11,Cplus3F,14,14,14,8173.8,373,14,1,29,5835.983833745796,5878.799884250897,3681.983833745795,2196.816050505104,1865.0,360.0,70.0,0,2,C,77,49,0.335053600021638
11,C3FDirect,14,14,14,8173.8,373,14,1,29,5835.983833745796,5878.799884250897,3681.983833745795,2196.816050505104,1865.0,360.0,70.0,0,2,C,77,49,0.34638870001072064
11,B,14,14,14,8619.688,383,14,1,27,6390.7362982517425,6259.6883712789895,4175.7362982517425,2083.952073027248,1915.0,375.0,70.0,0,,,,,0.3265446000150405
11,C,14,14,14,8310.178,388,14,1,29,5909.436044628935,5918.17773497951,3656.436044628932,2261.7416903505778,1940.0,382.0,70.0,0,,,,,0.3101211000175681
12,Cplus3F,14,14,14,8839.893,446,14,1,29,5966.047633113021,6125.893157074703,3698.047633113019,2427.8455239616874,2230.0,414.0,70.0,0,2,C,97,72,0.7030901999969501
12,C3FDirect,14,14,14,8839.893,446,14,1,29,5966.047633113021,6125.893157074703,3698.047633113019,2427.8455239616874,2230.0,414.0,70.0,0,2,C,97,72,0.6955527999962214
12,B,14,14,14,8235.404,397,14,1,27,6437.914236217753,5790.403739986251,4120.9142362177545,1669.4895037684973,1985.0,390.0,70.0,0,,,,,0.23623280000174418
12,C,14,14,14,9314.339,467,14,1,29,6040.369700029722,6450.339008264105,3636.369700029719,2813.9693082343847,2335.0,459.0,70.0,0,,,,,0.3837214999948628
13,Cplus3F,15,15,15,8376.082,390,15,1,29,5831.714552885127,5982.082010652537,3725.7145528851274,2256.367457767412,1950.0,369.0,75.0,0,4,C,133,72,0.25346730000455864
13,C3FDirect,15,15,15,8376.082,390,15,1,29,5831.714552885127,5982.082010652537,3725.7145528851274,2256.367457767412,1950.0,369.0,75.0,0,4,C,133,72,0.2030840000079479
