case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
34,Cplus3F,11,11,11,7616.232,367,11,1,29,5807.754197159328,5363.232316181765,3637.7541971593273,1725.4781190224403,1835.0,363.0,55.0,0,3,C,68,58,0.13563119998434559
34,C3FDirect,11,11,11,7616.232,367,11,1,29,5807.754197159328,5363.232316181765,3637.7541971593273,1725.4781190224403,1835.0,363.0,55.0,0,3,C,68,58,0.18506740001612343
34,B,11,11,11,8507.673,380,11,1,27,6216.8719793931805,6188.672734294365,4081.871979393182,2106.800754901187,1900.0,364.0,55.0,0,,,,,0.3050634999817703
34,C,11,11,11,8150.058,416,11,1,29,6022.526432326396,5607.058169074078,3629.5264323263946,1977.5317367476841,2080.0,408.0,55.0,0,,,,,0.32880560000194237
35,Cplus3F,16,16,16,6158.551,244,16,1,29,3711.3548820812443,4626.551472487663,2441.3548820812443,2185.1965904064177,1220.0,232.0,80.0,0,9,C,45,69,0.45934390000184067
35,C3FDirect,16,16,16,6158.551,244,16,1,29,3711.3548820812443,4626.551472487663,2441.3548820812443,2185.1965904064177,1220.0,232.0,80.0,0,9,C,45,69,0.4197961999743711
35,B,16,16,16,7853.428,297,16,1,27,4768.395619402076,6004.427989413038,3337.3956194020766,2667.0323700109598,1485.0,284.0,80.0,0,,,,,0.35465389999444596
35,C,16,16,16,6527.751,224,16,1,29,3604.8505053334934,5128.7513635568985,2484.8505053334925,2643.9008582234105,1120.0,199.0,80.0,0,,,,,0.5820092000067234
36,Cplus3F,14,14,14,7881.966,357,14,1,29,5680.631107943307,5690.965511089789,3686.6311079433076,2004.3344031464815,1785.0,336.0,70.0,0,4,C,94,54,0.21355700001004152
36,C3FDirect,14,14,14,7881.966,357,14,1,29,5680.631107943307,5690.965511089789,3686.6311079433076,2004.3344031464815,1785.0,336.0,70.0,0,4,C,94,54,0.25939190000644885
36,B,14,14,14,8923.391,336,14,1,27,5970.871979393181,6847.391140046641,4081.871979393182,2765.5191606534604,1680.0,326.0,70.0,0,,,,,0.3393082999973558
36,C,14,14,14,7811.122,356,14,1,29,5602.5264323263955,5617.12189990202,3629.5264323263946,1987.5954675756277,1780.0,344.0,70.0,0,,,,,0.4728263999859337
37,Cplus3F,14,14,14,7630.399,306,14,1,29,5444.459329904856,5743.399426867301,3715.459329904855,2027.9400969624462,1530.0,287.0,70.0,0,5,C,64,50,0.3256241999915801
37,C3FDirect,14,14,14,7630.399,306,14,1,29,5444.459329904856,5743.399426867301,3715.459329904855,2027.9400969624462,1530.0,287.0,70.0,0,5,C,64,50,0.3074028000119142
