case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
9,B,15,15,15,8913.199,334,15,1,27,5880.871979393181,6856.19939387157,4081.871979393182,2774.3274144783904,1670.0,312.0,75.0,0,,,,,0.6431793000083417
9,C,15,15,15,7729.666,292,15,1,29,5266.5264323263955,5909.666285185348,3629.5264323263946,2280.139852858953,1460.0,285.0,75.0,0,,,,,0.4471833999850787
10,Cplus3F,11,11,11,7335.463,362,11,1,29,5823.813953401546,5113.462841164342,3691.8139534015468,1421.6488877627942,1810.0,357.0,55.0,0,5,C,77,39,0.23566970002138987
10,C3FDirect,11,11,11,7335.463,362,11,1,29,5823.813953401546,5113.462841164342,3691.8139534015468,1421.6488877627942,1810.0,357.0,55.0,0,5,C,77,39,0.17490829998860136
10,B,11,11,11,8692.446,382,11,1,27,6282.8719793931805,6352.445631495656,4081.871979393182,2270.5736521024774,1910.0,375.0,55.0,0,,,,,0.27059210001607426
10,C,11,11,11,7544.983,345,11,1,29,5644.047984016964,5428.982523316471,3655.047984016963,1773.934539299508,1725.0,336.0,55.0,0,,,,,0.3725321000092663
11,Cplus3F,16,16,16,6031.813,226,16,1,29,3266.3526326061506,4606.813394810918,2124.3526326061506,2482.4607622047674,1130.0,215.0,80.0,0,6,C,94,87,0.18554439998115413
11,C3FDirect,16,16,16,6031.813,226,16,1,29,3266.3526326061506,4606.813394810918,2124.3526326061506,2482.4607622047674,1130.0,215.0,80.0,0,6,C,94,87,0.20875089999753982
11,B,16,16,16,7406.277,264,16,1,27,4380.538123959432,5760.276552502653,3001.538123959432,2758.738428543218,1320.0,246.0,80.0,0,,,,,0.8563584000221454
11,C,16,16,16,7177.543,225,16,1,29,3163.589175510358,5764.543314923863,2072.589175510358,3691.954139413505,1125.0,208.0,80.0,0,,,,,0.6003301999880932
12,Cplus3F,12,12,12,7189.631,324,12,1,29,5575.333430735382,5194.630705440057,3683.3334307353816,1511.2972747046758,1620.0,315.0,60.0,0,5,C,40,40,0.15777360001811758
