case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
9,B,16,16,16,8201.65,376,16,1,27,5745.357104174218,5869.649658206916,3775.35710417422,2094.292554032696,1880.0,372.0,80.0,0,,,,,0.328280799993081
9,C,16,16,16,7641.126,375,16,1,29,4640.864818578396,5331.125725587229,2639.8648185783954,2691.2609070088365,1875.0,355.0,80.0,0,,,,,0.44848930000443943
10,Cplus3F,16,16,16,8330.275,373,16,1,27,5980.201684343815,6019.274757091541,3825.2016843438164,2194.0730727477244,1865.0,366.0,80.0,0,0,B,0,0,0.2597010000026785
10,C3FDirect,16,16,16,6888.995,317,16,1,29,4749.501378803047,4918.995204891763,3027.501378803048,1891.4938260887157,1585.0,305.0,80.0,0,0,C,176,74,0.2584645999886561
10,B,16,16,16,8330.275,373,16,1,27,5980.201684343815,6019.274757091541,3825.2016843438164,2194.0730727477244,1865.0,366.0,80.0,0,,,,,0.28334570000879467
10,C,16,16,16,8704.465,467,16,1,29,5197.269514064544,5840.465363925468,2993.2695140645433,2847.19584986093,2335.0,449.0,80.0,0,,,,,0.5587210000085179
11,Cplus3F,16,16,16,8593.769,409,16,1,27,6262.853406675795,6067.7687713058185,4077.8534066757966,1989.9153646300247,2045.0,401.0,80.0,0,0,B,0,0,0.5066275999997742
11,C3FDirect,16,16,16,6925.948,348,16,1,29,4682.797825721616,4769.947811985396,2827.797825721615,1942.1499862637804,1740.0,336.0,80.0,0,0,C,165,98,0.21160959999542683
11,B,16,16,16,8593.769,409,16,1,27,6262.853406675795,6067.7687713058185,4077.8534066757966,1989.9153646300247,2045.0,401.0,80.0,0,,,,,0.49848629999905825
11,C,16,16,16,7345.755,396,16,1,29,4894.538656028919,4906.7546191366055,2790.538656028919,2116.215963107687,1980.0,379.0,80.0,0,,,,,0.4621756999986246
12,Cplus3F,16,16,16,10779.432,554,16,1,27,5936.28668293604,7386.432436901831,3754.286682936042,3632.1457539657904,2770.0,543.0,80.0,0,0,B,0,0,0.7725270999944769
12,C3FDirect,16,16,16,8498.73,376,16,1,29,5863.7804895559275,6174.729545574348,3722.7804895559266,2451.9490560184236,1880.0,364.0,80.0,0,0,C,175,81,0.15329220000421628
12,B,16,16,16,10779.432,554,16,1,27,5936.28668293604,7386.432436901831,3754.286682936042,3632.1457539657904,2770.0,543.0,80.0,0,,,,,0.8008106000197586
12,C,16,16,16,8946.393,443,16,1,29,6179.878502422664,6217.393134247507,3644.878502422662,2572.514631824843,2215.0,434.0,80.0,0,,,,,0.38379889997304417
13,Cplus3F,16,16,16,9698.616,441,16,1,27,6019.004605594643,6984.61560238246,3816.0046055946436,3168.6109967878187,2205.0,429.0,80.0,0,0,B,0,0,0.2744263999920804
13,C3FDirect,16,16,16,8257.243,401,16,1,29,5127.735594015448,5796.24341058051,3166.7355940154484,2629.5078165650634,2005.0,376.0,80.0,0,0,C,196,96,0.5279073000128847
13,B,16,16,16,9698.616,441,16,1,27,6019.004605594643,6984.61560238246,3816.0046055946436,3168.6109967878187,2205.0,429.0,80.0,0,,,,,0.33607139997184277
13,C,16,16,16,10656.4,592,16,1,29,5536.709853955124,7049.399624007687,3163.709853955124,3885.6897700525683,2960.0,567.0,80.0,0,,,,,0.9076874000020325
14,Cplus3F,16,16,16,8934.954,445,16,1,27,5853.639391156394,6197.953909556296,3609.639391156394,2588.3145183999013,2225.0,432.0,80.0,0,0,B,0,0,0.5980901000148151
14,C3FDirect,16,16,16,7155.858,349,16,1,29,4643.540557110423,4989.858245773677,2906.5405571104225,2083.317688663253,1745.0,341.0,80.0,0,0,C,232,99,0.16289019997930154
14,B,16,16,16,8934.954,445,16,1,27,5853.639391156394,6197.953909556296,3609.639391156394,2588.3145183999013,2225.0,432.0,80.0,0,,,,,0.5634515999990981
14,C,16,16,16,9504.543,695,16,1,29,5146.06964573707,5257.543342405879,2778.069645737069,2479.4736966688106,3475.0,692.0,80.0,0,,,,,0.5897234000149183
15,Cplus3F,16,16,16,10019.136,529,16,1,27,6119.802612292771,6787.136201181041,3776.802612292773,3010.3335888882693,2645.0,507.0,80.0,0,0,B,0,0,0.5853019999922253
15,C3FDirect,16,16,16,7967.071,382,16,1,29,5708.303768589465,5611.070699999627,3643.3037685894656,1967.7669314101631,1910.0,366.0,80.0,0,0,C,144,72,0.3923153000068851
15,B,16,16,16,10019.136,529,16,1,27,6119.802612292771,6787.136201181041,3776.802612292773,3010.3335888882693,2645.0,507.0,80.0,0,,,,,0.6546780999924522
15,C,16,16,16,8645.665,429,16,1,29,6032.346582871065,6007.664629014695,3635.346582871065,2372.3180461436295,2145.0,413.0,80.0,0,,,,,0.47643670000252314
16,Cplus3F,16,16,16,9926.58,512,16,1,27,6400.611854740981,6792.579790386346,3943.6118547409824,2848.9679356453635,2560.0,494.0,80.0,0,0,B,0,0,0.6291543999977876
16,C3FDirect,16,16,16,7292.776,337,16,1,29,3457.0156640037826,5210.776155868152,2080.0156640037835,3130.760491864372,1685.0,317.0,80.0,0,0,C,253,120,0.5281959999992978
16,B,16,16,16,9926.58,512,16,1,27,6400.611854740981,6792.579790386346,3943.6118547409824,2848.9679356453635,2560.0,494.0,80.0,0,,,,,0.6258709000248928
16,C,16,16,16,9084.611,604,16,1,29,3819.6629878619347,5387.610601702536,2075.6629878619356,3311.947613840602,3020.0,597.0,80.0,0,,,,,0.7785989999829326
17,Cplus3F,16,16,16,9162.291,434,16,1,27,5895.183784250208,6494.29051100528,3769.183784250209,2725.106726755072,2170.0,418.0,80.0,0,0,B,0,0,0.32836699998006225
17,C3FDirect,16,16,16,6860.981,307,16,1,29,3072.539528117392,4946.9809917097455,1905.539528117392,3041.441463592352,1535.0,299.0,80.0,0,0,C,270,110,0.4830987999739591
17,B,16,16,16,9162.291,434,16,1,27,5895.183784250208,6494.29051100528,3769.183784250209,2725.106726755072,2170.0,418.0,80.0,0,,,,,0.3587927999906242
17,C,16,16,16,8484.078,523,16,1,29,3433.952132206194,5273.077639585492,1881.9521322061942,3391.1255073792972,2615.0,516.0,80.0,0,,,,,0.4810301999968942
18,Cplus3F,16,16,16,7936.313,365,16,1,27,5728.772466527231,5680.312580553336,3616.7724665272312,2063.5401140261047,1825.0,351.0,80.0,0,0,B,0,0,0.16062260000035167
