扰动参数,倍率,最优S2_x(m),最优S2_y(m),评分,保证接收比例,预测MEC(m)
w1几何,0.9,-51.459067209,-495.172615777,0.39808764974346006,0.6666666666666666,31.87790451974684
w1几何,1.1,-51.459067209,-495.172615777,0.4680876497434601,0.6666666666666666,31.87790451974684
w2接收,0.9,-51.459067209,-495.172615777,0.40308764974346006,0.6666666666666666,31.87790451974684
w2接收,1.1,-51.459067209,-495.172615777,0.46308764974346,0.6666666666666666,31.87790451974684
w3时间,0.9,-51.459067209,-495.172615777,0.4480876497434591,0.6666666666666666,31.87790451974684
w3时间,1.1,-51.459067209,-495.172615777,0.4180876497434608,0.6666666666666666,31.87790451974684
w4预测半径,0.9,-51.459067209,-495.172615777,0.4397788847691148,0.6666666666666666,31.87790451974684
w4预测半径,1.1,-51.459067209,-495.172615777,0.42639641471780515,0.6666666666666666,31.87790451974684
