eta,评分阈值,x(m),y(m),评分,移动时间(s),是否执行点
0.1,0.389778884769114,-826.814017764,245.772668819,0.43308764974325886,140.0000000000803,否
0.1,0.389778884769114,-51.459067209,-495.172615777,0.43308764974346,140.00000000009385,是
