策略,S2_x(m),S2_y(m),保守二次接收,预测区域直径(m),预测最小外接圆半径(m),移动时间(s)
联合评分,-1030.6667089207876,509.80529197518695,1,51.754633119686666,25.877316559843337,200.0
最近点,-361.3803520009415,-544.7352584262475,1,101.12519205135631,50.562596025678154,80.0
固定90度点,-316.21971245425914,-864.529446646115,1,99.69710583492434,49.848552917462165,120.0
随机点,-862.2666835683151,-66.07788320992523,1,101.12519205135634,50.562596025678175,80.0
