x_m,y_m,q_geo,p_rec,travel_s,r_pred_m,guaranteed_samples,q_geo_norm,p_rec_norm,travel_norm,r_pred_norm,score
-51.459067209,-495.172615777,0.5350104065965057,0.6666666666666666,140.00000000009385,31.87790451974684,6,1.0,1.0,0.9999999999999453,0.33456175128274057,0.43308764974346
-826.814017764,245.772668819,0.5350104065963945,0.6666666666666666,140.0000000000803,31.87790451975778,6,0.9999999999995386,1.0,0.9999999999996063,0.33456175128319343,0.43308764974325886
-946.466696245,221.863704383,0.5082077987658759,0.6666666666666666,140.00000000009604,35.373396888926614,6,0.8887121305239648,1.0,1.0,0.47924070642451055,0.36520110439848547
-69.915616002,-615.786702246,0.50820779876521,0.6666666666666666,139.99999999993472,35.37339688895191,6,0.8887121305212003,1.0,0.999999999995967,0.4792407064255575,0.3652011043979136
-815.840586655,146.376573273,0.4334115578723186,0.6666666666666666,119.99999999998674,37.27391872090544,6,0.5781485336359123,1.0,0.49999999999876843,0.5579035910296172,0.3157712685668306
-151.250629037,-488.719384952,0.43341155787209007,0.6666666666666666,119.99999999994156,37.273918720917585,6,0.5781485336349633,1.0,0.49999999999763906,0.5579035910301198,0.31577126856656734
-167.070528001,-592.102887639,0.4145524304509361,0.6666666666666666,120.00000000006253,40.23296579335166,6,0.4998430148533613,1.0,0.5000000000006631,0.6803789946184081,0.2638692562748953
-918.400025352,125.883175185,0.4145524304503851,0.6666666666666666,119.99999999995194,40.23296579338631,6,0.4998430148510734,1.0,0.4999999999978984,0.6803789946198424,0.2638692562742224
-804.867155546,46.980477728,0.3211496664186766,0.6666666666666666,100.000000000092,45.915549431141535,6,0.1120227446017427,1.0,2.900790718731902e-12,0.9155819864687599,0.15609156331642285
-251.042190864,-482.266154126,0.3211496664180179,0.6666666666666666,99.99999999997597,45.915549431193426,6,0.11202274459900771,1.0,0.0,0.9155819864709077,0.15609156331547114
-890.33335446,29.902645988,0.3133994461295659,0.6666666666666666,100.00000000005593,47.955117119660656,6,0.07984283474388898,1.0,1.9991119870550413e-12,0.9999999999988833,0.12794499216028454
-264.225440001,-568.419073033,0.3133994461293992,0.6666666666666666,100.00000000004341,47.955117119687635,6,0.07984283474319682,1.0,1.6861179119536566e-12,1.0,0.12794499215986593
-109.036184662,-731.363443659,0.4668689164342498,0.3333333333333333,140.00000000004246,23.794779731609566,3,0.7170677826948803,0.0,0.9999999999986606,0.0,0.10097372394340895
-1060.149833577,177.540501268,0.4668689164336113,0.3333333333333333,139.99999999993338,23.794779731630854,3,0.7170677826922289,0.0,0.9999999999959336,8.811077437137574e-13,0.10097372394271387
-200.602443996,-691.168665994,0.38334571501005826,0.3333333333333333,120.00000000008231,25.116451737579563,3,0.37026872504148167,0.0,0.5000000000011576,0.05470420320463642,0.043653213123417654
-1015.842714495,87.89185823,0.3833457150097754,0.3333333333333333,120.00000000003209,25.116451737590918,3,0.37026872504030706,0.0,0.49999999999990213,0.054704203205106376,0.043653213123100866
-971.535595412,-1.756784808,0.29417007101620046,0.3333333333333333,100.00000000004219,27.681820514205153,3,1.608816208715674e-13,0.0,1.6555645743160639e-12,0.16088520289098485,-0.032177040578389
-292.16870333,-650.973888328,0.2941700710161617,0.3333333333333333,100.0000000000418,27.68182051421091,3,0.0,0.0,1.6456169760154523e-12,0.16088520289122307,-0.03217704057849146
