case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
195,B,12,12,12,9166.8,385,12,1,27,6264.8719793931805,6809.799905497456,4081.871979393182,2727.927926104274,1925.0,372.0,60.0,0,,,0.37471639999421313
195,C,12,12,12,8411.256,350,12,1,29,5572.5264323263955,6270.256209501207,3629.5264323263946,2640.729777174814,1750.0,331.0,60.0,0,,,0.3688003999995999
196,Cplus,11,11,11,7553.743,363,11,1,29,5698.5264323263955,5330.742776758186,3629.5264323263946,1701.2163444317896,1815.0,353.0,55.0,0,4,C,0.38813310000114143
196,Cplus3A,11,11,11,7289.086,405,11,1,29,6110.4822426324345,4810.086195971699,3708.482242632433,1101.6039533392652,2025.0,399.0,55.0,0,4,C,0.07400669998605736
196,B,11,11,11,8494.919,387,11,1,27,6234.8719793931805,6136.918944427296,4081.871979393182,2055.0469650341147,1935.0,368.0,55.0,0,,,0.29901359998621047
196,C,11,11,11,7553.743,363,11,1,29,5698.5264323263955,5330.742776758186,3629.5264323263946,1701.2163444317896,1815.0,353.0,55.0,0,,,0.33434599998872727
197,Cplus,15,15,15,7452.197,268,15,1,29,5137.591823589807,5777.197268469255,3633.591823589806,2143.605444879449,1340.0,260.0,75.0,0,5,C,0.3704357999959029
197,Cplus3A,15,15,15,7592.398,374,15,1,29,5899.896964990111,5274.398304699125,3672.8969649901087,1601.5013397090156,1870.0,373.0,75.0,0,5,C,0.17334500001743436
197,B,15,15,15,8808.817,370,15,1,27,6126.8719793931805,6530.816652430028,4081.871979393182,2448.9446730368495,1850.0,353.0,75.0,0,,,0.614628300012555
197,C,15,15,15,7452.197,268,15,1,29,5137.591823589807,5777.197268469255,3633.591823589806,2143.605444879449,1340.0,260.0,75.0,0,,,0.39350289999856614
198,Cplus,15,15,15,8441.383,323,15,1,29,5376.136286208063,6453.382528404344,3638.1362862080628,2815.246242196288,1615.0,298.0,75.0,0,4,C,0.5544771999993827
198,Cplus3A,15,15,15,7852.574,389,15,1,29,5982.8452498857005,5450.573815682857,3725.8452498857005,1724.7285657971554,1945.0,382.0,75.0,0,4,C,0.14535619999514893
198,B,15,15,15,9237.252,321,15,1,27,5718.871979393181,7271.252497169555,4081.871979393182,3189.3805177763747,1605.0,286.0,75.0,0,,,1.1602851999923587
198,C,15,15,15,8441.383,323,15,1,29,5376.136286208063,6453.382528404344,3638.1362862080628,2815.246242196288,1615.0,298.0,75.0,0,,,0.68123009998817
199,Cplus,14,14,14,8971.226,308,14,1,29,5267.469602115011,7076.226315786575,3631.4696021150103,3444.756713671563,1540.0,285.0,70.0,0,2,C,0.632754099991871
199,Cplus3A,14,14,14,8005.57,382,14,1,29,5882.22823850002,5657.569797325939,3720.228238500019,1937.3415588259204,1910.0,368.0,70.0,0,2,C,0.22978460000013
199,B,14,14,14,8021.72,324,14,1,27,5904.871979393181,6015.720288546986,4081.871979393182,1933.8483091538037,1620.0,316.0,70.0,0,,,0.441684500023257
199,C,14,14,14,8971.226,308,14,1,29,5267.469602115011,7076.226315786575,3631.4696021150103,3444.756713671563,1540.0,285.0,70.0,0,,,0.5452096999797504
200,Cplus,15,15,15,7687.515,268,15,1,29,5074.5264323263955,6021.514870337578,3629.5264323263946,2391.9884380111844,1340.0,251.0,75.0,0,8,C,0.4384802999848034
200,Cplus3A,15,15,15,7399.174,342,15,1,29,5746.0288004299355,5279.174493286872,3753.0288004299346,1526.1456928569373,1710.0,335.0,75.0,0,8,C,0.03926220000721514
200,B,15,15,15,8819.19,308,15,1,27,5766.871979393181,6909.189819271622,4081.871979393182,2827.317839878438,1540.0,295.0,75.0,0,,,0.6137887999939267
200,C,15,15,15,7687.515,268,15,1,29,5074.5264323263955,6021.514870337578,3629.5264323263946,2391.9884380111844,1340.0,251.0,75.0,0,,,0.5417655000055674
201,Cplus,10,10,10,8101.265,386,10,1,29,5872.5264323263955,5741.265248371787,3629.5264323263946,2111.738816045392,1930.0,380.0,50.0,0,4,C,0.21319350000703707
201,Cplus3A,10,10,10,7723.802,432,10,1,29,6263.977327580932,5086.801797511194,3698.977327580931,1387.8244699302634,2160.0,427.0,50.0,0,4,C,0.052946100011467934
201,B,10,10,10,8363.031,411,10,1,27,6468.8719793931805,5853.031024145903,4081.871979393182,1771.1590447527217,2055.0,405.0,50.0,0,,,0.26441269999486394
201,C,10,10,10,8101.265,386,10,1,29,5872.5264323263955,5741.265248371787,3629.5264323263946,2111.738816045392,1930.0,380.0,50.0,0,,,0.25667950001661666
202,Cplus,15,15,15,8406.731,264,15,1,29,4978.526432326395,6769.730753408867,3629.5264323263946,3140.204321082477,1320.0,242.0,75.0,0,7,C,0.5488205000001471
202,Cplus3A,15,15,15,7056.932,305,15,1,29,5430.476406523036,5153.932452571744,3632.4764065230356,1521.456046048709,1525.0,303.0,75.0,0,7,C,0.1795781000109855
202,B,15,15,15,8545.589,301,15,1,27,5736.871979393181,6678.589313154759,4081.871979393182,2596.7173337615795,1505.0,287.0,75.0,0,,,0.34829460000037216
202,C,15,15,15,8406.731,264,15,1,29,4978.526432326395,6769.730753408867,3629.5264323263946,3140.204321082477,1320.0,242.0,75.0,0,,,0.6907192999788094
203,Cplus,10,10,10,8331.708,388,10,1,29,5824.5264323263955,5966.707974770288,3629.5264323263946,2337.181542443893,1940.0,375.0,50.0,0,3,C,0.3893962999864016
203,Cplus3A,10,10,10,8063.96,432,10,1,29,6130.526432326396,5431.959740804171,3629.5264323263946,1802.433308477777,2160.0,422.0,50.0,0,3,C,0.337788399978308
203,B,10,10,10,8204.133,409,10,1,27,6450.8719793931805,5707.132609281547,4081.871979393182,1625.2606298883666,2045.0,402.0,50.0,0,,,0.2615034000191372
203,C,10,10,10,8331.708,388,10,1,29,5824.5264323263955,5966.707974770288,3629.5264323263946,2337.181542443893,1940.0,375.0,50.0,0,,,0.380330399988452
204,Cplus,15,15,15,8264.961,342,15,1,29,5424.678953888073,6171.960895460483,3650.678953888072,2521.28194157241,1710.0,308.0,75.0,0,5,C,1.0371453000116162
