案例,策略,二测接收,移动时间(s),保证接收比例,方向可见性评分,漏检风险,S2_x(m),S2_y(m)
25,Q4方向风险回补,1,79.99999999785372,1.0,0.9166666666666666,0.08333333333333337,-1147.9519661,-409.5743563
26,Q2基线（忽略朝向）,1,159.99999999601923,1.0,1.0,0.0,-1389.3511676,-930.8638939
26,Q4方向风险回补,1,79.9999999939791,1.0,0.9166666666666666,0.08333333333333337,-1147.06315,-498.382382
27,Q2基线（忽略朝向）,0,240.00000000429108,1.0,1.0,0.0,-219.331244,-1526.2855901
27,Q4方向风险回补,1,120.00000000702946,1.0,0.8333333333333334,0.16666666666666663,-151.2874796,-489.2850857
28,Q2基线（忽略朝向）,0,239.9999999966812,1.0,1.0,0.0,-44.096652,-1420.4125222
28,Q4方向风险回补,0,119.9999999983406,1.0,0.8055555555555557,0.1944444444444443,-397.048326,-935.2062611
29,Q2基线（忽略朝向）,1,159.9999999974679,1.0,1.0,0.0,-1011.8481369,305.933564
29,Q4方向风险回补,1,120.00000000240905,1.0,0.75,0.25,-1041.8524209,74.2348371
30,Q2基线（忽略朝向）,0,160.00000000447997,1.0,1.0,0.0,-520.2336586,-1216.2946094
30,Q4方向风险回补,0,119.99999999665337,1.0,0.75,0.25,-577.6752439,-1024.720957
31,Q2基线（忽略朝向）,1,160.00000000774733,1.0,1.0,0.0,-493.5301625,-1207.7751794
31,Q4方向风险回补,1,80.00000000172805,1.0,0.9166666666666666,0.08333333333333337,-689.5063973,-845.3991958
32,Q2基线（忽略朝向）,1,240.00000001022278,1.0,1.0,0.0,167.2082931,323.7757732
32,Q4方向风险回补,1,119.999999997468,1.0,0.7847222222222222,0.2152777777777778,-291.3958535,-63.1121134
33,Q2基线（忽略朝向）,1,200.00000000322558,1.0,1.0,0.0,-1107.290689,483.9932353
33,Q4方向风险回补,1,80.00000000243512,1.0,0.8888888888888888,0.11111111111111116,-1149.9468655,-456.5195695
34,Q2基线（忽略朝向）,1,159.99999999070434,1.0,1.0,0.0,-1549.6344315,-474.1821398
34,Q4方向风险回补,0,120.00000000771915,1.0,0.75,0.25,-731.8633952,-1049.7258237
35,Q2基线（忽略朝向）,1,239.99999999071392,1.0,1.0,0.0,-1852.3856166,24.0737835
35,Q4方向风险回补,0,120.00000000699364,1.0,0.7986111111111113,0.20138888888888873,-820.3164343,145.8654203
36,Q2基线（忽略朝向）,0,159.99999999963626,1.0,1.0,0.0,-1308.6707286,-1022.6141956
36,Q4方向风险回补,1,119.99999999274378,1.0,0.75,0.25,-1169.0030464,-879.4606467
37,Q2基线（忽略朝向）,0,200.0000000080382,1.0,1.0,0.0,-132.2508552,-1236.3752248
37,Q4方向风险回补,0,80.00000000093742,1.0,0.8981481481481483,0.10185185185185175,-961.0673379,-789.780192
38,Q2基线（忽略朝向）,0,160.00000000040052,1.0,1.0,0.0,-1298.8248154,-1032.0578339
38,Q4方向风险回补,0,120.00000000435367,1.0,0.75,0.25,-1161.6186115,-886.5433755
39,Q2基线（忽略朝向）,0,160.00000001060008,1.0,1.0,0.0,-1238.5704033,183.4816186
39,Q4方向风险回补,1,79.9999999991929,1.0,0.9166666666666666,0.08333333333333337,-1066.7408093,-694.2852016
40,Q2基线（忽略朝向）,0,159.99999999724736,1.0,1.0,0.0,-1381.1414509,-941.5897364
40,Q4方向风险回补,1,79.99999999381508,1.0,0.9166666666666666,0.08333333333333337,-1146.189699,-505.0792373
41,Q2基线（忽略朝向）,1,239.9999999986121,1.0,1.0,0.0,449.6845904,-477.5115165
41,Q4方向风险回补,0,120.00000000303183,1.0,0.875,0.125,-438.1660163,62.6007868
42,Q2基线（忽略朝向）,0,239.99999999578458,1.0,1.0,0.0,344.1393745,-942.8072941
42,Q4方向风险回补,0,120.00000000290338,1.0,0.8125,0.1875,-202.9303127,-696.403647
43,Q2基线（忽略朝向）,1,239.99999999970086,1.0,1.0,0.0,-1829.4686149,74.1636285
43,Q4方向风险回补,1,120.00000000548675,1.0,0.8333333333333334,0.16666666666666663,-792.8976447,148.4645287
44,Q2基线（忽略朝向）,0,200.00000001104274,1.0,1.0,0.0,-1118.5956839,479.5898138
44,Q4方向风险回补,1,80.00000000237301,1.0,0.8888888888888888,0.11111111111111116,-1149.8383348,-461.3712811
45,Q2基线（忽略朝向）,0,200.0000000048052,1.0,1.0,0.0,-0.5256175,-1112.0333451
45,Q4方向风险回补,0,100.00000000327701,1.0,0.8157894736842106,0.18421052631578938,-375.2628087,-781.0166725
46,Q2基线（忽略朝向）,1,200.00000000466505,1.0,1.0,0.0,-53.4882612,-1167.5453977
46,Q4方向风险回补,1,120.00000000836442,1.0,0.7222222222222223,0.2777777777777777,-263.6816333,-801.417766
47,Q2基线（忽略朝向）,0,239.99999999152686,1.0,1.0,0.0,439.8210886,-294.0327694
47,Q4方向风险回补,1,119.99999999576343,1.0,0.7916666666666666,0.20833333333333337,-155.0894557,-372.0163847
48,Q2基线（忽略朝向）,0,240.00000000972673,1.0,1.0,0.0,-778.2607513,749.6671747
48,Q4方向风险回补,1,119.99999999463064,1.0,0.875,0.125,-764.1303756,149.8335873
49,Q2基线（忽略朝向）,0,239.99999999807824,1.0,1.0,0.0,-1005.137514,722.5633667
49,Q4方向风险回补,1,119.9999999955055,1.0,0.7569444444444445,0.24305555555555547,-306.049547,-46.381374
50,Q2基线（忽略朝向）,1,240.00000001119844,1.0,1.0,0.0,395.304168,-808.1596891
50,Q4方向风险回补,1,120.00000000261454,1.0,0.75,0.25,-177.347916,-629.0798445
51,Q2基线（忽略朝向）,0,160.00000000888954,1.0,1.0,0.0,-1507.4476685,-707.4354862
51,Q4方向风险回补,0,119.99999999695576,1.0,0.75,0.25,-1275.92785,-738.7904025
52,Q2基线（忽略朝向）,1,239.9999999958448,1.0,1.0,0.0,-890.5358568,741.7422846
52,Q4方向风险回补,0,119.99999999382348,1.0,0.7986111111111113,0.20138888888888873,-269.0944176,-91.2106178
53,Q2基线（忽略朝向）,1,240.00000000279815,1.0,1.0,0.0,-551.6087872,733.4867666
53,Q4方向风险回补,1,119.99999998766546,1.0,0.7916666666666666,0.20833333333333337,-1212.8669992,-68.2223933
54,Q2基线（忽略朝向）,1,239.9999999955638,1.0,1.0,0.0,-1828.5348871,76.0822153
54,Q4方向风险回补,0,120.00000000298425,1.0,0.8333333333333334,0.16666666666666663,-791.8334403,148.5398594
55,Q2基线（忽略朝向）,0,239.99999999763168,1.0,1.0,0.0,436.7402752,-272.1025037
55,Q4方向风险回补,1,119.99999998947143,1.0,0.7916666666666666,0.20833333333333337,-376.2830557,-919.3992389
56,Q2基线（忽略朝向）,0,240.000000005216,1.0,1.0,0.0,-1299.5295197,616.7789401
56,Q4方向风险回补,1,119.99999999829758,1.0,0.8333333333333334,0.16666666666666663,-1024.7647599,83.38947
57,Q2基线（忽略朝向）,1,239.99999999724764,1.0,1.0,0.0,-1387.1418855,566.8825978
57,Q4方向风险回补,1,120.00000000180378,1.0,0.8472222222222222,0.1527777777777778,-468.9623902,80.1111788
58,Q2基线（忽略朝向）,0,239.9999999960624,1.0,1.0,0.0,-313.7967433,-1567.911767
58,Q4方向风险回补,0,120.00000000206919,1.0,0.7916666666666666,0.20833333333333337,-156.8791911,-540.596391
59,Q2基线（忽略朝向）,1,240.0000000022122,1.0,1.0,0.0,291.6459079,-1045.7967796
59,Q4方向风险回补,0,120.00000000218645,1.0,0.8194444444444445,0.18055555555555547,-747.5760963,-1049.9951039
60,Q2基线（忽略朝向）,1,239.9999999974578,1.0,1.0,0.0,-32.3528461,511.7601377
60,Q4方向风险回补,1,120.00000000786636,1.0,0.7986111111111112,0.20138888888888884,-987.0425673,101.1903676
61,Q2基线（忽略朝向）,1,240.00000000390804,1.0,1.0,0.0,341.1894067,-949.305196
61,Q4方向风险回补,1,119.99999999286077,1.0,0.8194444444444445,0.18055555555555547,-204.4052967,-699.652598
62,Q2基线（忽略朝向）,0,240.00000000060632,1.0,1.0,0.0,254.9316002,-1105.8296112
