case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
285,L950_C2,16,16,16,5828.427,204,16,1,31,2642.721907223679,4551.4268929774935,1828.721907223679,2722.7049857538145,1020.0,177.0,80.0,0,0.4315282999887131
286,L950_C2,11,11,11,10460.041,375,11,1,31,8611.228562683964,8164.041267248213,6442.228562683965,1721.8127045642489,1875.0,366.0,55.0,0,0.24119749999954365
287,L950_C2,12,12,12,10449.976,332,12,1,31,8340.155296602696,8406.975681197939,6429.155296602695,1977.8203845952448,1660.0,323.0,60.0,0,0.2008884999959264
288,L950_C2,13,13,13,10315.663,301,13,1,31,8112.636567699481,8452.662974026322,6410.636567699481,2042.0264063268396,1505.0,293.0,65.0,0,0.25712610001210123
289,L950_C2,13,13,13,10156.938,293,13,1,31,8067.713931365175,8340.938124491946,6396.713931365175,1944.2241931267674,1465.0,286.0,65.0,0,0.19463980000000447
290,L950_C2,10,10,10,11052.652,405,10,1,31,8718.991029254974,8585.651995992934,6398.991029254974,2186.6609667379607,2025.0,392.0,50.0,0,0.24228940001921728
291,L950_C2,13,13,13,10313.764,327,13,1,31,8369.519890854062,8289.764233322865,6459.519890854063,1830.2443424688001,1635.0,324.0,65.0,0,0.1397339999966789
292,L950_C2,11,11,11,11151.303,374,11,1,31,8609.299099018033,8855.302977095547,6433.299099018034,2422.003878077517,1870.0,371.0,55.0,0,0.11772330000530928
293,L950_C2,15,15,15,10689.854,313,15,1,31,8198.81435853156,8747.854494113351,6442.81435853156,2305.0401355817853,1565.0,302.0,75.0,0,0.2879121000005398
294,L950_C2,15,15,15,10683.475,298,15,1,31,8018.618330520504,8837.475435262051,6406.618330520504,2430.8571047415494,1490.0,281.0,75.0,0,0.36692699999548495
295,L950_C2,15,15,15,10418.344,266,15,1,31,7850.982413349904,8758.343576942316,6400.982413349904,2357.3611635924144,1330.0,255.0,75.0,0,0.3993170000030659
296,L950_C2,15,15,15,10892.446,294,15,1,31,8013.461730018389,9067.44646302236,6395.461730018389,2671.984733003968,1470.0,280.0,75.0,0,0.39180120002129115
297,L950_C2,16,16,16,6359.511,204,16,1,31,3705.0730323726175,5073.511052081117,2665.0730323726175,2408.438019708499,1020.0,186.0,80.0,0,0.3813063000270631
298,L950_C2,13,13,13,10441.318,348,13,1,31,8408.116575383923,8297.317670926739,6396.116575383924,1901.2010955428134,1740.0,339.0,65.0,0,0.19276580002042465
299,L950_C2,11,11,11,10492.771,371,11,1,31,8530.448267190432,8217.770515223669,6395.448267190432,1822.3222480332347,1855.0,365.0,55.0,0,0.21132550001493655
300,L950_C2,11,11,11,10810.759,372,11,1,31,8524.448267190432,8531.759251348236,6395.448267190432,2136.3109841578066,1860.0,364.0,55.0,0,0.25366960000246763
