case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
429,Cplus3A,11,11,11,7604.519,385,11,1,29,5875.004092049326,5246.5186820906,3633.0040920493248,1613.5145900412754,1925.0,378.0,55.0,0,5,C,,,0.13038970000343397
429,Cplus3F,11,11,11,7421.519,354,11,1,29,5713.004092049326,5246.5186820906,3633.0040920493248,1613.5145900412754,1770.0,350.0,55.0,0,5,C,31,38,0.11254430000553839
429,B,11,11,11,8425.872,374,11,1,27,6210.8719793931805,6137.872315918126,4081.871979393182,2056.0003365249436,1870.0,363.0,55.0,0,,,,,0.3173621000023559
429,C,11,11,11,7757.975,348,11,1,29,5602.5264323263955,5625.974579834773,3629.5264323263946,1996.4481475083794,1740.0,337.0,55.0,0,,,,,0.3419136000156868
430,Cplus,15,15,15,7446.125,274,15,1,29,5152.5264323263955,5738.1250551316025,3629.5264323263946,2108.598622805207,1370.0,263.0,75.0,0,8,C,,,0.33489599998574704
430,Cplus3A,15,15,15,7513.639,325,15,1,29,5523.567686954261,5497.639012077367,3636.5676869542604,1861.0713251231057,1625.0,316.0,75.0,0,8,C,,,0.2595426000189036
430,Cplus3F,15,15,15,7231.639,278,15,1,29,5241.567686954261,5497.639012077367,3636.5676869542604,1861.0713251231057,1390.0,269.0,75.0,0,8,C,47,78,0.22256840000045486
430,B,15,15,15,8955.741,340,15,1,27,5908.71067292688,6872.740523152509,4128.71067292688,2744.029850225633,1700.0,308.0,75.0,0,,,,,0.5749737999867648
430,C,15,15,15,7446.125,274,15,1,29,5152.5264323263955,5738.1250551316025,3629.5264323263946,2108.598622805207,1370.0,263.0,75.0,0,,,,,0.40697489999001846
431,Cplus,16,16,16,7350.978,362,16,1,29,3217.589175510358,5116.978077628697,2072.589175510358,3044.3889021183413,1810.0,344.0,80.0,0,4,C,,,0.8368323000031523
431,Cplus3A,16,16,16,6324.145,319,16,1,29,3520.76619099542,4338.145453347654,2119.7661909954204,2218.3792623522336,1595.0,311.0,80.0,0,4,C,,,0.4334413000033237
431,Cplus3F,16,16,16,5679.145,212,16,1,29,3130.7661909954204,4338.145453347654,2119.7661909954204,2218.3792623522336,1060.0,201.0,80.0,0,4,C,107,55,0.4869864999782294
431,B,16,16,16,7530.36,292,16,1,27,4247.810490091315,5721.360231443715,2826.8104900913154,2894.5497413523985,1460.0,269.0,80.0,0,,,,,0.76949920001789
431,C,16,16,16,7350.978,362,16,1,29,3217.589175510358,5116.978077628697,2072.589175510358,3044.3889021183413,1810.0,344.0,80.0,0,,,,,0.8802422999870032
432,Cplus,10,10,10,8603.884,417,10,1,29,6052.526432326396,6056.884046907461,3629.5264323263946,2427.357614581067,2085.0,412.0,50.0,0,2,C,,,0.19544540002243593
432,Cplus3A,10,10,10,8339.139,450,10,1,29,6274.526432326396,5593.138647181946,3629.5264323263946,1963.612214855551,2250.0,446.0,50.0,0,2,C,,,0.26325650000944734
432,Cplus3F,10,10,10,8021.139,397,10,1,29,5956.5264323263955,5593.138647181946,3629.5264323263946,1963.612214855551,1985.0,393.0,50.0,0,2,C,53,41,0.17212169998674653
432,B,10,10,10,8760.188,430,10,1,27,6552.8719793931805,6140.188244527255,4081.871979393182,2058.3162651340745,2150.0,420.0,50.0,0,,,,,0.3427979999978561
432,C,10,10,10,8603.884,417,10,1,29,6052.526432326396,6056.884046907461,3629.5264323263946,2427.357614581067,2085.0,412.0,50.0,0,,,,,0.18003089999547228
