case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
233,L950_C2,11,11,11,10429.838,356,11,1,31,8242.838259100192,1780.0,352.0,55.0,0,0.28099330002442
234,L950_C2,13,13,13,10759.378,354,13,1,31,8580.377958326215,1770.0,344.0,65.0,0,0.41412709999713115
235,L950_C2,15,15,15,10520.908,290,15,1,31,8715.907896770277,1450.0,280.0,75.0,0,0.5794177999778185
236,L950_C2,10,10,10,10311.395,376,10,1,31,8009.395286081961,1880.0,372.0,50.0,0,0.23123929998837411
237,L950_C2,16,16,16,5993.147,234,16,1,31,4522.147433137787,1170.0,221.0,80.0,0,0.6468333000084385
238,L950_C2,11,11,11,11385.819,405,11,1,31,8912.818701154984,2025.0,393.0,55.0,0,0.3840327000070829
239,L950_C2,13,13,13,11370.366,378,13,1,31,9055.365847365365,1890.0,360.0,65.0,0,0.32288859999971464
240,L950_C2,16,16,16,7838.225,250,16,1,31,6275.2245565537905,1250.0,233.0,80.0,0,0.6312828999944031
241,L950_C2,12,12,12,11149.633,389,12,1,31,8774.63302164792,1945.0,370.0,60.0,0,0.4762242999859154
242,L950_C2,15,15,15,10746.061,298,15,1,31,8897.060678458054,1490.0,284.0,75.0,0,0.5898600000073202
243,L950_C2,11,11,11,10599.465,384,11,1,31,8244.4649708537,1920.0,380.0,55.0,0,0.22018010000465438
244,L950_C2,15,15,15,11270.841,344,15,1,31,9147.841075001144,1720.0,328.0,75.0,0,0.6823181000072509
245,L950_C2,11,11,11,11178.39,395,11,1,31,8765.389542056811,1975.0,383.0,55.0,0,0.3903526999929454
246,L950_C2,13,13,13,10106.131,308,13,1,31,8200.131101946632,1540.0,301.0,65.0,0,0.2675613999890629
247,L950_C2,15,15,15,10947.284,342,15,1,31,8834.284308764389,1710.0,328.0,75.0,0,0.29150759999174625
248,L950_C2,13,13,13,10077.089,294,13,1,31,8256.089150143498,1470.0,286.0,65.0,0,0.39412010001251474
249,L950_C2,16,16,16,5983.606,265,16,1,31,4324.606265374372,1325.0,254.0,80.0,0,0.6674889999849256
250,L950_C2,12,12,12,10711.164,374,12,1,31,8417.163686310329,1870.0,364.0,60.0,0,0.487040000007255
251,L950_C2,15,15,15,10219.697,291,15,1,31,8414.696837497862,1455.0,275.0,75.0,0,0.5809202000091318
252,L950_C2,14,14,14,10979.316,358,14,1,31,8770.316265866764,1790.0,349.0,70.0,0,0.439872099988861
253,L950_C2,10,10,10,10933.993,398,10,1,31,8507.99288483423,1990.0,386.0,50.0,0,0.2831749999895692
254,L950_C2,13,13,13,10532.502,333,13,1,31,8477.501943427256,1665.0,325.0,65.0,0,0.372407499991823
255,L950_C2,10,10,10,10323.834,394,10,1,31,7913.83428003233,1970.0,390.0,50.0,0,0.28132300000288524
256,L950_C2,12,12,12,10103.269,343,12,1,31,7990.2693323184385,1715.0,338.0,60.0,0,0.29727640000055544
257,L950_C2,13,13,13,10807.549,340,13,1,31,8725.549285184827,1700.0,317.0,65.0,0,0.8451482999953441
258,L950_C2,16,16,16,6789.812,242,16,1,31,5270.811540788499,1210.0,229.0,80.0,0,0.5548286000266671
259,L950_C2,13,13,13,10089.683,337,13,1,31,8014.683280364633,1685.0,325.0,65.0,0,0.37332969999988563
260,L950_C2,14,14,14,10957.229,345,14,1,31,8836.228797746817,1725.0,326.0,70.0,0,0.31064079998759553
261,L950_C2,12,12,12,10631.674,336,12,1,31,8561.673997063843,1680.0,330.0,60.0,0,0.26487359998282045
262,L950_C2,13,13,13,10793.272,323,13,1,31,8805.272241057668,1615.0,308.0,65.0,0,0.6696172999800183
263,L950_C2,10,10,10,10972.847,415,10,1,31,8444.847191133125,2075.0,403.0,50.0,0,0.3906458000128623
264,L950_C2,11,11,11,10358.778,366,11,1,31,8109.777628515636,1830.0,364.0,55.0,0,0.2135219999763649
265,L950_C2,14,14,14,10212.439,282,14,1,31,8456.439071839402,1410.0,276.0,70.0,0,0.2503847999905702
266,L950_C2,12,12,12,10488.703,354,12,1,31,8307.703299213306,1770.0,351.0,60.0,0,0.2067135999968741
267,L950_C2,14,14,14,10333.871,311,14,1,31,8401.871121811402,1555.0,307.0,70.0,0,0.35586189999594353
268,L950_C2,15,15,15,10827.418,319,15,1,31,8860.418046278779,1595.0,297.0,75.0,0,0.6365369000122882
269,L950_C2,15,15,15,10195.08,258,15,1,31,8578.08035953717,1290.0,252.0,75.0,0,0.3465190000133589
270,L950_C2,16,16,16,7404.596,244,16,1,31,5885.596040433764,1220.0,219.0,80.0,0,0.538597300008405
271,L950_C2,14,14,14,10918.895,324,14,1,31,8915.894645104374,1620.0,313.0,70.0,0,0.5859386000083759
272,L950_C2,15,15,15,11794.609,305,15,1,31,9918.609195709849,1525.0,276.0,75.0,0,0.5764362000045367
273,L950_C2,12,12,12,10538.586,352,12,1,31,8383.585758223342,1760.0,335.0,60.0,0,0.5228983999986667
274,L950_C2,15,15,15,10464.446,300,15,1,31,8603.445757317912,1500.0,286.0,75.0,0,0.4032345000014175
275,L950_C2,12,12,12,11097.392,381,12,1,31,8773.392421611148,1905.0,359.0,60.0,0,0.5531845000223257
276,L950_C2,16,16,16,7521.532,224,130,1,31,5789.532291467327,1120.0,190.0,422.0,114,0.6349612000049092
277,L950_C2,13,13,13,10636.215,338,13,1,31,8562.215371258873,1690.0,319.0,65.0,0,0.6816309999849182
278,L950_C2,14,14,14,10494.883,304,14,1,31,8613.8828547216,1520.0,291.0,70.0,0,0.6052702000015415
279,L950_C2,12,12,12,10744.227,372,12,1,31,8464.226984117806,1860.0,360.0,60.0,0,0.4831494000100065
280,L950_C2,12,12,12,10430.508,343,12,1,31,8316.507813312825,1715.0,339.0,60.0,0,0.2658647999924142
281,L950_C2,13,13,13,11438.886,344,13,1,31,9337.885922484136,1720.0,316.0,65.0,0,0.4898131999943871
282,L950_C2,16,16,16,5840.561,197,16,1,31,4583.561358167948,985.0,192.0,80.0,0,0.4999614999978803
283,L950_C2,16,16,16,10303.619,333,16,1,31,8239.619182763126,1665.0,319.0,80.0,0,0.48659369998495094
284,L950_C2,15,15,15,10193.947,305,15,1,31,8300.947199591548,1525.0,293.0,75.0,0,0.4194932999962475
285,L950_C2,16,16,16,5828.427,204,16,1,31,4551.4268929774935,1020.0,177.0,80.0,0,0.6527899000211619
286,L950_C2,11,11,11,10460.041,375,11,1,31,8164.041267248213,1875.0,366.0,55.0,0,0.3556320999923628
287,L950_C2,12,12,12,10449.976,332,12,1,31,8406.975681197939,1660.0,323.0,60.0,0,0.3020521999860648
288,L950_C2,13,13,13,10315.663,301,13,1,31,8452.662974026322,1505.0,293.0,65.0,0,0.3855524000246078
289,L950_C2,13,13,13,10156.938,293,13,1,31,8340.938124491946,1465.0,286.0,65.0,0,0.293856100004632
290,L950_C2,10,10,10,11052.652,405,10,1,31,8585.651995992934,2025.0,392.0,50.0,0,0.33128049998776987
291,L950_C2,13,13,13,10313.764,327,13,1,31,8289.764233322865,1635.0,324.0,65.0,0,0.21816640000906773
292,L950_C2,11,11,11,11151.303,374,11,1,31,8855.302977095547,1870.0,371.0,55.0,0,0.15693589998409152
293,L950_C2,15,15,15,10689.854,313,15,1,31,8747.854494113351,1565.0,302.0,75.0,0,0.42140559997642413
294,L950_C2,15,15,15,10683.475,298,15,1,31,8837.475435262051,1490.0,281.0,75.0,0,0.5840322999865748
295,L950_C2,15,15,15,10418.344,266,15,1,31,8758.343576942316,1330.0,255.0,75.0,0,0.6039611000160221
296,L950_C2,15,15,15,10892.446,294,15,1,31,9067.44646302236,1470.0,280.0,75.0,0,0.5954234999953769
297,L950_C2,16,16,16,6359.511,204,16,1,31,5073.511052081117,1020.0,186.0,80.0,0,0.5830505999911111
298,L950_C2,13,13,13,10441.318,348,13,1,31,8297.317670926739,1740.0,339.0,65.0,0,0.30843770000501536
299,L950_C2,11,11,11,10492.771,371,11,1,31,8217.770515223669,1855.0,365.0,55.0,0,0.3084932000201661
300,L950_C2,11,11,11,10810.759,372,11,1,31,8531.759251348236,1860.0,364.0,55.0,0,0.41258110001217574
