case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
53,L950_C2,10,10,10,11244.743,436,10,1,31,8590.743492169937,2180.0,424.0,50.0,0,0.3203094000054989
54,L950_C2,16,16,16,9280.414,301,105,1,31,7168.414103294395,1505.0,260.0,347.0,89,0.3921233000000939
55,L950_C2,13,13,13,11437.109,332,13,1,31,9393.108795706765,1660.0,319.0,65.0,0,0.35241429999587126
56,L950_C2,14,14,14,10677.586,311,14,1,31,8754.586443703776,1555.0,298.0,70.0,0,0.3614143000158947
57,L950_C2,11,11,11,11117.912,400,11,1,31,8675.911693105052,2000.0,387.0,55.0,0,0.2653369999898132
58,L950_C2,16,16,16,5944.297,281,16,1,31,4190.296621342844,1405.0,269.0,80.0,0,0.6010073999932501
59,L950_C2,16,16,16,7320.593,207,16,1,31,6023.59304620622,1035.0,182.0,80.0,0,0.5718188000028022
60,L950_C2,14,14,14,10887.61,340,14,1,31,8796.609564301994,1700.0,321.0,70.0,0,0.45074629998998716
61,L950_C2,12,12,12,11317.719,361,12,1,31,9108.719413346778,1805.0,344.0,60.0,0,0.23611309999250807
62,L950_C2,15,15,15,10791.376,302,15,1,31,8918.376412138738,1510.0,288.0,75.0,0,0.43277640000451356
63,L950_C2,15,15,15,10527.739,265,15,1,31,8871.73889158562,1325.0,256.0,75.0,0,0.33904099999926984
64,L950_C2,13,13,13,10379.532,317,13,1,31,8413.532381885547,1585.0,316.0,65.0,0,0.18972929997835308
65,L950_C2,12,12,12,10759.393,368,12,1,31,8508.393415691979,1840.0,351.0,60.0,0,0.3169050000142306
66,L950_C2,11,11,11,10808.844,356,11,1,31,8634.84447498599,1780.0,339.0,55.0,0,0.31508080000639893
67,L950_C2,10,10,10,10824.193,407,10,1,31,8340.192675369804,2035.0,399.0,50.0,0,0.17676979998941533
68,L950_C2,11,11,11,10527.622,404,11,1,31,8053.621609191476,2020.0,399.0,55.0,0,0.20949390000896528
69,L950_C2,13,13,13,10925.077,351,13,1,31,8766.077041045606,1755.0,339.0,65.0,0,0.460358600015752
70,L950_C2,15,15,15,10664.663,301,15,1,31,8794.662963713927,1505.0,290.0,75.0,0,0.3915852000063751
71,L950_C2,10,10,10,11271.524,393,10,1,31,8881.524421954236,1965.0,375.0,50.0,0,0.3999498999910429
72,L950_C2,14,14,14,10771.622,313,14,1,31,8834.622004370423,1565.0,302.0,70.0,0,0.3076733000052627
73,L950_C2,14,14,14,10813.209,311,14,1,31,8901.208879236996,1555.0,287.0,70.0,0,0.5336148999922443
74,L950_C2,11,11,11,10184.537,366,11,1,31,7938.537042585549,1830.0,361.0,55.0,0,0.2151276000076905
75,L950_C2,13,13,13,10890.21,319,13,1,31,8920.209782588034,1595.0,310.0,65.0,0,0.20882759999949485
76,L950_C2,15,15,15,10310.861,241,15,1,31,8801.861325234755,1205.0,229.0,75.0,0,0.2988354999979492
77,L950_C2,14,14,14,10457.318,321,14,1,31,8467.317734809869,1605.0,315.0,70.0,0,0.3641379000036977
78,L950_C2,14,14,14,10660.275,310,14,1,31,8746.274585845003,1550.0,294.0,70.0,0,0.5882573999988381
79,L950_C2,15,15,15,10396.707,306,15,1,31,8497.707063947451,1530.0,294.0,75.0,0,0.5521999000047799
80,L950_C2,15,15,15,10912.5,327,15,1,31,8896.49951044812,1635.0,306.0,75.0,0,0.6874563999881502
81,L950_C2,14,14,14,10812.849,340,14,1,31,8711.84893815641,1700.0,331.0,70.0,0,0.514798400021391
82,L950_C2,16,16,16,7493.015,238,16,1,31,6003.015237047537,1190.0,220.0,80.0,0,0.6319578000111505
83,L950_C2,15,15,15,10726.344,289,15,1,31,8935.344239195572,1445.0,271.0,75.0,0,0.6570108000014443
84,L950_C2,15,15,15,10131.003,273,15,1,31,8433.002570416485,1365.0,258.0,75.0,0,0.5980706000118516
85,L950_C2,11,11,11,10588.489,348,11,1,31,8452.488861827329,1740.0,341.0,55.0,0,0.27921050001168624
86,L950_C2,13,13,13,9985.43,330,13,1,31,7945.430277433366,1650.0,325.0,65.0,0,0.22223099999246188
87,L950_C2,15,15,15,10581.37,299,15,1,31,8734.370274661258,1495.0,277.0,75.0,0,0.651812099997187
88,L950_C2,10,10,10,10734.146,408,10,1,31,8238.145578719203,2040.0,406.0,50.0,0,0.23424389999127015
89,L950_C2,13,13,13,10834.439,331,13,1,31,8801.439124867833,1655.0,313.0,65.0,0,0.6687809000140987
90,L950_C2,12,12,12,10360.736,362,12,1,31,8130.735517541022,1810.0,360.0,60.0,0,0.27930260001448914
91,L950_C2,15,15,15,10893.961,296,15,1,31,9046.961345478403,1480.0,292.0,75.0,0,0.4216639999940526
92,L950_C2,15,15,15,10940.474,307,15,1,31,9041.473757800855,1535.0,289.0,75.0,0,0.636659999989206
93,L950_C2,15,15,15,10582.611,294,15,1,31,8757.610900712321,1470.0,280.0,75.0,0,0.4315358999883756
94,L950_C2,11,11,11,10966.534,349,11,1,31,8824.533739953557,1745.0,342.0,55.0,0,0.31610759999603033
95,L950_C2,12,12,12,10534.786,368,12,1,31,8279.786381407079,1840.0,355.0,60.0,0,0.35010170002351515
96,L950_C2,11,11,11,10943.878,418,11,1,31,8387.878349358674,2090.0,411.0,55.0,0,0.36866700000246055
97,L950_C2,12,12,12,10656.903,356,12,1,31,8471.902704113714,1780.0,345.0,60.0,0,0.43126449998817407
98,L950_C2,16,16,16,5536.114,215,16,1,31,4177.113744237623,1075.0,204.0,80.0,0,0.6962579000100959
99,L950_C2,14,14,14,10339.884,308,14,1,31,8431.884023088347,1540.0,298.0,70.0,0,0.3653494000027422
100,L950_C2,11,11,11,10518.528,397,11,1,31,8087.528276496776,1985.0,391.0,55.0,0,0.2617952000000514
101,L950_C2,15,15,15,10644.452,307,15,1,31,8749.451512020622,1535.0,285.0,75.0,0,0.5225784000067506
102,L950_C2,13,13,13,10777.349,327,13,1,31,8761.349179131226,1635.0,316.0,65.0,0,0.5427404000074603
103,L950_C2,11,11,11,11140.954,438,11,1,31,8471.954422636843,2190.0,424.0,55.0,0,0.32471469999291
104,L950_C2,10,10,10,10667.005,396,10,1,31,8244.004519453925,1980.0,393.0,50.0,0,0.1584318999957759
105,L950_C2,13,13,13,9995.525,308,13,1,31,8091.525288951135,1540.0,299.0,65.0,0,0.32060829998226836
106,L950_C2,10,10,10,10483.414,387,10,1,31,8115.413544469773,1935.0,383.0,50.0,0,0.23161600000457838
107,L950_C2,14,14,14,10544.684,329,14,1,31,8513.68363912134,1645.0,316.0,70.0,0,0.5363971999904606
108,L950_C2,16,16,16,6356.632,254,16,1,31,4763.632247911381,1270.0,243.0,80.0,0,0.9265906999935396
109,L950_C2,13,13,13,10709.237,325,13,1,31,8697.237382574764,1625.0,322.0,65.0,0,0.2250173999927938
110,L950_C2,12,12,12,10125.777,336,12,1,31,8054.776645675751,1680.0,331.0,60.0,0,0.2603042000264395
111,L950_C2,16,16,16,7037.16,305,16,1,31,5146.160239215825,1525.0,286.0,80.0,0,0.46473440001136623
112,L950_C2,10,10,10,10512.335,376,10,1,31,8215.33500209872,1880.0,367.0,50.0,0,0.2873914999945555
113,L950_C2,11,11,11,10346.544,378,11,1,31,8029.54363233055,1890.0,372.0,55.0,0,0.2974996000120882
114,L950_C2,11,11,11,10714.342,378,11,1,31,8394.342102343358,1890.0,375.0,55.0,0,0.3077410999976564
115,L950_C2,15,15,15,9896.864,252,15,1,31,8318.863570841779,1260.0,243.0,75.0,0,0.3557037999853492
116,L950_C2,16,16,16,6216.356,206,16,1,31,4906.355677476633,1030.0,200.0,80.0,0,0.33669579998240806
117,L950_C2,11,11,11,10841.524,393,11,1,31,8437.524120478993,1965.0,384.0,55.0,0,0.2381986000109464
118,L950_C2,14,14,14,10922.35,316,14,1,31,8967.350268132772,1580.0,305.0,70.0,0,0.520619999995688
119,L950_C2,16,16,16,7592.479,251,16,1,31,6027.478681468551,1255.0,230.0,80.0,0,0.7656525000056718
120,L950_C2,10,10,10,10781.28,394,10,1,31,8374.280323585946,1970.0,387.0,50.0,0,0.23399549999157898
121,L950_C2,12,12,12,10591.288,347,12,1,31,8457.287586506132,1735.0,339.0,60.0,0,0.2567366999865044
122,L950_C2,13,13,13,10985.285,367,13,1,31,8738.28476371338,1835.0,347.0,65.0,0,0.6672608999942895
123,L950_C2,15,15,15,10517.758,297,15,1,31,8669.757820640332,1485.0,288.0,75.0,0,0.5401436999964062
124,L950_C2,16,16,16,6603.032,190,16,1,31,5399.032309407342,950.0,174.0,80.0,0,0.6274893000081647
125,L950_C2,10,10,10,10547.279,412,10,1,31,8041.278978304915,2060.0,396.0,50.0,0,0.3873479999892879
126,L950_C2,10,10,10,10750.832,434,10,1,31,8099.8322972112755,2170.0,431.0,50.0,0,0.28186899999855086
127,L950_C2,11,11,11,10470.71,368,11,1,31,8213.709594388698,1840.0,362.0,55.0,0,0.2432466000027489
128,L950_C2,16,16,16,7536.259,446,16,1,31,4787.25946073445,2230.0,439.0,80.0,0,0.9940760000026785
129,L950_C2,15,15,15,10148.226,285,15,1,31,8370.226119136014,1425.0,278.0,75.0,0,0.44881319999694824
130,L950_C2,13,13,13,10484.658,305,13,1,31,8593.658202445187,1525.0,301.0,65.0,0,0.2905488999967929
131,L950_C2,13,13,13,10407.332,332,13,1,31,8359.332066208539,1660.0,323.0,65.0,0,0.3857627999968827
132,L950_C2,16,16,16,7319.528,184,16,1,31,6156.528414576643,920.0,163.0,80.0,0,0.7113832000177354
133,L950_C2,15,15,15,10385.838,294,15,1,31,8555.838225515467,1470.0,285.0,75.0,0,0.4280315000214614
134,L950_C2,16,16,16,7008.861,269,16,1,31,5319.860944916777,1345.0,264.0,80.0,0,0.4926670999848284
135,L950_C2,10,10,10,10576.193,400,10,1,31,8130.192942413279,2000.0,396.0,50.0,0,0.21502579998923466
136,L950_C2,13,13,13,10788.876,339,13,1,31,8713.87621545206,1695.0,315.0,65.0,0,0.6045745000010356
137,L950_C2,12,12,12,10576.72,392,12,1,31,8165.7204163199485,1960.0,391.0,60.0,0,0.21857269998872653
138,L950_C2,16,16,16,5733.453,205,16,1,31,4431.452845229599,1025.0,197.0,80.0,0,0.5292838999885134
139,L950_C2,15,15,15,10500.059,280,15,1,31,8765.058917312504,1400.0,260.0,75.0,0,0.5176511999743525
140,L950_C2,16,16,16,6707.66,234,16,1,31,5245.660492864086,1170.0,212.0,80.0,0,0.5798180999991018
141,L950_C2,10,10,10,11574.128,424,10,1,31,8997.128001781672,2120.0,407.0,50.0,0,0.42114500000025146
142,L950_C2,13,13,13,11113.487,376,13,1,31,8809.486792648438,1880.0,359.0,65.0,0,0.2344223999825772
143,L950_C2,14,14,14,9863.919,305,14,1,31,7966.918927303179,1525.0,302.0,70.0,0,0.18706110000493936
144,L950_C2,14,14,14,11173.964,377,14,1,31,8859.963771777517,1885.0,359.0,70.0,0,0.25959400000283495
145,L950_C2,10,10,10,10838.03,387,10,1,31,8476.029751140513,1935.0,377.0,50.0,0,0.3891867999918759
146,L950_C2,10,10,10,10819.513,421,10,1,31,8260.512893255067,2105.0,404.0,50.0,0,0.5057513999927323
147,L950_C2,16,16,16,6328.178,206,16,1,31,5018.178178146007,1030.0,200.0,80.0,0,0.4021525999996811
148,L950_C2,14,14,14,10300.213,318,14,1,31,8329.213227090573,1590.0,311.0,70.0,0,0.31052400000044145
149,L950_C2,12,12,12,11156.945,378,12,1,31,8841.945181777397,1890.0,365.0,60.0,0,0.38630680000642315
150,L950_C2,10,10,10,10456.307,376,10,1,31,8157.307004486957,1880.0,369.0,50.0,0,0.24538109998684376
151,L950_C2,14,14,14,10835.496,282,14,1,31,9083.496283830927,1410.0,272.0,70.0,0,0.5101324999995995
152,L950_C2,13,13,13,10283.481,340,13,1,31,8192.481399564393,1700.0,326.0,65.0,0,0.3523544000054244
153,L950_C2,14,14,14,10146.487,313,14,1,31,8201.486795916155,1565.0,310.0,70.0,0,0.2801706999889575
154,L950_C2,11,11,11,11171.612,390,11,1,31,8805.611650517105,1950.0,361.0,55.0,0,0.7355797000054736
155,L950_C2,12,12,12,10340.851,334,12,1,31,8283.850710803546,1670.0,327.0,60.0,0,0.27655939999385737
156,L950_C2,16,16,16,6928.434,190,16,1,31,5751.434139780946,950.0,147.0,80.0,0,0.9903398000169545
157,L950_C2,10,10,10,10553.124,385,10,1,31,8196.124088116996,1925.0,382.0,50.0,0,0.20441090001259
158,L950_C2,13,13,13,10853.622,328,13,1,31,8841.622309985542,1640.0,307.0,65.0,0,0.557189200015273
159,L950_C2,12,12,12,10448.169,361,12,1,31,8228.168848261274,1805.0,355.0,60.0,0,0.37174170001526363
160,L950_C2,15,15,15,10176.534,275,15,1,31,8458.533776705463,1375.0,268.0,75.0,0,0.37388430000282824
161,L950_C2,15,15,15,10319.171,292,15,1,31,8497.17066629553,1460.0,287.0,75.0,0,0.28801179997390136
162,L950_C2,16,16,16,5284.742,292,16,1,31,3454.7420602304187,1460.0,290.0,80.0,0,0.572405200015055
163,L950_C2,15,15,15,10600.609,275,15,1,31,8885.608657321229,1375.0,265.0,75.0,0,0.3762688999995589
164,L950_C2,14,14,14,10904.983,319,14,1,31,8925.982710440001,1595.0,314.0,70.0,0,0.4006101000122726
165,L950_C2,14,14,14,10420.265,303,14,1,31,8538.264948452945,1515.0,297.0,70.0,0,0.35788660001708195
166,L950_C2,14,14,14,11422.14,313,14,1,31,9505.140373692446,1565.0,282.0,70.0,0,0.9340232000104152
167,L950_C2,13,13,13,11212.679,400,13,1,31,8763.679401109302,2000.0,384.0,65.0,0,0.4600745000061579
168,L950_C2,16,16,16,8255.657,225,16,1,31,6860.656589282146,1125.0,190.0,80.0,0,0.9871355000068434
169,L950_C2,12,12,12,10582.621,344,12,1,31,8474.620605271457,1720.0,328.0,60.0,0,0.4112092000141274
170,L950_C2,11,11,11,10717.29,389,11,1,31,8334.289724946073,1945.0,383.0,55.0,0,0.3151713999977801
171,L950_C2,12,12,12,10870.936,373,12,1,31,8592.93581543934,1865.0,353.0,60.0,0,0.6977407999802381
172,L950_C2,12,12,12,11671.111,404,12,1,31,9212.111045431486,2020.0,379.0,60.0,0,0.2934626000060234
173,L950_C2,13,13,13,10686.276,335,13,1,31,8618.275792447834,1675.0,328.0,65.0,0,0.46271180000621825
174,L950_C2,13,13,13,10581.724,350,13,1,31,8430.724028535149,1750.0,336.0,65.0,0,0.5316602000093553
175,L950_C2,12,12,12,10873.981,380,12,1,31,8540.98129892951,1900.0,373.0,60.0,0,0.3870137000048999
176,L950_C2,11,11,11,10651.032,371,11,1,31,8372.032480579028,1855.0,369.0,55.0,0,0.14709359998232685
177,L950_C2,15,15,15,10670.204,300,15,1,31,8816.203951623762,1500.0,279.0,75.0,0,0.7091355999873485
178,L950_C2,15,15,15,10484.496,300,15,1,31,8620.49600283142,1500.0,289.0,75.0,0,0.49372389999916777
179,L950_C2,16,16,16,7332.248,220,16,1,31,5964.247969915671,1100.0,188.0,80.0,0,0.6892417999915779
180,L950_C2,13,13,13,10546.343,333,13,1,31,8500.342674740614,1665.0,316.0,65.0,0,0.566480200010119
