case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,wall_time_s
1,L950_C2,16,16,16,7050.823,228,16,1,31,0.7431765999936033
2,L950_C2,15,15,15,10821.161,340,15,1,31,0.8818135000183247
3,L950_C2,10,10,10,10651.874,420,10,1,31,0.3498594000120647
4,L950_C2,10,10,10,10797.554,413,10,1,31,0.31820520001929253
5,L950_C2,10,10,10,10709.723,419,10,1,31,0.5011205000046175
