case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
47,L950_C2,15,15,15,10380.409,274,15,1,31,7989.823505566393,8681.408654758547,1370.0,254.0,75.0,0,0.4791376999928616
48,L950_C2,11,11,11,10961.618,393,11,1,31,8633.720112166866,8561.617771737006,1965.0,380.0,55.0,0,0.3318321999977343
49,L950_C2,12,12,12,11521.253,393,12,1,31,8578.071640243295,9126.252783923992,1965.0,370.0,60.0,0,0.2720567999931518
50,L950_C2,16,16,16,7596.125,327,16,1,31,4190.847325233439,5558.1248487535795,1635.0,323.0,80.0,0,0.4516464000043925
51,L950_C2,15,15,15,11100.238,303,15,1,31,8062.448267190432,9219.23841463163,1515.0,291.0,75.0,0,0.46416649999446236
52,L950_C2,10,10,10,10466.043,376,10,1,31,8591.769958899982,8163.042680671668,1880.0,373.0,50.0,0,0.18778179999208078
53,L950_C2,10,10,10,11244.743,436,10,1,31,8890.448267190432,8590.743492169937,2180.0,424.0,50.0,0,0.3299523999739904
54,L950_C2,16,16,16,9280.414,301,105,1,31,4129.94807300353,7168.414103294395,1505.0,260.0,347.0,89,0.41106650000438094
55,L950_C2,13,13,13,11437.109,332,13,1,31,8236.448267190432,9393.108795706765,1660.0,319.0,65.0,0,0.36907630000496283
56,L950_C2,14,14,14,10677.586,311,14,1,31,8104.448267190432,8754.586443703776,1555.0,298.0,70.0,0,0.3801592999952845
57,L950_C2,11,11,11,11117.912,400,11,1,31,8702.936807635011,8675.911693105052,2000.0,387.0,55.0,0,0.2787866000144277
58,L950_C2,16,16,16,5944.297,281,16,1,31,1817.0,4190.296621342844,1405.0,269.0,80.0,0,0.5853032000013627
59,L950_C2,16,16,16,7320.593,207,16,1,31,4084.235445958642,6023.59304620622,1035.0,182.0,80.0,0,0.5405081000062637
60,L950_C2,14,14,14,10887.61,340,14,1,31,8266.448267190432,8796.609564301994,1700.0,321.0,70.0,0,0.4476497000141535
61,L950_C2,12,12,12,11317.719,361,12,1,31,8435.259211465986,9108.719413346778,1805.0,344.0,60.0,0,0.24401990001206286
62,L950_C2,15,15,15,10791.376,302,15,1,31,8148.237659557701,8918.376412138738,1510.0,288.0,75.0,0,0.4396013999939896
63,L950_C2,15,15,15,10527.739,265,15,1,31,7890.7089223484145,8871.73889158562,1325.0,256.0,75.0,0,0.3495958999847062
64,L950_C2,13,13,13,10379.532,317,13,1,31,8242.448267190432,8413.532381885547,1585.0,316.0,65.0,0,0.18754339998122305
65,L950_C2,12,12,12,10759.393,368,12,1,31,8440.448267190432,8508.393415691979,1840.0,351.0,60.0,0,0.3759208999981638
66,L950_C2,11,11,11,10808.844,356,11,1,31,8392.448267190432,8634.84447498599,1780.0,339.0,55.0,0,0.3542408000212163
67,L950_C2,10,10,10,10824.193,407,10,1,31,8764.448267190432,8340.192675369804,2035.0,399.0,50.0,0,0.19792630002484657
68,L950_C2,11,11,11,10527.622,404,11,1,31,8756.776743346725,8053.621609191476,2020.0,399.0,55.0,0,0.2060578000091482
69,L950_C2,13,13,13,10925.077,351,13,1,31,8386.448267190432,8766.077041045606,1755.0,339.0,65.0,0,0.34977339999750257
70,L950_C2,15,15,15,10664.663,301,15,1,31,8076.633778333019,8794.662963713927,1505.0,290.0,75.0,0,0.41373250001925044
71,L950_C2,10,10,10,11271.524,393,10,1,31,8590.448267190432,8881.524421954236,1965.0,375.0,50.0,0,0.42682210000930354
72,L950_C2,14,14,14,10771.622,313,14,1,31,8171.5706369309,8834.622004370423,1565.0,302.0,70.0,0,0.4447490999882575
73,L950_C2,14,14,14,10813.209,311,14,1,31,8088.370293403823,8901.208879236996,1555.0,287.0,70.0,0,0.6244433999818284
74,L950_C2,11,11,11,10184.537,366,11,1,31,8512.448267190432,7938.537042585549,1830.0,361.0,55.0,0,0.26032599998870865
75,L950_C2,13,13,13,10890.21,319,13,1,31,8234.852344648,8920.209782588034,1595.0,310.0,65.0,0,0.3703064000001177
