seed,case,strategy,source_count,directional_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,cleared_directional,all_cleared,search_sites,decision_wall_time_s
20260912,1,Q3_Jplus_direct,10,5,10,9,3240.806,141,9,4,0,8,0.111265
20260912,1,Q4_triangular_900,10,5,10,10,12066.424,599,10,5,1,37,0.029038
20260912,2,Q3_Jplus_direct,11,6,9,9,4122.25,156,9,4,0,8,0.160131
20260912,2,Q4_triangular_900,11,6,11,11,12575.739,671,11,6,1,37,0.057181
20260912,3,Q3_Jplus_direct,14,7,12,10,4677.66,165,10,3,0,8,0.175652
20260912,3,Q4_triangular_900,14,7,14,14,12279.065,609,14,7,1,37,0.0166
20260912,4,Q3_Jplus_direct,13,6,11,11,4074.53,122,11,4,0,8,0.102093
20260912,4,Q4_triangular_900,13,6,13,13,11927.959,596,13,6,1,37,0.016842
20260912,5,Q3_Jplus_direct,15,8,12,12,3981.426,130,12,5,0,8,0.106049
20260912,5,Q4_triangular_900,15,8,15,15,12324.339,587,15,8,1,37,0.137074
20260912,6,Q3_Jplus_direct,13,6,11,11,3777.388,130,11,4,0,8,0.110354
20260912,6,Q4_triangular_900,13,6,13,13,11317.87,466,13,6,1,37,0.02908
20260912,7,Q3_Jplus_direct,15,8,15,13,4304.2,125,13,6,0,8,0.230594
20260912,7,Q4_triangular_900,15,8,15,15,12475.533,535,15,8,1,37,0.038674
20260912,8,Q3_Jplus_direct,16,8,12,12,4328.667,138,12,4,0,8,0.095793
20260912,8,Q4_triangular_900,16,8,16,16,8310.338,392,16,8,1,37,0.06334
20260912,9,Q3_Jplus_direct,10,5,9,8,4144.102,152,8,3,0,8,0.084982
20260912,9,Q4_triangular_900,10,5,10,10,11721.962,564,10,5,1,37,0.012206
20260912,10,Q3_Jplus_direct,12,6,11,10,3913.445,137,10,4,0,8,0.139481
20260912,10,Q4_triangular_900,12,6,12,12,11641.409,519,12,6,1,37,0.012932
