case,cleared,group,measure_actions,movement_time_s,post_search_time_s,search_time_s,source_count,time_per_source_s,total_time_s
93,11,I_normal,133,3219.0999571567186,1761.834910118031,2306.265089881969,11,369.8272727272727,4068.1
93,11,I_discovery_truth,98,2936.012032773476,,,11,325.27381818181817,3578.012
93,11,truth_after_search,,,1550.649380156577,2306.265089881969,11,350.62858818532237,3856.914470038546
93,11,truth_direct_centres,,,,,11,153.83733172847747,1692.2106490132521
93,11,truth_disk_lower_bound,,,,,11,146.20096809211384,1608.2106490132521
94,12,C,140,4023.835309161429,,,12,410.15291666666667,4921.835
94,12,C_reweighted,140,3739.2970328003385,,,12,386.4414166666666,4637.297
94,12,C_completion_only,143,3593.856283606308,,,12,375.5713333333333,4506.856
94,12,C_coobserve_only,141,3605.07267384543,,,12,375.7560833333334,4509.073
94,12,Cplus,145,3530.531175173722,,,12,371.46091666666666,4457.531
94,12,F_no_insertion,113,3037.933785988221,,,12,314.4111666666667,3772.934
94,12,F,121,2928.273575207413,,,12,309.10616666666664,3709.274
94,12,I_normal,119,2827.8282267362515,1442.6891474901167,2151.1388525098832,12,299.48566666666665,3593.828
94,12,I_discovery_truth,87,2855.634795957019,,,12,286.38625,3436.635
94,12,truth_after_search,,,1365.6253851444594,2151.1388525098832,12,293.06368647119524,3516.7642376543427
94,12,truth_direct_centres,,,,,12,139.07707424711813,1668.9248909654175
94,12,truth_disk_lower_bound,,,,,12,131.41040758045145,1576.9248909654175
95,13,C,135,3851.629091075304,,,13,363.3560769230769,4723.629
95,13,C_reweighted,137,3893.2314918641264,,,13,367.3254615384615,4775.231
95,13,C_completion_only,136,3563.407580308705,,,13,341.5698461538462,4440.408
95,13,C_coobserve_only,137,3755.9822075407487,,,13,356.8447692307692,4638.982
95,13,Cplus,139,3541.5161039534296,,,13,341.3473846153846,4437.516
95,13,F_no_insertion,113,3287.5012498300994,,,13,309.7308461538462,4026.501
95,13,F,112,3528.3423274237757,,,13,328.0263076923077,4264.342
95,13,I_normal,116,3105.5225240505247,1778.1468488603869,2084.3761511396133,13,297.1171538461539,3862.523
95,13,I_discovery_truth,79,2966.1226805062897,,,13,269.5479230769231,3504.123
95,13,truth_after_search,,,1481.4685050188664,2084.3761511396133,13,274.2957427814215,3565.8446561584797
95,13,truth_direct_centres,,,,,13,137.97406947818234,1793.6629032163705
95,13,truth_disk_lower_bound,,,,,13,130.28176178587466,1693.6629032163705
96,12,C,135,4047.758419365622,,,12,409.56316666666663,4914.758
96,12,C_reweighted,136,3836.098997121471,,,12,392.34158333333335,4708.099
96,12,C_completion_only,137,3615.8549818077795,,,12,374.4045833333333,4492.855
96,12,C_coobserve_only,138,3848.9129788350147,,,12,394.49274999999994,4733.913
96,12,Cplus,138,3582.730151701414,,,12,372.39416666666665,4468.73
96,12,F_no_insertion,107,3187.379277382395,,,12,323.94825,3887.379
96,12,F,112,2945.9511707159763,,,12,306.1625833333333,3673.951
96,12,I_normal,108,2745.5348831279507,1328.112518096896,2121.4224819031037,12,287.46125,3449.535
96,12,I_discovery_truth,82,2749.909530527485,,,12,275.0758333333333,3300.91
96,12,truth_after_search,,,1285.9501921598899,2121.4224819031037,12,283.9477228385828,3407.3726740629936
96,12,truth_direct_centres,,,,,12,130.09351190363853,1561.1221428436625
96,12,truth_disk_lower_bound,,,,,12,122.42684523697187,1469.1221428436625
97,16,C,144,4471.615078999913,,,16,338.3509375,5413.615
97,16,C_reweighted,147,4491.37585306103,,,16,340.5235,5448.376
97,16,C_completion_only,144,4053.3902159804034,,,16,312.211875,4995.39
97,16,C_coobserve_only,148,4020.6807830713406,,,16,311.5425625,4984.681
97,16,Cplus,150,4023.888994283775,,,16,312.4930625,4999.889
97,16,F_no_insertion,100,4140.8215479534165,,,16,300.863875,4813.822
97,16,F,109,3568.5002996686635,,,16,268.65625,4298.5
97,16,I_normal,114,3580.757855026256,2212.996782909823,2128.7612170901766,16,271.359875,4341.758
97,16,I_discovery_truth,52,3059.3389128352314,,,16,215.6461875,3450.339
97,16,truth_after_search,,,1810.2545255113064,2128.7612170901766,16,246.1884839125927,3939.015742601483
97,16,truth_direct_centres,,,,,16,138.92059378794823,2222.7295006071718
97,16,truth_disk_lower_bound,,,,,16,131.17059378794823,2098.7295006071718
98,10,C,148,3672.079561962364,,,10,460.908,4609.08
98,10,C_reweighted,150,3585.2884007224166,,,10,453.2288,4532.288
98,10,C_completion_only,150,3273.984178733429,,,10,422.0984,4220.984
98,10,C_coobserve_only,148,3646.2375744493265,,,10,458.3238,4583.238
98,10,Cplus,150,3265.1448087983117,,,10,421.21450000000004,4212.145
98,10,F_no_insertion,123,3295.691948476331,,,10,408.1692,4081.692
98,10,F,125,3050.819421946469,,,10,384.4819,3844.819
98,10,I_normal,130,3383.7502100934944,2008.0985347868323,2195.6514652131677,10,420.375,4203.75
98,10,I_discovery_truth,103,2854.361608730842,,,10,352.13620000000003,3521.362
98,10,truth_after_search,,,1578.11232524157,2195.6514652131677,10,377.37637904547375,3773.763790454738
98,10,truth_direct_centres,,,,,10,178.1834479405283,1781.8344794052832
98,10,truth_disk_lower_bound,,,,,10,170.58344794052832,1705.8344794052832
99,13,C,136,3888.992824769032,,,13,366.69176923076924,4766.993
99,13,C_reweighted,138,3968.7884577193895,,,13,373.5990769230769,4856.788
99,13,C_completion_only,135,3630.3677760739142,,,13,346.4129230769231,4503.368
99,13,C_coobserve_only,137,3834.3179334856454,,,13,362.9475384615385,4718.318
99,13,Cplus,139,3625.173747617426,,,13,347.7056923076923,4520.174
99,13,F_no_insertion,106,3739.7061023640335,,,13,341.362,4437.706
99,13,F,108,3209.056466459475,,,13,301.2350769230769,3916.056
99,13,I_normal,115,3038.7464708715424,1685.173823126459,2104.572176873541,13,291.5189230769231,3789.746
99,13,I_discovery_truth,77,2970.142026470128,,,13,268.93399999999997,3496.142
99,13,truth_after_search,,,1615.196760573434,2104.572176873541,13,286.1360721113058,3719.768937446975
99,13,truth_direct_centres,,,,,13,161.85071798740233,2104.0593338362305
99,13,truth_disk_lower_bound,,,,,13,154.15841029509465,2004.0593338362305
100,11,C,148,3938.6719816415025,,,11,443.5156363636363,4878.672
100,10,C_reweighted,159,3723.887986649924,,,11,428.53527272727274,4713.888
100,11,C_completion_only,148,3449.822789825606,,,11,399.0748181818182,4389.823
100,11,C_coobserve_only,151,3770.2647103348513,,,11,429.84227272727276,4728.265
100,11,Cplus,150,3440.6481033387545,,,11,399.3316363636364,4392.648
100,11,F_no_insertion,112,3463.996993583005,,,11,380.72700000000003,4187.997
100,11,F,106,3048.4347576823966,,,11,339.6759090909091,3736.435
100,11,I_normal,108,2996.6124220259817,1597.8951511122605,2096.7168488877396,11,335.8738181818182,3694.612
100,11,I_discovery_truth,89,2977.480661732326,,,11,324.1346363636364,3565.481
100,11,truth_after_search,,,1495.1051705861178,2096.7168488877396,11,326.5292744976234,3591.8220194738574
100,11,truth_direct_centres,,,,,11,145.74803358504212,1603.2283694354635
100,11,truth_disk_lower_bound,,,,,11,138.1116699486785,1519.2283694354635
