case,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions
229,13,13,13,6979.234,111,17
230,11,11,11,6259.624,125,14
231,10,10,10,5518.755,122,12
232,16,16,16,5596.161,109,19
233,15,15,15,5781.51,116,17
234,11,11,11,5605.293,118,13
235,12,12,12,5055.563,110,14
236,14,14,14,6201.813,101,18
237,14,14,14,6140.515,114,16
238,15,15,15,6186.151,114,18
239,16,16,16,5681.916,109,17
240,14,14,14,5335.588,117,15
241,11,11,11,5324.172,115,13
242,10,10,10,5181.002,121,12
243,15,15,15,6661.728,119,18
244,16,16,16,5747.604,101,18
245,12,12,12,6124.658,106,14
246,12,12,12,6076.284,127,15
247,13,13,13,5938.2,108,17
248,12,12,12,6566.147,112,16
249,14,14,14,5581.368,112,15
250,14,14,14,5942.845,114,17
251,12,12,12,5249.114,106,13
252,13,13,13,5652.991,117,16
253,14,14,14,4971.058,97,15
254,10,10,10,6050.56,117,13
255,14,14,14,5268.324,99,16
256,15,15,15,5936.16,98,18
257,14,14,14,5996.655,111,16
258,15,15,15,6211.445,110,18
259,12,12,12,5745.185,116,15
260,14,14,14,5893.174,112,15
261,15,15,15,5823.23,118,16
262,14,14,14,6458.375,115,16
263,14,14,14,4694.554,105,15
264,15,15,15,6033.904,98,18
265,15,15,15,5598.412,108,17
266,11,11,11,5374.77,116,15
267,13,13,13,5235.227,111,13
268,14,14,14,4906.542,97,15
269,14,14,14,6182.368,113,16
270,12,12,12,6479.526,121,16
271,12,12,12,5416.747,110,14
272,11,11,11,4893.986,114,13
273,12,12,12,5163.851,115,13
274,14,14,14,5563.972,99,18
275,13,13,13,5793.507,113,16
276,14,14,14,5576.704,103,16
277,15,15,15,5266.336,107,17
278,12,12,12,5720.855,110,16
279,13,13,13,4924.107,115,14
280,14,14,14,5067.607,109,15
281,15,15,15,4979.34,106,16
282,11,11,11,5023.985,130,12
283,11,11,11,4494.708,119,12
284,15,15,15,6673.627,120,17
285,10,10,10,4788.714,121,12
286,11,11,11,4920.638,129,12
287,16,16,16,6479.043,98,20
288,16,16,16,5954.074,118,18
289,12,12,12,5089.437,114,13
290,11,11,11,4503.101,122,11
291,11,11,11,5095.66,116,13
292,12,12,12,5197.271,110,14
293,12,12,12,4823.434,110,14
294,12,12,12,5507.794,118,15
295,12,12,12,4964.182,114,13
296,14,14,14,6210.553,108,18
297,12,12,12,5035.776,114,13
298,10,10,10,5042.761,123,11
299,10,10,10,4239.392,122,10
300,16,16,16,5336.479,100,17
