"组号","误差半角(°)","区域状态","直径(m)","包含检查","直径不减检查","检查结果","","","","","","","","","","","","",""
"MC025","0.9","polygon","24.7151753136157","基准","不适用","通过","","","","","","","","","","","","",""
"MC025","1","polygon","27.4602462555534","通过","通过","通过","","","","","","","","","","","","",""
"MC025","1.1","polygon","30.2049826030565","通过","通过","通过","","","","","","","","","","","","",""
"MC026","0.9","polygon","21.5394213591809","基准","不适用","通过","","","","","","","","","","","","",""
"MC026","1","polygon","24.2527549624559","通过","通过","通过","","","","","","","","","","","","",""
"MC026","1.1","polygon","26.9741597960092","通过","通过","通过","","","","","","","","","","","","",""
"MC027","0.9","polygon","21.0873130490963","基准","不适用","通过","","","","","","","","","","","","",""
"MC027","1","polygon","26.7910133126643","通过","通过","通过","","","","","","","","","","","","",""
"MC027","1.1","polygon","32.4973867179353","通过","通过","通过","","","","","","","","","","","","",""
"MC028","0.9","polygon","159.797560104526","基准","不适用","通过","","","","","","","","","","","","",""
"MC028","1","polygon","178.170140358294","通过","通过","通过","","","","","","","","","","","","",""
"MC028","1.1","polygon","196.743201779256","通过","通过","通过","","","","","","","","","","","","",""
"MC029","0.9","polygon","90.8843373677057","基准","不适用","通过","","","","","","","","","","","","",""
"MC029","1","polygon","101.076264538611","通过","通过","通过","","","","","","","","","","","","",""
"MC029","1.1","polygon","111.297998120712","通过","通过","通过","","","","","","","","","","","","",""
"MC030","0.9","polygon","32.6415850018764","基准","不适用","通过","","","","","","","","","","","","",""
"MC030","1","polygon","36.2670282912906","通过","通过","通过","","","","","","","","","","","","",""
"MC030","1.1","polygon","39.8920296784103","通过","通过","通过","","","","","","","","","","","","",""
"MC031","0.9","polygon","58.5463247340806","基准","不适用","通过","","","","","","","","","","","","",""
"MC031","1","polygon","65.0489617878521","通过","通过","通过","","","","","","","","","","","","",""
"MC031","1.1","polygon","71.5508062405525","通过","通过","通过","","","","","","","","","","","","",""
"MC032","0.9","polygon","17.761123370202","基准","不适用","通过","","","","","","","","","","","","",""
"MC032","1","polygon","21.5449587540042","通过","通过","通过","","","","","","","","","","","","",""
"MC032","1.1","polygon","25.3368147326024","通过","通过","通过","","","","","","","","","","","","",""
"MC033","0.9","polygon","27.1852414859693","基准","不适用","通过","","","","","","","","","","","","",""
"MC033","1","polygon","30.2087726246112","通过","通过","通过","","","","","","","","","","","","",""
"MC033","1.1","polygon","33.2332358078928","通过","通过","通过","","","","","","","","","","","","",""
"MC034","0.9","polygon","26.8065619647574","基准","不适用","通过","","","","","","","","","","","","",""
"MC034","1","polygon","30.0548792279343","通过","通过","通过","","","","","","","","","","","","",""
"MC034","1.1","polygon","33.3108277183371","通过","通过","通过","","","","","","","","","","","","",""
"MC035","0.9","polygon","29.1076430946772","基准","不适用","通过","","","","","","","","","","","","",""
"MC035","1","polygon","32.6457966508869","通过","通过","通过","","","","","","","","","","","","",""
"MC035","1.1","polygon","36.1936761875081","通过","通过","通过","","","","","","","","","","","","",""
"MC036","0.9","polygon","43.0219654728558","基准","不适用","通过","","","","","","","","","","","","",""
"MC036","1","polygon","47.8113236209302","通过","通过","通过","","","","","","","","","","","","",""
"MC036","1.1","polygon","52.6035729048559","通过","通过","通过","","","","","","","","","","","","",""
"MC037","0.9","polygon","15.5379588653515","基准","不适用","通过","","","","","","","","","","","","",""
"MC037","1","polygon","18.3693390810648","通过","通过","通过","","","","","","","","","","","","",""
"MC037","1.1","polygon","21.5866818016558","通过","通过","通过","","","","","","","","","","","","",""
"MC038","0.9","polygon","5.03015142879312","基准","不适用","通过","","","","","","","","","","","","",""
"MC038","1","polygon","8.55413348991758","通过","通过","通过","","","","","","","","","","","","",""
"MC038","1.1","polygon","11.9423389291303","通过","通过","通过","","","","","","","","","","","","",""
"MC039","0.9","polygon","18.2014912111023","基准","不适用","通过","","","","","","","","","","","","",""
"MC039","1","polygon","21.1118955006699","通过","通过","通过","","","","","","","","","","","","",""
"MC039","1.1","polygon","24.0304209155001","通过","通过","通过","","","","","","","","","","","","",""
"MC040","0.9","polygon","23.8045064785317","基准","不适用","通过","","","","","","","","","","","","",""
"MC040","1","polygon","27.3440665555298","通过","通过","通过","","","","","","","","","","","","",""
"MC040","1.1","polygon","30.8615995463208","通过","通过","通过","","","","","","","","","","","","",""
"MC041","0.9","polygon","29.4697826248153","基准","不适用","通过","","","","","","","","","","","","",""
"MC041","1","polygon","32.7429394170327","通过","通过","通过","","","","","","","","","","","","",""
"MC041","1.1","polygon","36.0156972468663","通过","通过","通过","","","","","","","","","","","","",""
"MC042","0.9","polygon","11.0712320275946","基准","不适用","通过","","","","","","","","","","","","",""
"MC042","1","polygon","14.6490921129077","通过","通过","通过","","","","","","","","","","","","",""
"MC042","1.1","polygon","18.2744194056329","通过","通过","通过","","","","","","","","","","","","",""
"MC043","0.9","polygon","23.3787860143993","基准","不适用","通过","","","","","","","","","","","","",""
"MC043","1","polygon","27.6428134751184","通过","通过","通过","","","","","","","","","","","","",""
"MC043","1.1","polygon","31.5257867274047","通过","通过","通过","","","","","","","","","","","","",""
"MC044","0.9","polygon","454.772073480984","基准","不适用","通过","","","","","","","","","","","","",""
"MC044","1","polygon","528.664174601853","通过","通过","通过","","","","","","","","","","","","",""
"MC044","1.1","polygon","601.429583062792","通过","通过","通过","","","","","","","","","","","","",""
"MC045","0.9","polygon","15.429883255539","基准","不适用","通过","","","","","","","","","","","","",""
"MC045","1","polygon","18.2331393411143","通过","通过","通过","","","","","","","","","","","","",""
"MC045","1.1","polygon","21.1425155549755","通过","通过","通过","","","","","","","","","","","","",""
"MC046","0.9","polygon","23.5558793233237","基准","不适用","通过","","","","","","","","","","","","",""
"MC046","1","polygon","26.1721893038006","通过","通过","通过","","","","","","","","","","","","",""
"MC046","1.1","polygon","28.7881803844102","通过","通过","通过","","","","","","","","","","","","",""
"MC047","0.9","polygon","5.94726368429625","基准","不适用","通过","","","","","","","","","","","","",""
"MC047","1","polygon","9.84686857207286","通过","通过","通过","","","","","","","","","","","","",""
"MC047","1.1","polygon","13.2818650158683","通过","通过","通过","","","","","","","","","","","","",""
"MC048","0.9","empty","","基准","不适用","通过","","","","","","","","","","","","",""
"MC048","1","polygon","2.60142175085253","通过","不适用","通过","","","","","","","","","","","","",""
"MC048","1.1","polygon","6.98810607695104","通过","通过","通过","","","","","","","","","","","","",""
"MC049","0.9","polygon","32.0103541229953","基准","不适用","通过","","","","","","","","","","","","",""
"MC049","1","polygon","35.5692983593528","通过","通过","通过","","","","","","","","","","","","",""
"MC049","1.1","polygon","39.1289498472394","通过","通过","通过","","","","","","","","","","","","",""
"MC050","0.9","polygon","9.49731429580273","基准","不适用","通过","","","","","","","","","","","","",""
"MC050","1","polygon","12.2292663053142","通过","通过","通过","","","","","","","","","","","","",""
"MC050","1.1","polygon","14.9675226938126","通过","通过","通过","","","","","","","","","","","","",""
"MC051","0.9","polygon","18.0080910205322","基准","不适用","通过","","","","","","","","","","","","",""
"MC051","1","polygon","22.2074915528402","通过","通过","通过","","","","","","","","","","","","",""
"MC051","1.1","polygon","26.3926862438362","通过","通过","通过","","","","","","","","","","","","",""
"MC052","0.9","polygon","105.152356201274","基准","不适用","通过","","","","","","","","","","","","",""
"MC052","1","polygon","118.774614977827","通过","通过","通过","","","","","","","","","","","","",""
"MC052","1.1","polygon","130.646504248463","通过","通过","通过","","","","","","","","","","","","",""
"MC053","0.9","polygon","6.75881749741651","基准","不适用","通过","","","","","","","","","","","","",""
"MC053","1","polygon","8.61549001281223","通过","通过","通过","","","","","","","","","","","","",""
"MC053","1.1","polygon","10.425847396113","通过","通过","通过","","","","","","","","","","","","",""
"MC054","0.9","polygon","28.0439753034404","基准","不适用","通过","","","","","","","","","","","","",""
"MC054","1","polygon","31.4037019950916","通过","通过","通过","","","","","","","","","","","","",""
"MC054","1.1","polygon","34.7635385648214","通过","通过","通过","","","","","","","","","","","","",""
"MC055","0.9","polygon","17.1157392858157","基准","不适用","通过","","","","","","","","","","","","",""
"MC055","1","polygon","21.8150501858222","通过","通过","通过","","","","","","","","","","","","",""
"MC055","1.1","polygon","26.4986101402616","通过","通过","通过","","","","","","","","","","","","",""
"MC056","0.9","polygon","20.9167800913053","基准","不适用","通过","","","","","","","","","","","","",""
"MC056","1","polygon","23.2427750388072","通过","通过","通过","","","","","","","","","","","","",""
"MC056","1.1","polygon","25.5693730764759","通过","通过","通过","","","","","","","","","","","","",""
"MC057","0.9","polygon","2.22554217378228","基准","不适用","通过","","","","","","","","","","","","",""
"MC057","1","polygon","7.04956190818714","通过","通过","通过","","","","","","","","","","","","",""
"MC057","1.1","polygon","11.8462900131791","通过","通过","通过","","","","","","","","","","","","",""
"MC058","0.9","polygon","6.87203618615104","基准","不适用","通过","","","","","","","","","","","","",""
"MC058","1","polygon","8.54842435835607","通过","通过","通过","","","","","","","","","","","","",""
"MC058","1.1","polygon","10.3203007226487","通过","通过","通过","","","","","","","","","","","","",""
"MC059","0.9","polygon","42.914130761037","基准","不适用","通过","","","","","","","","","","","","",""
"MC059","1","polygon","47.6805275943923","通过","通过","通过","","","","","","","","","","","","",""
"MC059","1.1","polygon","52.4463434555659","通过","通过","通过","","","","","","","","","","","","",""
"MC060","0.9","polygon","35.0251092441038","基准","不适用","通过","","","","","","","","","","","","",""
"MC060","1","polygon","38.9152863682458","通过","通过","通过","","","","","","","","","","","","",""
"MC060","1.1","polygon","42.8049893219043","通过","通过","通过","","","","","","","","","","","","",""
"MC061","0.9","polygon","29.8502285600344","基准","不适用","通过","","","","","","","","","","","","",""
"MC061","1","polygon","33.1759830092834","通过","通过","通过","","","","","","","","","","","","",""
"MC061","1.1","polygon","36.5046061445116","通过","通过","通过","","","","","","","","","","","","",""
"MC062","0.9","polygon","13.5922636499367","基准","不适用","通过","","","","","","","","","","","","",""
"MC062","1","polygon","20.7886498345782","通过","通过","通过","","","","","","","","","","","","",""
"MC062","1.1","polygon","26.062425174194","通过","通过","通过","","","","","","","","","","","","",""
"MC063","0.9","polygon","6.75817353014795","基准","不适用","通过","","","","","","","","","","","","",""
"MC063","1","polygon","7.90784549506334","通过","通过","通过","","","","","","","","","","","","",""
"MC063","1.1","polygon","9.06097066603028","通过","通过","通过","","","","","","","","","","","","",""
"MC064","0.9","polygon","30.1795393792988","基准","不适用","通过","","","","","","","","","","","","",""
"MC064","1","polygon","34.2027093725362","通过","通过","通过","","","","","","","","","","","","",""
"MC064","1.1","polygon","38.1974546297876","通过","通过","通过","","","","","","","","","","","","",""
"MC065","0.9","polygon","264.590935195973","基准","不适用","通过","","","","","","","","","","","","",""
"MC065","1","polygon","293.978583816312","通过","通过","通过","","","","","","","","","","","","",""
"MC065","1.1","polygon","323.362650400381","通过","通过","通过","","","","","","","","","","","","",""
"MC066","0.9","polygon","1.55429822288958","基准","不适用","通过","","","","","","","","","","","","",""
"MC066","1","polygon","4.85479129186527","通过","通过","通过","","","","","","","","","","","","",""
"MC066","1.1","polygon","8.23968316307549","通过","通过","通过","","","","","","","","","","","","",""
"MC067","0.9","polygon","6.91847392832274","基准","不适用","通过","","","","","","","","","","","","",""
"MC067","1","polygon","8.83508048458726","通过","通过","通过","","","","","","","","","","","","",""
"MC067","1.1","polygon","10.8733865448163","通过","通过","通过","","","","","","","","","","","","",""
"MC068","0.9","polygon","59.8936135083327","基准","不适用","通过","","","","","","","","","","","","",""
"MC068","1","polygon","68.4843374886871","通过","通过","通过","","","","","","","","","","","","",""
"MC068","1.1","polygon","76.8062749664294","通过","通过","通过","","","","","","","","","","","","",""
