seed,case,model,source_count,all_cleared,total_time_per_source_s,movement_time_per_source_s,detection_switch_time_per_source_s,clear_action_time_per_source_s,measure_actions_per_source,channel_switches_per_source,last_discovery_time_per_source_s,search_end_time_per_source_s,unfinished_after_search_rate,not_clear_ready_after_search_rate,active_measurements_per_source,co_measurements_per_source,decomposition_error_s
112358,1,C,16,1,351.8865,299.6365150157232,47.25,5.0,7.9375,7.5625,118.9375,118.9375,1.0,0.8125,1.125,0.0,0.00024025157108553685
112358,1,C+,16,1,295.430125,240.61764089791492,49.8125,5.0,8.375,7.9375,118.9375,118.9375,1.0,0.8125,1.5625,0.625,0.0002543666391829902
112358,2,C,16,1,336.33825,287.8382692801941,43.5,5.0,7.3125,6.9375,96.5625,98.4375,1.0,1.0,1.3125,0.0,0.00030848310507280985
112358,2,C+,16,1,256.458,205.45801428173618,46.0,5.0,7.6875,7.5625,96.5625,98.4375,1.0,1.0,1.6875,1.0,0.00022850777850180748
112358,3,C,14,1,347.97778571428574,282.76346497199046,60.214285714285715,5.0,10.071428571428571,9.857142857142858,131.64285714285714,161.92857142857142,1.0,0.7857142857142857,0.9285714285714286,0.0,0.0004903921335426276
112358,3,C+,14,1,298.76435714285714,233.050041072494,60.714285714285715,5.0,10.142857142857142,10.0,131.64285714285714,161.92857142857142,1.0,0.7857142857142857,1.0,0.5714285714285714,0.00042498508400967694
112358,4,C,10,1,451.0871,356.8871217011907,89.2,5.0,14.9,14.7,229.7,232.7,1.0,1.0,1.1,0.0,0.0002170119068978238
112358,4,C+,10,1,387.8195,291.5194979493512,91.3,5.0,15.3,14.8,229.7,232.7,1.0,1.0,1.5,0.8,2.050648799922783e-05
112358,5,C,14,1,298.8639285714286,235.22108473240579,58.642857142857146,5.0,9.785714285714286,9.714285714285714,83.5,161.07142857142858,1.0,0.7857142857142857,0.7857142857142857,0.0,0.00018625368056746083
112358,5,C+,14,1,289.7435,223.67203922827875,61.07142857142857,5.0,10.214285714285714,10.0,83.5,161.07142857142858,1.0,0.7857142857142857,1.2142857142857142,0.6428571428571429,0.0004508040974542382
112358,6,C,11,1,419.4035454545455,341.4944697309086,72.9090909090909,5.0,12.181818181818182,12.0,166.45454545454547,203.36363636363637,1.0,0.9090909090909091,1.0,0.0,0.00016703999426681548
112358,6,C+,11,1,385.2212727272727,305.403130640293,74.81818181818181,5.0,12.545454545454545,12.090909090909092,166.45454545454547,203.36363636363637,1.0,0.9090909090909091,1.3636363636363635,0.45454545454545453,0.00043704322297344333
112358,7,C,16,1,299.5215625,246.27158028447198,48.25,5.0,8.0625,7.9375,118.9375,121.5625,1.0,0.75,0.8125,0.0,0.0002845515514309227
112358,7,C+,16,1,266.307125,210.1821236182704,51.125,5.0,8.5625,8.3125,118.9375,121.5625,1.0,0.75,1.3125,0.5,2.210767343058251e-05
112358,8,C,16,1,325.2349375,275.7974682869591,44.4375,5.0,7.4375,7.25,116.3125,116.6875,1.0,0.875,1.0,0.0,0.0004925913453917019
112358,8,C+,16,1,281.56675,227.94177709318313,48.625,5.0,8.125,8.0,116.3125,116.6875,1.0,0.875,1.6875,1.0,0.0004334909299359424
112358,9,C,15,1,361.4336666666667,298.90036015561765,57.53333333333333,5.0,9.6,9.533333333333333,124.86666666666666,152.33333333333334,1.0,0.8666666666666667,0.8666666666666667,0.0,0.0004023342644359218
112358,9,C+,15,1,302.93693333333334,239.33695703848437,58.6,5.0,9.8,9.6,124.86666666666666,152.33333333333334,1.0,0.8666666666666667,1.0666666666666667,0.5333333333333333,0.000355577265509055
112358,10,C,16,1,328.5175,276.07999018128675,47.4375,5.0,7.9375,7.75,117.8125,119.6875,1.0,0.875,1.0,0.0,0.00015709941180830356
112358,10,C+,16,1,271.4106875,215.66067865429306,50.75,5.0,8.5,8.25,117.8125,119.6875,1.0,0.875,1.5625,0.875,0.0001415313108736882
112358,11,C,11,1,432.03036363636363,352.39403893306917,74.63636363636364,5.0,12.454545454545455,12.363636363636363,142.0909090909091,206.0909090909091,1.0,0.8181818181818182,0.8181818181818182,0.0,0.0004282637610231177
112358,11,C+,11,1,380.4121818181818,299.7757861215094,75.63636363636364,5.0,12.636363636363637,12.454545454545455,142.0909090909091,206.0909090909091,1.0,0.8181818181818182,1.0,0.36363636363636365,0.00035266339637018973
112358,12,C,14,1,351.62242857142854,284.6938240266535,61.92857142857143,5.0,10.357142857142858,10.142857142857142,158.07142857142858,163.21428571428572,1.0,0.8571428571428571,1.0,0.0,0.0004636268513422692
112358,12,C+,14,1,293.7888571428571,225.93168489486433,62.857142857142854,5.0,10.5,10.357142857142858,158.07142857142858,163.21428571428572,1.0,0.8571428571428571,1.1428571428571428,0.5714285714285714,0.00041147189904222614
112358,13,C,10,1,476.26210000000003,384.662057700236,86.6,5.0,14.5,14.1,187.3,229.7,1.0,0.9,1.2,0.0,0.0004229976398164581
112358,13,C+,10,1,425.3259,334.225877185642,86.1,5.0,14.4,14.1,187.3,229.7,1.0,0.9,1.1,0.3,0.00022814357998868218
112358,14,C,16,1,347.9561875,291.1436715409483,51.8125,5.0,8.6875,8.375,120.0625,122.6875,1.0,1.0,1.25,0.0,0.00025534482756484067
112358,14,C+,16,1,287.94425,228.50674160458323,54.4375,5.0,9.125,8.8125,120.0625,122.6875,1.0,1.0,1.6875,0.75,0.0001343266685580602
112358,15,C,11,1,396.38236363636366,322.2005667450553,69.18181818181819,5.0,11.545454545454545,11.454545454545455,136.63636363636363,200.63636363636363,1.0,0.8181818181818182,0.8181818181818182,0.0,0.00023419560830006958
112358,15,C+,11,1,350.0969090909091,274.9150721922103,70.18181818181819,5.0,11.727272727272727,11.545454545454545,136.63636363636363,200.63636363636363,1.0,0.8181818181818182,1.0,0.45454545454545453,0.0002058856866824499
112358,16,C,14,1,349.444,290.5154381260947,53.92857142857143,5.0,9.0,8.928571428571429,106.5,155.92857142857142,1.0,0.8571428571428571,0.8571428571428571,0.0,0.00013376532569964183
112358,16,C+,14,1,293.35042857142855,233.20755655953613,55.142857142857146,5.0,9.214285714285714,9.071428571428571,106.5,155.92857142857142,1.0,0.8571428571428571,1.0714285714285714,0.5,0.00020816649430344114
112358,17,C,16,1,328.429125,272.11664693270194,51.3125,5.0,8.5625,8.5,136.0625,140.1875,1.0,0.8125,0.8125,0.0,0.00035092323105345713
112358,17,C+,16,1,315.570125,255.25759571886525,55.3125,5.0,9.25,9.0625,136.0625,140.1875,1.0,0.8125,1.5,0.75,0.0004684981563514157
112358,18,C,11,1,417.46000000000004,338.6418585954327,73.81818181818181,5.0,12.363636363636363,12.0,171.36363636363637,204.45454545454547,1.0,0.7272727272727273,1.0,0.0,0.00044454975932239904
112358,18,C+,11,1,369.01445454545456,289.92355960760506,74.0909090909091,5.0,12.363636363636363,12.272727272727273,171.36363636363637,204.45454545454547,1.0,0.7272727272727273,1.0,0.6363636363636364,0.0001556836555209884
112358,19,C,10,1,440.51959999999997,350.51963672137515,85.0,5.0,14.2,14.0,191.5,230.3,1.0,0.8,0.8,0.0,0.00036721375181514304
112358,19,C+,10,1,421.84889999999996,329.74885381289334,87.1,5.0,14.6,14.1,191.5,230.3,1.0,0.8,1.2,0.2,0.00046187106636352837
112358,20,C,10,1,424.2976,337.1975839341695,82.1,5.0,13.7,13.6,192.7,227.3,1.0,0.8,0.8,0.0,0.00016065830504885525
112358,20,C+,10,1,398.7752,311.07515208067315,82.7,5.0,13.8,13.7,192.7,227.3,1.0,0.8,0.9,0.3,0.00047919326834744425
112358,21,C,11,1,382.1976363636364,305.83400687122,71.36363636363636,5.0,11.909090909090908,11.818181818181818,107.9090909090909,204.43636626520527,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.0,7.558342031188658e-05
