组号,误差半角(°),区域状态,直径(m),包含检查,直径不减检查,检查结果
MC036,1.1,polygon,52.603572904855916,通过,通过,通过
MC037,0.9,polygon,15.537958865351486,基准,不适用,通过
MC037,1.0,polygon,18.369339081064766,通过,通过,通过
MC037,1.1,polygon,21.58668180165577,通过,通过,通过
MC038,0.9,polygon,5.03015142879312,基准,不适用,通过
MC038,1.0,polygon,8.554133489917579,通过,通过,通过
MC038,1.1,polygon,11.942338929130264,通过,通过,通过
MC039,0.9,polygon,18.201491211102336,基准,不适用,通过
MC039,1.0,polygon,21.111895500669903,通过,通过,通过
MC039,1.1,polygon,24.030420915500112,通过,通过,通过
MC040,0.9,polygon,23.804506478531675,基准,不适用,通过
MC040,1.0,polygon,27.34406655552978,通过,通过,通过
MC040,1.1,polygon,30.86159954632075,通过,通过,通过
MC041,0.9,polygon,29.469782624815302,基准,不适用,通过
MC041,1.0,polygon,32.7429394170327,通过,通过,通过
MC041,1.1,polygon,36.01569724686632,通过,通过,通过
MC042,0.9,polygon,11.071232027594581,基准,不适用,通过
MC042,1.0,polygon,14.649092112907732,通过,通过,通过
MC042,1.1,polygon,18.274419405632905,通过,通过,通过
MC043,0.9,polygon,23.378786014399257,基准,不适用,通过
MC043,1.0,polygon,27.642813475118437,通过,通过,通过
MC043,1.1,polygon,31.525786727404675,通过,通过,通过
MC044,0.9,polygon,454.7720734809843,基准,不适用,通过
MC044,1.0,polygon,528.6641746018533,通过,通过,通过
MC044,1.1,polygon,601.4295830627923,通过,通过,通过
MC045,0.9,polygon,15.429883255538956,基准,不适用,通过
MC045,1.0,polygon,18.23313934111429,通过,通过,通过
MC045,1.1,polygon,21.142515554975546,通过,通过,通过
MC046,0.9,polygon,23.555879323323687,基准,不适用,通过
MC046,1.0,polygon,26.17218930380058,通过,通过,通过
MC046,1.1,polygon,28.78818038441023,通过,通过,通过
MC047,0.9,polygon,5.947263684296252,基准,不适用,通过
MC047,1.0,polygon,9.846868572072864,通过,通过,通过
MC047,1.1,polygon,13.281865015868265,通过,通过,通过
MC048,0.9,empty,,基准,不适用,通过
MC048,1.0,polygon,2.601421750852533,通过,不适用,通过
MC048,1.1,polygon,6.98810607695104,通过,通过,通过
MC049,0.9,polygon,32.010354122995274,基准,不适用,通过
MC049,1.0,polygon,35.56929835935278,通过,通过,通过
MC049,1.1,polygon,39.12894984723938,通过,通过,通过
MC050,0.9,polygon,9.497314295802731,基准,不适用,通过
MC050,1.0,polygon,12.229266305314203,通过,通过,通过
MC050,1.1,polygon,14.967522693812619,通过,通过,通过
MC051,0.9,polygon,18.008091020532195,基准,不适用,通过
MC051,1.0,polygon,22.20749155284024,通过,通过,通过
MC051,1.1,polygon,26.39268624383619,通过,通过,通过
MC052,0.9,polygon,105.1523562012744,基准,不适用,通过
MC052,1.0,polygon,118.77461497782711,通过,通过,通过
MC052,1.1,polygon,130.64650424846286,通过,通过,通过
MC053,0.9,polygon,6.758817497416512,基准,不适用,通过
MC053,1.0,polygon,8.615490012812232,通过,通过,通过
MC053,1.1,polygon,10.425847396113047,通过,通过,通过
MC054,0.9,polygon,28.0439753034404,基准,不适用,通过
MC054,1.0,polygon,31.403701995091616,通过,通过,通过
MC054,1.1,polygon,34.763538564821445,通过,通过,通过
MC055,0.9,polygon,17.11573928581567,基准,不适用,通过
MC055,1.0,polygon,21.815050185822205,通过,通过,通过
MC055,1.1,polygon,26.498610140261626,通过,通过,通过
MC056,0.9,polygon,20.91678009130527,基准,不适用,通过
MC056,1.0,polygon,23.242775038807203,通过,通过,通过
MC056,1.1,polygon,25.569373076475895,通过,通过,通过
MC057,0.9,polygon,2.2255421737822814,基准,不适用,通过
MC057,1.0,polygon,7.049561908187139,通过,通过,通过
MC057,1.1,polygon,11.84629001317914,通过,通过,通过
MC058,0.9,polygon,6.8720361861510355,基准,不适用,通过
MC058,1.0,polygon,8.548424358356069,通过,通过,通过
MC058,1.1,polygon,10.320300722648662,通过,通过,通过
MC059,0.9,polygon,42.91413076103695,基准,不适用,通过
MC059,1.0,polygon,47.68052759439228,通过,通过,通过
MC059,1.1,polygon,52.446343455565945,通过,通过,通过
MC060,0.9,polygon,35.02510924410381,基准,不适用,通过
MC060,1.0,polygon,38.915286368245816,通过,通过,通过
MC060,1.1,polygon,42.80498932190433,通过,通过,通过
MC061,0.9,polygon,29.850228560034445,基准,不适用,通过
MC061,1.0,polygon,33.175983009283435,通过,通过,通过
MC061,1.1,polygon,36.504606144511634,通过,通过,通过
MC062,0.9,polygon,13.592263649936681,基准,不适用,通过
MC062,1.0,polygon,20.788649834578212,通过,通过,通过
MC062,1.1,polygon,26.062425174194026,通过,通过,通过
MC063,0.9,polygon,6.758173530147952,基准,不适用,通过
MC063,1.0,polygon,7.907845495063339,通过,通过,通过
MC063,1.1,polygon,9.060970666030283,通过,通过,通过
MC064,0.9,polygon,30.179539379298806,基准,不适用,通过
MC064,1.0,polygon,34.20270937253623,通过,通过,通过
MC064,1.1,polygon,38.197454629787615,通过,通过,通过
MC065,0.9,polygon,264.5909351959735,基准,不适用,通过
MC065,1.0,polygon,293.97858381631204,通过,通过,通过
MC065,1.1,polygon,323.3626504003809,通过,通过,通过
MC066,0.9,polygon,1.5542982228895799,基准,不适用,通过
MC066,1.0,polygon,4.854791291865269,通过,通过,通过
MC066,1.1,polygon,8.239683163075494,通过,通过,通过
MC067,0.9,polygon,6.9184739283227366,基准,不适用,通过
MC067,1.0,polygon,8.835080484587264,通过,通过,通过
MC067,1.1,polygon,10.873386544816348,通过,通过,通过
MC068,0.9,polygon,59.89361350833267,基准,不适用,通过
MC068,1.0,polygon,68.48433748868706,通过,通过,通过
MC068,1.1,polygon,76.8062749664294,通过,通过,通过
MC069,0.9,polygon,20.93745250016499,基准,不适用,通过
MC069,1.0,polygon,23.310565038584603,通过,通过,通过
MC069,1.1,polygon,25.640527943753366,通过,通过,通过
MC070,0.9,polygon,18.684135552794487,基准,不适用,通过
MC070,1.0,polygon,21.44805330242151,通过,通过,通过
MC070,1.1,polygon,24.29221607938428,通过,通过,通过
MC071,0.9,polygon,9.28033253392689,基准,不适用,通过
MC071,1.0,polygon,11.693129144506837,通过,通过,通过
MC071,1.1,polygon,14.039444014903186,通过,通过,通过
MC072,0.9,polygon,4.017219783261691,基准,不适用,通过
MC072,1.0,polygon,5.655142111605141,通过,通过,通过
MC072,1.1,polygon,7.116526600417768,通过,通过,通过
MC073,0.9,polygon,43.61198681447372,基准,不适用,通过
MC073,1.0,polygon,50.526040098053215,通过,通过,通过
MC073,1.1,polygon,57.480726067415645,通过,通过,通过
MC074,0.9,polygon,23.996043230304007,基准,不适用,通过
MC074,1.0,polygon,26.66362284205191,通过,通过,通过
MC074,1.1,polygon,29.33162980942637,通过,通过,通过
MC075,0.9,polygon,23.737123620620448,基准,不适用,通过
MC075,1.0,polygon,26.47610790084268,通过,通过,通过
MC075,1.1,polygon,29.284089025988084,通过,通过,通过
MC076,0.9,polygon,26.648224193160736,基准,不适用,通过
MC076,1.0,polygon,30.177884060861118,通过,通过,通过
MC076,1.1,polygon,33.73454131887237,通过,通过,通过
MC077,0.9,polygon,25.68567894707606,基准,不适用,通过
MC077,1.0,polygon,28.53854201629804,通过,通过,通过
MC077,1.1,polygon,31.391057352391808,通过,通过,通过
MC078,0.9,polygon,19.455573763234273,基准,不适用,通过
MC078,1.0,polygon,24.841331921628875,通过,通过,通过
MC078,1.1,polygon,30.24799798616537,通过,通过,通过
MC079,0.9,polygon,7.917423766879386,基准,不适用,通过
MC079,1.0,polygon,12.76879336293513,通过,通过,通过
MC079,1.1,polygon,17.623441420787533,通过,通过,通过
MC080,0.9,polygon,50.57881367644016,基准,不适用,通过
MC080,1.0,polygon,56.20945871566772,通过,通过,通过
MC080,1.1,polygon,61.84351275845585,通过,通过,通过
MC081,0.9,polygon,44.10318815751047,基准,不适用,通过
MC081,1.0,polygon,49.01065520977565,通过,通过,通过
MC081,1.1,polygon,53.92037137620079,通过,通过,通过
MC082,0.9,polygon,22.687153271735855,基准,不适用,通过
MC082,1.0,polygon,25.209961832831173,通过,通过,通过
MC082,1.1,polygon,27.733406808127775,通过,通过,通过
MC083,0.9,polygon,9.98072638116343,基准,不适用,通过
MC083,1.0,polygon,13.14621113770406,通过,通过,通过
MC083,1.1,polygon,16.207181535966544,通过,通过,通过
MC084,0.9,polygon,24.354067137051196,基准,不适用,通过
MC084,1.0,polygon,27.485834185613026,通过,通过,通过
MC084,1.1,polygon,30.61747993402016,通过,通过,通过
MC085,0.9,polygon,23.012666182007568,基准,不适用,通过
MC085,1.0,polygon,25.897086288908508,通过,通过,通过
MC085,1.1,polygon,28.527356878788538,通过,通过,通过
MC086,0.9,polygon,43.26323500648988,基准,不适用,通过
MC086,1.0,polygon,48.06840623281409,通过,通过,通过
MC086,1.1,polygon,52.872991760777666,通过,通过,通过
MC087,0.9,polygon,3.3382904021094686,基准,不适用,通过
MC087,1.0,polygon,6.125894781378091,通过,通过,通过
MC087,1.1,polygon,8.911910188642754,通过,通过,通过
MC088,0.9,polygon,4.884029527403115,基准,不适用,通过
MC088,1.0,polygon,10.029905565443281,通过,通过,通过
MC088,1.1,polygon,14.729065113316638,通过,通过,通过
MC089,0.9,polygon,26.191871843669347,基准,不适用,通过
MC089,1.0,polygon,29.104019914802524,通过,通过,通过
MC089,1.1,polygon,32.0167810503469,通过,通过,通过
MC090,0.9,polygon,45.94552957291941,基准,不适用,通过
MC090,1.0,polygon,51.06316227493545,通过,通过,通过
MC090,1.1,polygon,56.18477418171318,通过,通过,通过
MC091,0.9,polygon,62.450014555561175,基准,不适用,通过
MC091,1.0,polygon,69.38622755444776,通过,通过,通过
MC091,1.1,polygon,76.32159510404867,通过,通过,通过
MC092,0.9,polygon,19.842176153454037,基准,不适用,通过
MC092,1.0,polygon,24.472763628895475,通过,通过,通过
MC092,1.1,polygon,29.10395547030629,通过,通过,通过
MC093,0.9,polygon,59.71211201901673,基准,不适用,通过
MC093,1.0,polygon,66.34423101089924,通过,通过,通过
MC093,1.1,polygon,72.97554161926377,通过,通过,通过
MC094,0.9,polygon,21.831646364817,基准,不适用,通过
MC094,1.0,polygon,25.214135002595874,通过,通过,通过
MC094,1.1,polygon,28.607646179536133,通过,通过,通过
MC095,0.9,polygon,16.06319831331451,基准,不适用,通过
MC095,1.0,polygon,19.375384207895834,通过,通过,通过
MC095,1.1,polygon,22.678857388858813,通过,通过,通过
MC096,0.9,polygon,68.11319750465651,基准,不适用,通过
MC096,1.0,polygon,78.1884278346858,通过,通过,通过
MC096,1.1,polygon,88.27205147601471,通过,通过,通过
MC097,0.9,polygon,9.103594575646998,基准,不适用,通过
MC097,1.0,polygon,12.557447930494618,通过,通过,通过
MC097,1.1,polygon,16.051311584838253,通过,通过,通过
MC098,0.9,polygon,22.30124928955924,基准,不适用,通过
MC098,1.0,polygon,24.780691404555974,通过,通过,通过
MC098,1.1,polygon,27.260615582262055,通过,通过,通过
MC099,0.9,polygon,36.74705388829288,基准,不适用,通过
MC099,1.0,polygon,40.828484367768425,通过,通过,通过
MC099,1.1,polygon,44.909417365046835,通过,通过,通过
MC100,0.9,polygon,54.20487874237202,基准,不适用,通过
MC100,1.0,polygon,60.24524745939114,通过,通过,通过
MC100,1.1,polygon,66.29118954036427,通过,通过,通过
