case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
144,DG2_k3_t1_R,16,16,16,8495.717,390,16,1,29,5521.874975591404,6089.717306785859,3373.8749755914055,2715.8423311944553,1950.0,376.0,80.0,0,0,C,255,82,C,3,,,0.4428403999772854
144,C3FDirect,16,16,16,8495.717,390,16,1,29,5521.874975591404,6089.717306785859,3373.8749755914055,2715.8423311944553,1950.0,376.0,80.0,0,0,C,255,82,,,,,0.4277062999899499
145,Cplus3F,16,16,16,8239.471,359,16,1,27,5659.872712777904,6032.470607246378,3747.872712777904,2284.5978944684744,1795.0,332.0,80.0,0,0,B,0,0,,,,,0.7994197999942116
145,DG_k1_t0,16,16,16,8501.466,379,16,1,27,5921.867896758342,6174.465791226816,3889.867896758342,2284.5978944684744,1895.0,352.0,80.0,0,0,B,0,0,B,0,,,0.8076555000152439
145,DG2_k3_t1_R,16,16,16,9269.256,434,16,1,29,5526.715890682534,6607.255897456031,3337.7158906825334,3269.5400067734986,2170.0,412.0,80.0,0,0,C,197,87,C,4,,,1.049542199994903
145,C3FDirect,16,16,16,9269.256,434,16,1,29,5526.715890682534,6607.255897456031,3337.7158906825334,3269.5400067734986,2170.0,412.0,80.0,0,0,C,197,87,,,,,1.0311618999985512
146,Cplus3F,16,16,16,11164.893,580,16,1,27,5662.434016475709,7626.892906213994,3601.434016475711,4025.45888973829,2900.0,558.0,80.0,0,0,B,0,0,,,,,1.6272883999918122
146,DG_k1_t0,16,16,16,7443.253,382,16,1,29,5041.702883175654,5075.252622902056,3075.7028831756534,1999.5497397264016,1910.0,378.0,80.0,0,0,C,186,91,C,1,,,0.6638813000172377
146,DG2_k3_t1_R,16,16,16,7443.253,382,16,1,29,5041.702883175654,5075.252622902056,3075.7028831756534,1999.5497397264016,1910.0,378.0,80.0,0,0,C,186,91,C,3,,,0.6645212000003085
146,C3FDirect,16,16,16,7443.253,382,16,1,29,5041.702883175654,5075.252622902056,3075.7028831756534,1999.5497397264016,1910.0,378.0,80.0,0,0,C,186,91,,,,,0.6761425999866333
147,Cplus3F,16,16,16,11371.113,525,16,1,27,6230.746427858639,8165.112592925497,3962.746427858642,4202.366165066855,2625.0,501.0,80.0,0,0,B,0,0,,,,,1.2841022000066005
147,DG_k1_t0,16,16,16,11633.108,545,16,1,27,6492.741611839077,8307.107776905936,4104.741611839079,4202.366165066855,2725.0,521.0,80.0,0,0,B,0,0,B,0,,,1.2420547000074293
147,DG2_k3_t1_R,16,16,16,8255.238,374,16,1,29,5841.43548708014,5949.238251225665,3675.435487080141,2273.8027641455255,1870.0,356.0,80.0,0,0,C,161,58,C,4,,,0.291028700012248
147,C3FDirect,16,16,16,8255.238,374,16,1,29,5841.43548708014,5949.238251225665,3675.435487080141,2273.8027641455255,1870.0,356.0,80.0,0,0,C,161,58,,,,,0.29277540001203306
148,Cplus3F,16,16,16,8408.927,353,16,1,27,5991.189309266878,6224.927311589685,3977.189309266879,2247.738002322807,1765.0,339.0,80.0,0,0,B,0,0,,,,,0.377194500004407
148,DG_k1_t0,16,16,16,9441.861,415,16,1,29,5562.695795867274,6903.860674525067,3509.6957958672733,3394.1648786577925,2075.0,383.0,80.0,0,0,C,267,122,C,3,,,0.7760757000069134
148,DG2_k3_t1_R,16,16,16,9441.861,415,16,1,29,5562.695795867274,6903.860674525067,3509.6957958672733,3394.1648786577925,2075.0,383.0,80.0,0,0,C,267,122,C,7,,,0.7415900999912992
148,C3FDirect,16,16,16,9441.861,415,16,1,29,5562.695795867274,6903.860674525067,3509.6957958672733,3394.1648786577925,2075.0,383.0,80.0,0,0,C,267,122,,,,,0.7303286999813281
149,Cplus3F,16,16,16,9017.486,435,16,1,27,5988.605494982727,6340.486258978541,3766.6054949827285,2573.8807639958136,2175.0,422.0,80.0,0,0,B,0,0,,,,,0.4340597999980673
149,DG_k1_t0,16,16,16,9279.481,455,16,1,27,6250.600678963165,6482.481442958979,3908.6006789631665,2573.8807639958136,2275.0,442.0,80.0,0,0,B,0,0,B,0,,,0.44753800000762567
149,DG2_k3_t1_R,16,16,16,8762.335,415,16,1,27,6391.435025744059,6205.3349629976055,4065.4350257440587,2139.899937253548,2075.0,402.0,80.0,0,0,B,0,1,B,1,235.5167982314916,20015.301068666482,0.40241310000419617
149,C3FDirect,16,16,16,10923.366,573,16,1,29,6075.32728100743,7425.366140464371,3658.327281007429,3767.0388594569426,2865.0,553.0,80.0,0,0,C,352,157,,,,,0.9292891999939457
150,Cplus3F,16,16,16,9586.071,462,16,1,27,6047.708139703716,6743.070604084344,3807.708139703718,2935.362464380628,2310.0,453.0,80.0,0,0,B,0,0,,,,,0.8936202999902889
150,DG_k1_t0,16,16,16,9417.594,473,16,1,29,5717.938941672893,6515.593765662086,3522.9389416728914,2992.654823989196,2365.0,457.0,80.0,0,0,C,252,126,C,2,,,0.949387199972989
150,DG2_k3_t1_R,16,16,16,9417.594,473,16,1,29,5717.938941672893,6515.593765662086,3522.9389416728914,2992.654823989196,2365.0,457.0,80.0,0,0,C,252,126,C,4,,,0.913297400024021
150,C3FDirect,16,16,16,9417.594,473,16,1,29,5717.938941672893,6515.593765662086,3522.9389416728914,2992.654823989196,2365.0,457.0,80.0,0,0,C,252,126,,,,,0.8985217000008561
