case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
1,Cplus3F,16,16,16,11732.779,577,16,1,27,6234.603146405074,8210.779412728109,3954.6031464050757,4256.176266323035,2885.0,557.0,80.0,0,0,B,0,0,,,,,0.5056653000065126
1,DG_k1_t0,16,16,16,9033.704,407,16,1,29,5445.085794995111,6533.703704394619,3310.0857949951114,3223.6179093995074,2035.0,385.0,80.0,0,0,C,174,92,C,3,,,0.21051760000409558
1,DG2_k3_t1_R,16,16,16,9033.704,407,16,1,29,5445.085794995111,6533.703704394619,3310.0857949951114,3223.6179093995074,2035.0,385.0,80.0,0,0,C,174,92,C,5,,,0.2851310999831185
1,C3FDirect,16,16,16,9033.704,407,16,1,29,5445.085794995111,6533.703704394619,3310.0857949951114,3223.6179093995074,2035.0,385.0,80.0,0,0,C,174,92,,,,,0.2738240000035148
2,Cplus3F,16,16,16,9472.559,471,16,1,27,6153.059212620089,6580.558605376892,3776.0592126200913,2804.499392756802,2355.0,457.0,80.0,0,0,B,0,0,,,,,0.29812250001123175
2,DG_k1_t0,16,16,16,9734.554,491,16,1,27,6415.054396600528,6722.553789357329,3918.0543966005293,2804.499392756802,2455.0,477.0,80.0,0,0,B,0,0,B,0,,,0.30979389999993145
2,DG2_k3_t1_R,16,16,16,8234.315,397,16,1,29,6006.645516870433,5785.315471762852,3717.6455168704347,2067.6699548924194,1985.0,384.0,80.0,0,0,C,157,65,C,3,,,0.19638639999902807
2,C3FDirect,16,16,16,8234.315,397,16,1,29,6006.645516870433,5785.315471762852,3717.6455168704347,2067.6699548924194,1985.0,384.0,80.0,0,0,C,157,65,,,,,0.1976557000016328
3,Cplus3F,16,16,16,8282.049,375,16,1,27,5878.890274127003,5960.048551859191,3764.8902741270044,2195.1582777321873,1875.0,367.0,80.0,0,0,B,0,0,,,,,0.3349588999990374
3,DG_k1_t0,16,16,16,8544.044,395,16,1,27,6140.885458107442,6102.043735839629,3906.885458107442,2195.1582777321873,1975.0,387.0,80.0,0,0,B,0,0,B,0,,,0.24485240000649355
3,DG2_k3_t1_R,16,16,16,7976.63,372,16,1,29,5697.976529347428,5678.630129079009,3647.9765293474275,2030.6535997315805,1860.0,358.0,80.0,0,0,C,152,62,C,3,,,0.1901211000222247
3,C3FDirect,16,16,16,7976.63,372,16,1,29,5697.976529347428,5678.630129079009,3647.9765293474275,2030.6535997315805,1860.0,358.0,80.0,0,0,C,152,62,,,,,0.1319849000137765
4,Cplus3F,16,16,16,8430.667,399,16,1,27,5910.775844576237,5964.667411134664,3777.7758445762393,2186.8915665584254,1995.0,391.0,80.0,0,0,B,0,0,,,,,0.4483505999960471
4,DG_k1_t0,16,16,16,8742.235,376,16,1,29,5281.821087388715,6423.235419974107,3289.821087388716,3133.4143325853906,1880.0,359.0,80.0,0,0,C,229,106,C,3,,,0.20943560000159778
4,DG2_k3_t1_R,16,16,16,8742.235,376,16,1,29,5281.821087388715,6423.235419974107,3289.821087388716,3133.4143325853906,1880.0,359.0,80.0,0,0,C,229,106,C,5,,,0.16971519999788143
4,C3FDirect,16,16,16,8742.235,376,16,1,29,5281.821087388715,6423.235419974107,3289.821087388716,3133.4143325853906,1880.0,359.0,80.0,0,0,C,229,106,,,,,0.16787330000079237
5,Cplus3F,16,16,16,9600.992,444,16,1,27,6350.715810613324,6866.9918259071455,4035.715810613325,2831.27601529382,2220.0,434.0,80.0,0,0,B,0,0,,,,,0.18620709999231622
5,DG_k1_t0,16,16,16,9299.413,412,16,1,29,5780.1042589504395,6762.413493252074,3599.10425895044,3163.3092343016347,2060.0,397.0,80.0,0,0,C,175,83,C,2,,,0.29336150002200156
5,DG2_k3_t1_R,16,16,16,9299.413,412,16,1,29,5780.1042589504395,6762.413493252074,3599.10425895044,3163.3092343016347,2060.0,397.0,80.0,0,0,C,175,83,C,5,,,0.22415960000944324
5,C3FDirect,16,16,16,9299.413,412,16,1,29,5780.1042589504395,6762.413493252074,3599.10425895044,3163.3092343016347,2060.0,397.0,80.0,0,0,C,175,83,,,,,0.27352210000390187
6,Cplus3F,16,16,16,8794.039,386,16,1,27,6050.163414528207,6415.038627634648,4034.1634145282082,2380.8752131064402,1930.0,369.0,80.0,0,0,B,0,0,,,,,0.43500399999902584
6,DG_k1_t0,16,16,16,7018.229,362,16,1,29,3711.2981801822525,4777.229111445449,2219.298180182253,2557.9309312631985,1810.0,351.0,80.0,0,0,C,235,112,C,1,,,0.7848696000000928
6,DG2_k3_t1_R,16,16,16,7018.229,362,16,1,29,3711.2981801822525,4777.229111445449,2219.298180182253,2557.9309312631985,1810.0,351.0,80.0,0,0,C,235,112,C,6,,,0.6816806999850087
6,C3FDirect,16,16,16,7018.229,362,16,1,29,3711.2981801822525,4777.229111445449,2219.298180182253,2557.9309312631985,1810.0,351.0,80.0,0,0,C,235,112,,,,,0.8657733000000007
7,Cplus3F,16,16,16,8687.333,418,16,1,27,5838.548452825033,6107.333076228906,3779.5484528250336,2327.7846234038716,2090.0,410.0,80.0,0,0,B,0,0,,,,,0.33044009999139234
7,DG_k1_t0,16,16,16,8949.328,438,16,1,27,6100.543636805471,6249.328260209344,3921.5436368054716,2327.7846234038716,2190.0,430.0,80.0,0,0,B,0,0,B,0,,,0.36353639999288134
7,DG2_k3_t1_R,16,16,16,8426.453,382,16,1,29,5291.910932217066,6081.452905395743,3282.910932217066,2798.541973178677,1910.0,355.0,80.0,0,0,C,235,81,C,5,,,0.5359681000118144
7,C3FDirect,16,16,16,8426.453,382,16,1,29,5291.910932217066,6081.452905395743,3282.910932217066,2798.541973178677,1910.0,355.0,80.0,0,0,C,235,81,,,,,0.49036640001577325
