case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
1,Cplus3F,16,16,16,9120.006,454,16,1,27,6035.741891164528,6335.005764427516,3802.741891164529,2532.263873262986,2270.0,435.0,80.0,0,0,B,0,0,,,,,0.3407692000037059
1,DG_k1_t0,16,16,16,10258.009,537,16,1,29,6048.484537215443,6986.009107638654,3570.4845372154427,3415.5245704232148,2685.0,507.0,80.0,0,0,C,263,127,C,1,,,0.5398726999992505
1,DG2_k3_t1_R,16,16,16,8975.549,446,16,1,27,6265.915739414167,6239.5490536234565,3949.9157394141666,2289.6333142092867,2230.0,426.0,80.0,0,0,B,0,2,B,1,235.5167982314916,20015.301068666482,0.3346486999944318
1,C3FDirect,16,16,16,10258.009,537,16,1,29,6048.484537215443,6986.009107638654,3570.4845372154427,3415.5245704232148,2685.0,507.0,80.0,0,0,C,263,127,,,,,0.5893100000103004
2,Cplus3F,16,16,16,9535.288,437,16,1,27,6061.292739917336,6852.288464874061,3970.2927399173373,2881.995724956726,2185.0,418.0,80.0,0,0,B,0,0,,,,,0.6608664999948815
2,DG_k1_t0,16,16,16,11802.693,599,16,1,29,6106.154271653924,8144.692584414369,3651.1542716539248,4493.538312760445,2995.0,583.0,80.0,0,0,C,431,195,C,1,,,0.7721087000099942
2,DG2_k3_t1_R,16,16,16,11802.693,599,16,1,29,6106.154271653924,8144.692584414369,3651.1542716539248,4493.538312760445,2995.0,583.0,80.0,0,0,C,431,195,C,3,,,0.8606585999950767
2,C3FDirect,16,16,16,11802.693,599,16,1,29,6106.154271653924,8144.692584414369,3651.1542716539248,4493.538312760445,2995.0,583.0,80.0,0,0,C,431,195,,,,,0.7822070999827702
3,Cplus3F,16,16,16,10037.399,488,16,1,27,6003.949908269406,7035.398539523503,3799.949908269408,3235.4486312540944,2440.0,482.0,80.0,0,0,B,0,0,,,,,0.446609599981457
3,DG_k1_t0,16,16,16,10593.011,529,16,1,29,5486.083322571066,7353.010869515164,3284.0833225710667,4068.927546944099,2645.0,515.0,80.0,0,0,C,311,156,C,1,,,0.5816636999952607
3,DG2_k3_t1_R,16,16,16,10593.011,529,16,1,29,5486.083322571066,7353.010869515164,3284.0833225710667,4068.927546944099,2645.0,515.0,80.0,0,0,C,311,156,C,3,,,0.629439900018042
3,C3FDirect,16,16,16,10593.011,529,16,1,29,5486.083322571066,7353.010869515164,3284.0833225710667,4068.927546944099,2645.0,515.0,80.0,0,0,C,311,156,,,,,0.5331207000126597
4,Cplus3F,16,16,16,8761.272,427,16,1,27,5861.749592153401,6139.27211878554,3592.7495921534032,2546.5225266321386,2135.0,407.0,80.0,0,0,B,0,0,,,,,0.3945901000115555
4,DG_k1_t0,16,16,16,9023.267,447,16,1,27,6123.74477613384,6281.2673027659785,3734.7447761338412,2546.5225266321386,2235.0,427.0,80.0,0,0,B,0,0,B,0,,,0.3993637000094168
4,DG2_k3_t1_R,16,16,16,7879.921,362,16,1,27,5553.877431391463,5630.921102575588,3439.8774313914637,2191.043671184124,1810.0,359.0,80.0,0,0,B,0,1,B,1,235.5167982314916,20015.301068666482,0.4058622999873478
4,C3FDirect,16,16,16,10832.83,567,16,1,29,6073.5957692028105,7390.830322490571,3653.5957692028096,3737.2345532877657,2835.0,527.0,80.0,0,0,C,274,157,,,,,0.7206813000084367
5,Cplus3F,16,16,16,9608.375,470,16,1,27,6519.274290896517,6738.37482910718,4010.2742908965192,2728.100538210661,2350.0,440.0,80.0,0,0,B,0,0,,,,,0.4411351000017021
5,DG_k1_t0,16,16,16,9870.37,490,16,1,27,6781.269474876955,6880.370013087618,4152.269474876957,2728.100538210661,2450.0,460.0,80.0,0,0,B,0,0,B,0,,,0.41914359998190776
5,DG2_k3_t1_R,16,16,16,10490.058,520,16,1,27,6459.906479222904,7311.057989694258,3912.9064792229046,3398.1515104713526,2600.0,499.0,80.0,0,0,B,0,0,B,1,235.5167982314916,20015.301068666482,0.4307134000118822
5,C3FDirect,16,16,16,10206.447,589,16,1,29,5689.848216356872,6607.44684457418,3280.8482163568715,3326.5986282173108,2945.0,574.0,80.0,0,0,C,410,182,,,,,0.5872131999931298
6,Cplus3F,16,16,16,8200.27,325,16,1,27,4693.572507951572,6186.270100828355,3022.572507951573,3163.6975928767793,1625.0,309.0,80.0,0,0,B,0,0,,,,,0.5267446000070777
