case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
1,Cplus3F,16,16,16,9067.179,468,16,1,27,6223.8452803688815,6200.179462257452,3753.845280368883,2446.3341818885665,2340.0,447.0,80.0,0,0,B,0,0,,,,,0.1941559000115376
1,DG_k1_t0,16,16,16,9329.175,488,16,1,27,6485.840464349319,6342.17464623789,3895.840464349321,2446.3341818885665,2440.0,467.0,80.0,0,0,B,0,0,B,0,,,0.18309979999321513
1,DG2_k3_t1_R,16,16,16,9213.199,429,16,1,27,6374.191332540431,6568.199050270315,4067.191332540432,2501.0077177298826,2145.0,420.0,80.0,0,0,B,0,0,B,0,235.5167982314916,20015.301068666482,0.30803620000369847
1,C3FDirect,16,16,16,12724.789,699,16,1,29,6283.9178079968715,8478.789408321009,3641.91780799687,4836.871600324137,3495.0,671.0,80.0,0,0,C,394,237,,,,,0.5183875000220723
2,Cplus3F,16,16,16,9805.185,435,16,1,27,6334.240764451689,7142.184827558612,4035.2407644516907,3106.9440631069206,2175.0,408.0,80.0,0,0,B,0,0,,,,,0.7019266999850515
2,DG_k1_t0,16,16,16,10067.18,455,16,1,27,6596.235948432128,7284.18001153905,4177.235948432129,3106.9440631069206,2275.0,428.0,80.0,0,0,B,0,0,B,0,,,0.8806168000155594
2,DG2_k3_t1_R,16,16,16,9068.314,518,16,1,29,5724.545836693158,5891.313624288145,3383.545836693157,2507.767787594989,2590.0,507.0,80.0,0,0,C,253,145,C,2,,,0.47606810001889244
2,C3FDirect,16,16,16,9068.314,518,16,1,29,5724.545836693158,5891.313624288145,3383.545836693157,2507.767787594989,2590.0,507.0,80.0,0,0,C,253,145,,,,,0.5409331000118982
3,Cplus3F,16,16,16,9351.331,471,16,1,27,6456.149571113901,6475.330886221457,3963.1495711139023,2512.1813151075553,2355.0,441.0,80.0,0,0,B,0,0,,,,,0.3719223999942187
3,DG_k1_t0,16,16,16,9613.326,491,16,1,27,6718.14475509434,6617.326070201895,4105.14475509434,2512.1813151075553,2455.0,461.0,80.0,0,0,B,0,0,B,0,,,0.36929650002275594
3,DG2_k3_t1_R,16,16,16,8350.745,393,16,1,27,5548.20492203756,5941.745262136783,3426.204922037561,2515.540340099222,1965.0,364.0,80.0,0,0,B,0,0,B,1,235.5167982314916,20015.301068666482,0.2783939999935683
3,C3FDirect,16,16,16,13378.503,754,16,1,29,5971.689142201937,8786.502604385983,3467.6891422019366,5318.813462184046,3770.0,742.0,80.0,0,0,C,478,296,,,,,0.8016078000073321
4,Cplus3F,16,16,16,8750.974,419,16,1,27,6036.452879188458,6177.973709782443,3667.452879188457,2510.520830593985,2095.0,398.0,80.0,0,0,B,0,0,,,,,0.3460047999978997
4,DG_k1_t0,16,16,16,9012.969,439,16,1,27,6298.448063168897,6319.968893762881,3809.448063168895,2510.520830593985,2195.0,418.0,80.0,0,0,B,0,0,B,0,,,0.43129740000586025
4,DG2_k3_t1_R,16,16,16,8823.387,404,16,1,27,6475.109032168034,6332.38744905289,4147.109032168034,2185.2784168848557,2020.0,391.0,80.0,0,0,B,0,0,B,0,235.5167982314916,20015.301068666482,0.541138200002024
4,C3FDirect,16,16,16,10667.224,588,16,1,29,6466.660254508763,7075.223851796608,3668.6602545087608,3406.56359728785,2940.0,572.0,80.0,0,0,C,248,129,,,,,0.4499478999932762
5,Cplus3F,16,16,16,8813.389,495,16,1,27,5140.923632890109,5778.38885345772,3056.923632890109,2721.4652205676125,2475.0,480.0,80.0,0,0,B,0,0,,,,,0.437547799985623
5,DG_k1_t0,16,16,16,9075.384,515,16,1,27,5402.918816870548,5920.384037438158,3198.918816870547,2721.4652205676125,2575.0,500.0,80.0,0,0,B,0,0,B,0,,,0.4306827000109479
5,DG2_k3_t1_R,16,16,16,10031.759,537,16,1,27,5608.176204544314,6743.758570393789,3434.176204544314,3309.582365849476,2685.0,523.0,80.0,0,0,B,0,0,B,0,235.5167982314916,20015.301068666482,0.49147290000109933
5,C3FDirect,16,16,16,10258.846,611,16,1,29,6341.606248749132,6541.846453324543,3652.606248749128,2889.240204575418,3055.0,582.0,80.0,0,0,C,332,175,,,,,0.5030103000171948
6,Cplus3F,16,16,16,9039.357,466,16,1,27,6201.4498112936435,6181.3574159454965,3848.449811293645,2332.90760465185,2330.0,448.0,80.0,0,0,B,0,0,,,,,0.6786946999782231
6,DG_k1_t0,16,16,16,9301.353,486,16,1,27,6463.444995274082,6323.352599925935,3990.444995274083,2332.90760465185,2430.0,468.0,80.0,0,0,B,0,0,B,0,,,0.7854180999856908
6,DG2_k3_t1_R,16,16,16,8716.759,380,16,1,27,6505.7066421375175,6366.7585935271845,4326.7066421375175,2040.0519513896677,1900.0,370.0,80.0,0,0,B,0,1,B,1,235.5167982314916,20015.301068666482,0.43368619997636415
6,C3FDirect,16,16,16,10673.083,557,16,1,29,6203.0993627526495,7274.083428488603,3670.0993627526495,3603.9840657359528,2785.0,534.0,80.0,0,0,C,243,142,,,,,0.6290786000026856
7,Cplus3F,16,16,16,9282.633,476,16,1,27,6124.693957947566,6366.63349711351,3802.693957947566,2563.939539165944,2380.0,456.0,80.0,0,0,B,0,0,,,,,0.37545540000428446
7,DG_k1_t0,16,16,16,13985.985,740,16,1,29,6069.451869069322,9489.984843202199,3692.451869069322,5797.532974132883,3700.0,716.0,80.0,0,0,C,478,299,C,1,,,1.1927958999876864
7,DG2_k3_t1_R,16,16,16,13985.985,740,16,1,29,6069.451869069322,9489.984843202199,3692.451869069322,5797.532974132883,3700.0,716.0,80.0,0,0,C,478,299,C,3,,,1.1741308000055142
7,C3FDirect,16,16,16,13985.985,740,16,1,29,6069.451869069322,9489.984843202199,3692.451869069322,5797.532974132883,3700.0,716.0,80.0,0,0,C,478,299,,,,,1.2411010999931023
8,Cplus3F,16,16,16,9135.794,447,16,1,27,6204.922197055151,6392.793754137444,3783.922197055152,2608.871557082292,2235.0,428.0,80.0,0,0,B,0,0,,,,,0.29849720001220703
8,DG_k1_t0,16,16,16,9397.789,467,16,1,27,6466.91738103559,6534.788938117882,3925.91738103559,2608.871557082292,2335.0,448.0,80.0,0,0,B,0,0,B,0,,,0.3740315999893937
8,DG2_k3_t1_R,16,16,16,8918.55,416,16,1,27,6482.531571173582,6355.549928389034,4109.531571173582,2246.018357215453,2080.0,403.0,80.0,0,0,B,0,0,B,0,235.5167982314916,20015.301068666482,0.39065310001024045
8,C3FDirect,16,16,16,10723.461,601,16,1,29,5592.701123714515,7052.460902560959,3290.701123714515,3761.7597788464464,3005.0,586.0,80.0,0,0,C,367,195,,,,,0.7169789999898057
9,Cplus3F,16,16,16,10124.163,534,16,1,27,6308.677344792087,6854.163116168569,3972.6773447920878,2881.4857713764827,2670.0,520.0,80.0,0,0,B,0,0,,,,,0.7108859000145458
9,DG_k1_t0,16,16,16,11682.898,611,16,1,29,5729.428314063209,7958.897734784461,3316.428314063208,4642.469420721252,3055.0,589.0,80.0,0,0,C,461,206,C,1,,,0.732792700000573
9,DG2_k3_t1_R,16,16,16,11682.898,611,16,1,29,5729.428314063209,7958.897734784461,3316.428314063208,4642.469420721252,3055.0,589.0,80.0,0,0,C,461,206,C,2,,,0.7485339999839198
9,C3FDirect,16,16,16,11682.898,611,16,1,29,5729.428314063209,7958.897734784461,3316.428314063208,4642.469420721252,3055.0,589.0,80.0,0,0,C,461,206,,,,,0.7424257000093348
10,Cplus3F,16,16,16,7665.134,370,16,1,27,6169.1547598193065,5368.134370571333,3990.1547598193074,1377.979610752028,1850.0,367.0,80.0,0,0,B,0,0,,,,,0.20477979999850504
10,DG_k1_t0,16,16,16,7927.13,390,16,1,27,6431.149943799745,5510.129554551771,4132.149943799745,1377.979610752028,1950.0,387.0,80.0,0,0,B,0,0,B,0,,,0.21999240000150166
10,DG2_k3_t1_R,16,16,16,9395.927,482,16,1,27,6348.287754670504,6430.9274383927195,4120.287754670504,2310.639683722218,2410.0,475.0,80.0,0,0,B,0,1,B,1,235.5167982314916,20015.301068666482,0.6144270999939181
10,C3FDirect,16,16,16,9405.131,538,16,1,29,5918.556524914334,6101.130883399414,3481.5565249143333,2619.57435848508,2690.0,534.0,80.0,0,0,C,270,153,,,,,0.339339199999813
11,Cplus3F,16,16,16,9775.797,532,16,1,27,6520.443372837368,6514.796728500541,4055.44337283737,2459.3533556631705,2660.0,521.0,80.0,0,0,B,0,0,,,,,0.338157099991804
11,DG_k1_t0,16,16,16,10037.792,552,16,1,27,6782.438556817807,6656.791912480977,4197.438556817808,2459.3533556631705,2760.0,541.0,80.0,0,0,B,0,0,B,0,,,0.32098669998231344
11,DG2_k3_t1_R,16,16,16,10091.691,589,16,1,27,6853.130840340963,6488.690985316373,4104.130840340964,2384.5601449754113,2945.0,578.0,80.0,0,0,B,0,1,B,1,235.5167982314916,20015.301068666482,0.4106309000053443
11,C3FDirect,16,16,16,10310.809,582,16,1,29,6055.0887653777845,6749.809196475483,3468.088765377782,3281.7204310977,2910.0,571.0,80.0,0,0,C,251,143,,,,,0.43596279999474064
12,Cplus3F,16,16,16,8408.87,440,16,1,27,6487.782901626799,5699.8698007452585,3942.7829016267997,1757.086899118457,2200.0,429.0,80.0,0,0,B,0,0,,,,,0.4351480999903288
12,DG_k1_t0,16,16,16,8670.865,460,16,1,27,6749.778085607238,5841.864984725695,4084.7780856072372,1757.086899118457,2300.0,449.0,80.0,0,0,B,0,0,B,0,,,0.48838990001240745
12,DG2_k3_t1_R,16,16,16,8762.535,464,16,1,27,6492.359029817209,5917.53479398956,3898.35902981721,2019.1757641723482,2320.0,445.0,80.0,0,0,B,0,1,B,1,235.5167982314916,20015.301068666482,0.47103889999561943
12,C3FDirect,16,16,16,10995.253,656,16,1,29,5760.737267111616,6999.253498526466,3483.737267111615,3515.5162314148542,3280.0,636.0,80.0,0,0,C,309,285,,,,,0.7938500000163913
13,Cplus3F,16,16,16,10073.898,536,16,1,27,6310.268039129493,6787.897959329784,3930.2680391294953,2857.6299202002897,2680.0,526.0,80.0,0,0,B,0,0,,,,,0.5865841000049841
13,DG_k1_t0,16,16,16,10335.893,556,16,1,27,6572.263223109932,6929.893143310221,4072.2632231099333,2857.6299202002897,2780.0,546.0,80.0,0,0,B,0,0,B,0,,,0.5779166000138503
13,DG2_k3_t1_R,16,16,16,11798.048,637,16,1,29,6298.1243535457215,7922.048131972717,3632.1243535457206,4289.923778426998,3185.0,611.0,80.0,0,0,C,421,166,C,2,,,0.6129760000039823
13,C3FDirect,16,16,16,11798.048,637,16,1,29,6298.1243535457215,7922.048131972717,3632.1243535457206,4289.923778426998,3185.0,611.0,80.0,0,0,C,421,166,,,,,0.6474276999942958
14,Cplus3F,16,16,16,8991.453,363,16,1,27,5677.559865840371,6757.453259745055,3803.559865840372,2953.893393904686,1815.0,339.0,80.0,0,0,B,0,0,,,,,0.7125374000170268
14,DG_k1_t0,16,16,16,9830.826,534,16,1,29,6184.594107432295,6558.826102115534,3669.5941074322945,2889.2319946832426,2670.0,522.0,80.0,0,0,C,332,136,C,2,,,0.5169869000092149
14,DG2_k3_t1_R,16,16,16,9830.826,534,16,1,29,6184.594107432295,6558.826102115534,3669.5941074322945,2889.2319946832426,2670.0,522.0,80.0,0,0,C,332,136,C,3,,,0.5183253000141121
14,C3FDirect,16,16,16,9830.826,534,16,1,29,6184.594107432295,6558.826102115534,3669.5941074322945,2889.2319946832426,2670.0,522.0,80.0,0,0,C,332,136,,,,,0.4949532999889925
15,Cplus3F,16,16,16,8263.629,390,16,1,27,5727.60741727468,5850.628886473981,3756.607417274681,2094.0214691992987,1950.0,383.0,80.0,0,0,B,0,0,,,,,0.4391079999913927
15,DG_k1_t0,16,16,16,8525.624,410,16,1,27,5989.602601255118,5992.624070454417,3898.602601255119,2094.0214691992987,2050.0,403.0,80.0,0,0,B,0,0,B,0,,,0.3962411000102293
15,DG2_k3_t1_R,16,16,16,10286.28,528,16,1,27,6625.620624431278,7055.279855463084,4053.6206244312784,3001.659231031806,2640.0,511.0,80.0,0,0,B,0,1,B,1,235.5167982314916,20015.301068666482,0.476100600004429
15,C3FDirect,16,16,16,12353.254,756,16,1,29,5502.261698837936,7744.253583666052,3142.261698837935,4601.99188482812,3780.0,749.0,80.0,0,0,C,522,315,,,,,1.7238546999869868
16,Cplus3F,16,16,16,8998.645,410,16,1,27,6057.293432276914,6465.6447283974485,3787.2934322769165,2678.351296120531,2050.0,403.0,80.0,0,0,B,0,0,,,,,0.6656823999946937
16,DG_k1_t0,16,16,16,9260.64,430,16,1,27,6319.288616257352,6607.639912377886,3929.2886162573545,2678.351296120531,2150.0,423.0,80.0,0,0,B,0,0,B,0,,,0.5072446000122
16,DG2_k3_t1_R,16,16,16,10108.55,505,16,1,27,6587.767179298728,7009.549762489714,4083.7671792987285,2925.782583190984,2525.0,494.0,80.0,0,0,B,0,0,B,1,235.5167982314916,20015.301068666482,0.8687355000001844
16,C3FDirect,16,16,16,11879.527,702,16,1,29,5955.785351736666,7595.527221426045,3481.785351736664,4113.741869689384,3510.0,694.0,80.0,0,0,C,438,255,,,,,1.2574258999957237
17,Cplus3F,16,16,16,10291.423,522,16,1,27,6199.043603448966,7096.42261576787,3805.043603448968,3291.3790123189024,2610.0,505.0,80.0,0,0,B,0,0,,,,,1.1145891000051051
