case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
21,L1100_C2,12,12,12,7814.039,271,12,1,19,5489.758511954122,6136.039175078585,1355.0,263.0,60.0,0,0.3787333999935072
21,L1000_C2,12,12,12,11961.224,384,12,1,31,9246.560423726694,9611.223995925686,1920.0,370.0,60.0,0,0.44506810000166297
22,L1100_C2,10,10,10,7394.527,258,10,1,19,5405.0,5804.5272995731875,1290.0,250.0,50.0,0,0.3063978999853134
22,L1000_C2,10,10,10,11317.933,394,10,1,31,9383.998023011653,8909.93287696286,1970.0,388.0,50.0,0,0.3114676999975927
23,L1100_C2,12,12,12,7669.175,260,12,1,19,5363.0,6066.175319516034,1300.0,243.0,60.0,0,0.5832764999940991
23,L1000_C2,12,12,12,11085.656,350,12,1,31,9090.560423726694,8932.655510901992,1750.0,343.0,60.0,0,0.33827429998200387
24,L1100_C2,13,13,13,8116.177,265,13,1,19,5387.0,6479.176515737605,1325.0,247.0,65.0,0,0.4997129999974277
24,L1000_C2,13,13,13,11900.337,354,13,1,31,9073.106372329185,9727.336733759788,1770.0,338.0,65.0,0,0.47114600002532825
25,L1100_C2,13,13,13,7532.186,251,13,1,19,5357.0,5971.185792859204,1255.0,241.0,65.0,0,0.3026897000090685
25,L1000_C2,13,13,13,11419.195,344,13,1,31,9016.012422287227,9311.194723175362,1720.0,323.0,65.0,0,0.46071859999210574
26,L1100_C2,12,12,12,8132.689,282,12,1,19,5489.0,6395.6887943818065,1410.0,267.0,60.0,0,0.5182205000019167
26,L1000_C2,12,12,12,11625.135,386,12,1,31,9239.95483530293,9265.134933447905,1930.0,370.0,60.0,0,0.4403257000085432
27,L1100_C2,16,16,16,7225.88,198,16,1,19,4325.0,5967.8803448934905,990.0,188.0,80.0,0,0.5787905000033788
27,L1000_C2,16,16,16,7423.2,205,16,1,31,4709.0,6121.199858583335,1025.0,197.0,80.0,0,0.3712429000006523
28,L1100_C2,11,11,11,7390.257,265,11,1,19,5489.829469482027,5752.256941900373,1325.0,258.0,55.0,0,0.27394290000665933
28,L1000_C2,11,11,11,11311.273,377,11,1,31,9260.811140687563,8999.272575302342,1885.0,372.0,55.0,0,0.28601029998390004
29,L1100_C2,15,15,15,8578.491,276,15,1,19,5123.0,6857.491021370586,1380.0,266.0,75.0,0,0.555409900000086
29,L1000_C2,15,15,15,10779.258,252,15,1,31,8537.586973142612,9194.258218450099,1260.0,250.0,75.0,0,0.24570319999475032
30,L1100_C2,10,10,10,7382.425,270,10,1,19,5514.067730224742,5722.4247397498775,1350.0,260.0,50.0,0,0.364726800005883
30,L1000_C2,10,10,10,11493.008,395,10,1,31,9358.653635820234,9084.008482817506,1975.0,384.0,50.0,0,0.3627072000235785
31,L1100_C2,12,12,12,7441.719,249,12,1,19,5382.307835110148,5896.7191349432005,1245.0,240.0,60.0,0,0.3045433000079356
31,L1000_C2,12,12,12,11163.092,342,12,1,31,9072.274734834484,9054.092390301328,1710.0,339.0,60.0,0,0.24976789997890592
32,L1100_C2,13,13,13,7599.102,245,13,1,19,5380.713006072311,6067.101703030776,1225.0,242.0,65.0,0,0.24968999999691732
32,L1000_C2,13,13,13,11173.115,337,13,1,31,9105.901348040119,9090.114546431652,1685.0,333.0,65.0,0,0.18638389999978244
33,L1100_C2,14,14,14,7637.598,265,14,1,19,5339.0,5987.598272386062,1325.0,255.0,70.0,0,0.47935889998916537
33,L1000_C2,14,14,14,10923.891,306,14,1,31,8871.977630717485,9023.891090398627,1530.0,300.0,70.0,0,0.28862380000646226
34,L1100_C2,11,11,11,8693.567,367,11,1,19,5735.0,6450.567030027891,1835.0,353.0,55.0,0,0.42673809998086654
34,L1000_C2,11,11,11,12363.608,455,11,1,31,9648.28501401867,9599.608418810913,2275.0,434.0,55.0,0,0.3874307999794837
35,L1100_C2,11,11,11,8395.979,302,11,1,19,5531.0,6546.979162958236,1510.0,284.0,55.0,0,0.40512609999859706
35,L1000_C2,11,11,11,12146.499,412,11,1,31,9414.288603655941,9635.499475997896,2060.0,396.0,55.0,0,0.3418214999837801
36,L1100_C2,11,11,11,7963.62,281,11,1,19,5495.0,6229.619522268384,1405.0,274.0,55.0,0,0.38730040000518784
36,L1000_C2,11,11,11,11963.288,387,11,1,31,9276.560423726694,9600.288188367456,1935.0,373.0,55.0,0,0.42105339997215196
37,L1100_C2,12,12,12,7135.079,229,12,1,19,5275.87190221159,5704.078982971592,1145.0,226.0,60.0,0,0.23776160000124946
37,L1000_C2,12,12,12,10941.317,327,12,1,31,8978.310624069652,8925.316771442427,1635.0,321.0,60.0,0,0.2188939999905415
38,L1100_C2,11,11,11,7741.731,285,11,1,19,5562.935137508456,5984.731047969858,1425.0,277.0,55.0,0,0.4153758999891579
38,L1000_C2,11,11,11,11628.191,412,11,1,31,9402.560423726694,9113.191126190392,2060.0,400.0,55.0,0,0.40396560000954196
39,L1100_C2,11,11,11,7603.046,271,11,1,19,5471.0,5933.046491894476,1355.0,260.0,55.0,0,0.37869990000035614
39,L1000_C2,11,11,11,11964.525,421,11,1,31,9450.560423726694,9402.52520228054,2105.0,402.0,55.0,0,0.41277689998969436
40,L1100_C2,11,11,11,7617.241,298,11,1,19,5663.283287752911,5781.2412215862205,1490.0,291.0,55.0,0,0.33786860000691377
40,L1000_C2,11,11,11,11518.454,416,11,1,31,9570.935279636375,8970.453945198984,2080.0,413.0,55.0,0,0.2527055999962613
41,L1100_C2,11,11,11,7626.132,309,11,1,19,5639.0,5728.132140258876,1545.0,298.0,55.0,0,0.32842019997769967
41,L1000_C2,11,11,11,11460.045,398,11,1,31,9366.560423726694,9026.0451204182,1990.0,389.0,55.0,0,0.3465388000186067
42,L1100_C2,14,14,14,8134.587,233,14,1,19,5159.0,6687.587236792503,1165.0,212.0,70.0,0,0.7236475999816321
42,L1000_C2,14,14,14,11175.772,290,14,1,31,8738.93503377702,9369.772380174472,1450.0,286.0,70.0,0,0.3772328000050038
43,L1100_C2,15,15,15,7532.024,252,15,1,19,5400.235181480657,5951.02358923929,1260.0,246.0,75.0,0,0.28641240001888946
43,L1000_C2,15,15,15,11475.082,323,15,1,31,8940.344159008584,9464.081702788775,1615.0,321.0,75.0,0,0.282971800013911
44,L1100_C2,11,11,11,7047.091,274,11,1,19,5511.302975025072,5353.090964139322,1370.0,269.0,55.0,0,0.2561445999890566
44,L1000_C2,11,11,11,11160.555,373,11,1,31,9198.560423726694,8877.554561414076,1865.0,363.0,55.0,0,0.41263639999669977
45,L1100_C2,10,10,10,7439.058,274,10,1,19,5512.099360033719,5750.057796244132,1370.0,269.0,50.0,0,0.20512379999854602
