seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,no_signal_actions,failed_clear_actions,decision_wall_time_s
2026,22,C_region_q2,16,16,16,4836.491,136,16,1,3943.490912,13,84,0,1.151339
2026,23,A_current_ls_dopt,11,11,11,4051.899,133,20,1,3175.898563,5,102,9,0.008494
2026,23,B_region_dopt,11,11,11,4099.228,141,11,1,3202.227993,12,102,0,0.198996
2026,23,C_region_q2,11,11,11,4150.374,140,11,1,3258.373566,11,102,0,1.100218
2026,24,A_current_ls_dopt,14,14,14,4015.68,123,14,1,3208.679752,4,89,0,0.012124
2026,24,B_region_dopt,14,14,14,4232.837,135,14,1,3355.837136,13,89,0,0.27213
2026,24,C_region_q2,14,14,14,4393.786,133,14,1,3526.786264,11,89,0,0.936582
2026,25,A_current_ls_dopt,10,10,10,4174.579,134,19,1,3296.57924,5,110,9,0.006321
2026,25,B_region_dopt,10,10,10,4120.455,141,10,1,3226.455234,9,110,0,0.15483
2026,25,C_region_q2,10,10,10,4168.341,141,10,1,3274.341291,9,110,0,0.788855
2026,26,A_current_ls_dopt,14,14,14,3954.182,122,21,1,3132.181721,2,90,7,0.008439
2026,26,B_region_dopt,14,14,14,4261.713,141,14,1,3352.712918,17,90,0,0.385135
2026,26,C_region_q2,14,14,14,4564.946,136,14,1,3680.946337,12,90,0,1.224876
2026,27,A_current_ls_dopt,10,10,10,3235.212,123,10,1,2448.212009,1,101,0,0.002586
2026,27,B_region_dopt,10,10,10,3415.003,135,10,1,2559.003215,11,101,0,0.240744
2026,27,C_region_q2,10,10,10,3524.461,132,10,1,2683.461409,8,101,0,0.915257
2026,28,A_current_ls_dopt,10,10,10,3813.046,130,10,1,2984.04613,2,105,0,0.009878
2026,28,B_region_dopt,10,10,10,3952.97,140,10,1,3065.970056,12,105,0,0.267552
2026,28,C_region_q2,10,10,10,4204.907,138,10,1,3327.90666,10,105,0,1.120482
2026,29,A_current_ls_dopt,13,13,13,4477.3,131,20,1,3607.29978,5,100,7,0.008835
2026,29,B_region_dopt,13,13,13,4899.908,145,13,1,3969.908115,16,100,0,0.294742
2026,29,C_region_q2,13,13,13,5141.731,143,13,1,4221.730935,14,100,0,1.18364
2026,30,A_current_ls_dopt,15,15,15,4877.161,126,23,1,4024.161261,3,86,8,0.016886
2026,30,B_region_dopt,15,15,15,4897.441,139,15,1,3993.441045,16,86,0,0.324198
2026,30,C_region_q2,15,15,15,5166.969,138,15,1,4267.968914,15,86,0,1.346536
2026,31,A_current_ls_dopt,15,15,15,4224.476,130,15,1,3370.475948,3,98,0,0.008607
2026,31,B_region_dopt,15,15,15,4552.206,147,15,1,3599.205967,15,98,0,0.328054
2026,31,C_region_q2,15,15,15,4849.103,146,15,1,3901.103064,14,98,0,1.500399
2026,32,A_current_ls_dopt,11,11,11,3491.091,114,14,1,2744.090502,0,87,3,0.001761
2026,32,B_region_dopt,11,11,11,3824.714,127,11,1,3008.714062,9,87,0,0.237838
2026,32,C_region_q2,11,11,11,3899.845,127,11,1,3083.844559,9,87,0,1.137567
2026,33,A_current_ls_dopt,12,12,12,5068.697,134,22,1,4177.696877,7,101,10,0.011721
2026,33,B_region_dopt,12,12,12,4839.859,142,12,1,3934.859289,15,101,0,0.229628
2026,33,C_region_q2,12,12,12,4922.472,139,12,1,4032.472427,12,101,0,0.739268
2026,34,A_current_ls_dopt,11,11,11,4027.112,129,16,1,3184.111997,2,104,5,0.006412
2026,34,B_region_dopt,11,11,11,4483.633,143,11,1,3574.63294,13,104,0,0.237103
2026,34,C_region_q2,11,11,11,4541.791,141,11,1,3642.791431,11,104,0,1.120692
2026,35,A_current_ls_dopt,13,13,13,3531.587,117,13,1,2766.586931,3,88,0,0.00546
2026,35,B_region_dopt,13,13,13,4372.862,132,13,1,3519.861929,13,88,0,0.230274
2026,35,C_region_q2,13,13,13,4387.852,130,13,1,3544.851544,11,88,0,0.981786
2026,36,A_current_ls_dopt,15,15,15,4149.923,124,24,1,3306.922563,5,86,9,0.01223
2026,36,B_region_dopt,15,15,15,4326.832,136,15,1,3440.831753,13,86,0,0.269062
2026,36,C_region_q2,15,15,15,4619.126,135,15,1,3738.126239,12,86,0,1.072767
2026,37,A_current_ls_dopt,11,11,11,4113.821,140,15,1,3208.821293,4,113,4,0.008041
2026,37,B_region_dopt,11,11,11,4418.113,152,11,1,3457.113187,16,113,0,0.255012
2026,37,C_region_q2,11,11,11,4596.178,150,11,1,3645.178447,14,113,0,1.188426
2026,38,A_current_ls_dopt,13,13,13,3933.7,115,13,1,3179.700227,3,83,0,0.009076
2026,38,B_region_dopt,13,13,13,4208.045,130,13,1,3368.045421,14,83,0,0.303574
2026,38,C_region_q2,13,13,13,4373.327,128,13,1,3543.327003,12,83,0,1.262061
2026,39,A_current_ls_dopt,12,12,12,4377.986,135,15,1,3500.986121,3,107,3,0.006045
2026,39,B_region_dopt,12,12,12,4593.839,148,12,1,3649.839216,14,107,0,0.289027
2026,39,C_region_q2,12,12,12,4867.394,148,12,1,3923.39354,14,107,0,1.500533
2026,40,A_current_ls_dopt,15,15,15,3933.128,111,17,1,3187.128028,0,76,2,0.0038
2026,40,B_region_dopt,15,15,15,4473.781,133,15,1,3605.78055,17,76,0,0.41959
2026,40,C_region_q2,15,15,15,4621.133,129,15,1,3773.132825,13,76,0,1.514797
2026,41,A_current_ls_dopt,13,13,13,4923.045,125,23,1,4081.045307,5,89,10,0.007195
2026,41,B_region_dopt,13,13,13,5005.808,139,13,1,4112.807838,17,89,0,0.338915
2026,41,C_region_q2,13,13,13,5188.967,137,13,1,4305.967419,15,89,0,1.332303
2026,42,A_current_ls_dopt,15,15,15,3863.368,109,19,1,3123.367988,0,73,4,0.004026
2026,42,B_region_dopt,15,15,15,4358.065,128,15,1,3519.065244,15,73,0,0.385565
2026,42,C_region_q2,15,15,15,4624.171,126,15,1,3795.171497,13,73,0,1.641188
2026,43,A_current_ls_dopt,11,11,11,3961.183,133,13,1,3103.182975,3,107,2,0.007244
2026,43,B_region_dopt,11,11,11,4252.044,144,11,1,3337.043517,12,107,0,0.194157
2026,43,C_region_q2,11,11,11,4241.148,142,11,1,3336.147683,10,107,0,0.967481
2026,44,A_current_ls_dopt,11,11,11,3946.606,132,15,1,3088.605821,1,105,4,0.005015
2026,44,B_region_dopt,11,11,11,4161.909,143,11,1,3250.908536,10,105,0,0.225398
2026,44,C_region_q2,11,11,11,4339.441,142,11,1,3433.440988,9,105,0,1.015453
2026,45,A_current_ls_dopt,12,12,12,4404.898,128,20,1,3554.898405,3,100,8,0.004606
2026,45,B_region_dopt,12,12,12,4509.577,143,12,1,3596.576504,15,100,0,0.310143
2026,45,C_region_q2,12,12,12,4669.341,141,12,1,3766.341118,13,100,0,1.219145
2026,46,A_current_ls_dopt,16,16,16,4064.896,120,23,1,3246.896026,5,81,7,0.014566
2026,46,B_region_dopt,16,16,16,4218.742,137,16,1,3321.742329,19,81,0,0.377427
2026,46,C_region_q2,16,16,16,4328.659,134,16,1,3446.658894,16,81,0,1.530377
2026,47,A_current_ls_dopt,10,10,10,3911.782,128,10,1,3094.781717,3,104,0,0.007484
2026,47,B_region_dopt,10,10,10,4126.117,136,10,1,3262.117452,9,104,0,0.173772
2026,47,C_region_q2,10,10,10,4353.686,136,10,1,3489.686011,9,104,0,0.802974
2026,48,A_current_ls_dopt,13,13,13,4071.07,123,13,1,3270.070113,3,92,0,0.008153
2026,48,B_region_dopt,13,13,13,4267.818,132,13,1,3412.817929,8,92,0,0.181585
2026,48,C_region_q2,13,13,13,4458.796,132,13,1,3603.795536,8,92,0,0.765161
2026,49,A_current_ls_dopt,13,13,13,4857.675,141,23,1,3921.675012,9,107,10,0.013846
2026,49,B_region_dopt,13,13,13,4706.16,152,13,1,3736.159796,18,107,0,0.266346
2026,49,C_region_q2,13,13,13,4627.22,147,13,1,3682.220073,13,107,0,1.046786
2026,50,A_current_ls_dopt,16,16,16,4574.199,137,30,1,3635.199001,10,95,14,0.021575
